, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Tocantins - Desemprego,Tocantins - Consumo de Cimento (t),Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - Produção de Cimento (t),Tocantins - IDH
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.24382962687184,17.555,15939077.253337389,1457379.9378053627,10.276584921630167,25726915.08185616,12.733,0.7001068192263149
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.237931341000088,14.976,15961079.28538086,1459029.1597051464,10.28158996939032,25761767.05521297,12.733,0.7004866010927978
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.232033055128339,13.334,15983081.317424327,1460678.3816049302,10.286595017150477,25796619.028569795,12.733,0.7008663829592806
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.22613476925659,15.173,16005083.3494678,1462327.603504714,10.291600064910629,25831471.001926616,12.733,0.7012461648257635
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.220236483384838,18.728,16027085.381511273,1463976.8254044976,10.296605112670782,25866322.975283436,12.733,0.7016259466922463
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.214338197513086,18.887,16049087.413554745,1465626.0473042813,10.301610160430936,25901174.94864025,12.733,0.7020057285587292
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.208439911641337,20.089,16071089.445598217,1467275.2692040647,10.30661520819109,25936026.92199707,12.733,0.7023855104252121
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.202541625769587,22.678,16093091.477641683,1468924.4911038484,10.311620255951244,25970878.89535389,12.733,0.7027652922916949
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.196643339897836,24.584,16115093.509685157,1470573.713003632,10.316625303711398,26005730.868710708,12.733,0.7031450741581778
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.190745054026085,26.564,16137095.541728629,1472222.934903416,10.321630351471551,26040582.842067525,12.733,0.7035248560246606
2003-11,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,8.184846768154335,22.246,16159097.5737721,1473872.1568031996,10.326635399231703,26075434.815424345,12.733,0.7039046378911435
2003-12,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,8.178948482282586,24.679,16181099.605815567,1475521.3787029833,10.33164044699186,26110286.78878117,12.733,0.7042844197576263
2004-1,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,8.173050196410834,19.115,16203101.63785904,1477170.600602767,10.336645494752013,26145138.762137983,12.733,0.7046642016241093
2004-2,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,8.171347756455976,22.973,16224367.30763898,1478375.2748536328,10.341851986002126,26180426.81968149,12.733,0.7050048178062427
