,Mato Grosso - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Mato Grosso - Consumo de Cimento (t),Mato Grosso - Desemprego,Mato Grosso - IDH,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado,Mato Grosso - value
2003-1,50.91723999999999,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,47.47,8.29717805688061,0.7451471682661532,60845643.7658844,2670587.842185964,16.83133214002083,51189455.45652205,0.3318000568433363
2003-2,50.85158615384615,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,45.387,8.291317308367613,0.7453080647004359,60927684.677836455,2672687.8562078546,16.83596698577614,51216138.6244529,0.333614947802772
2003-3,50.97054911680911,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,44.907,8.285456559854616,0.7454689611347185,61009725.58978851,2674787.8702297453,16.840601831531448,51242821.79238376,0.3348635568549185
2003-4,51.04997768823768,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,45.467,8.279595811341618,0.7456298575690011,61091766.501740575,2676887.8842516365,16.845236677286756,51269504.96031462,0.3360477113933359
2003-5,51.567529412375606,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,56.246,8.273735062828623,0.7457907540032838,61173807.41369263,2678987.898273527,16.849871523042065,51296188.128245465,0.3364466497473352
2003-6,51.91232941237561,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,56.126,8.267874314315627,0.7459516504375664,61255848.32564469,2681087.912295418,16.854506368797374,51322871.29617632,0.3367533763856311
2003-7,52.26245844463368,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,66.358,8.26201356580263,0.746112546871849,61337889.23759674,2683187.926317309,16.859141214552686,51349554.46410718,0.3369648202829216
2003-8,52.37273969463368,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,63.712,8.256152817289632,0.7462734433061318,61419930.1495488,2685287.9403391997,16.863776060307995,51376237.632038034,0.3375028261124576
2003-9,52.476254846148834,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,66.987,8.250292068776636,0.7464343397404144,61501971.061500855,2687387.95436109,16.868410906063303,51402920.79996889,0.3373446187220328
2003-10,52.24949014026648,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,67.214,8.24443132026364,0.746595236174697,61584011.97345291,2689487.9683829807,16.873045751818612,51429603.96789974,0.3370916986510117
2003-11,51.97100442598076,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,57.793,8.238570571750643,0.7467561326089797,61666052.885404974,2691587.982404872,16.87768059757392,51456287.1358306,0.3367414348595284
2003-12,51.66694887042521,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,50.908,8.232709823237645,0.7469170290432623,61748093.79735703,2693687.9964267625,16.88231544332923,51482970.30376145,0.3362910571638328
2004-1,51.51416508664144,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,51.972,8.22684907472465,0.7470779254775449,61830134.709309086,2695788.0104486533,16.886950289084538,51509653.47169231,0.3353336481910395
2004-2,51.47979666558879,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,40.729,8.225166628636108,0.7472214297332348,61901512.79769086,2696869.8809734997,16.88788761107617,51523381.57444141,0.3342704734013291
2004-3,51.86328384507597,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,54.446,8.223484182547567,0.7473649339889246,61972890.88607263,2697951.751498345,16.888824933067802,51537109.67719052,0.3330986531470249
2004-4,51.78113384507598,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,51.788,8.221801736459026,0.7475084382446144,62044268.9744544,2699033.622023191,16.889762255059438,51550837.77993962,0.3318151525710903
2004-5,52.02313384507598,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,58.702,8.220119290370485,0.7476519425003042,62115647.06283617,2700115.492548037,16.89069957705107,51564565.88268872,0.3306251078288241
2004-6,52.00191955936169,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,63.281,8.218436844281944,0.7477954467559941,62187025.151217945,2701197.3630728824,16.8916368990427,51578293.98543783,0.3290132560119265
2004-7,52.11045444308262,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,69.737,8.216754398193403,0.7479389510116838,62258403.23959972,2702279.2335977284,16.892574221034334,51592022.088186935,0.3273865404773786
2004-8,52.30754535217353,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,69.819,8.215071952104863,0.7480824552673737,62329781.32798149,2703361.1041225744,16.893511543025966,51605750.19093604,0.3258480364448585
2004-9,52.37990090772908,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,69.265,8.213389506016322,0.7482259595230636,62401159.41636326,2704442.97464742,16.894448865017598,51619478.293685146,0.3241947493907244
2004-10,52.44707482077256,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,64.352,8.21170705992778,0.7483694637787534,62472537.50474503,2705524.845172266,16.89538618700923,51633206.39643425,0.3226403598210769
2004-11,52.44213865055979,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,66.547,8.21002461383924,0.7485129680344432,62543915.5931268,2706606.715697112,16.896323509000865,51646934.49918335,0.3211864973227397
2004-12,52.5593261505598,0.4969515420076215,-6921.044658255659,4.995239879121229,1.1747086678519794,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,56.044,8.208342167750699,0.748656472290133,62615293.68150857,2707688.5862219576,16.897260830992497,51660662.60193246,0.3198349077056018
2005-1,52.58628533423326,0.483143045759377,-7202.757774714469,4.860078219431911,1.4639532115258698,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,55.998,8.206659721662158,0.7487999765458229,62686671.769890346,2708770.456746804,16.89819815298413,51674390.70468156,0.3183593905537292
2005-2,52.52461279003394,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4873522528925844,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,49.346,8.199474028413295,0.7489265188844907,62758278.6811048,2710963.8519478478,16.901459275128612,51692971.363897465,0.316860601445778
2005-3,52.988123537711246,0.4664937288356185,-7221.778170229833,4.596932598972333,1.394672339987124,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,57.277,8.192288335164434,0.7490530612231585,62829885.59231927,2713157.247148891,16.904720397273096,51711552.02311337,0.3150901045813495
2005-4,53.32619648507659,0.4550001182228941,-7427.695727374902,4.479302822781261,1.513866283918324,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,61.881,8.185102641915574,0.7491796035618263,62901492.50353372,2715350.6423499347,16.90798151941758,51730132.68232928,0.313768197392093
2005-5,53.887180542154944,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5686237807140602,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,65.04,8.177916948666711,0.749306145900494,62973099.41474818,2717544.0375509784,16.911242641562062,51748713.34154518,0.3123951460859452
2005-6,54.37564281010963,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,68.127,8.170731255417849,0.7494326882391619,63044706.32596264,2719737.432752022,16.914503763706545,51767294.00076109,0.3114961358071413
2005-7,54.460016552920514,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,60.123,8.163545562168988,0.7495592305778297,63116313.2371771,2721930.8279530657,16.917764885851028,51785874.65997699,0.3103684370198252
2005-8,54.93527284084473,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,77.077,8.156359868920127,0.7496857729164975,63187920.14839155,2724124.22315411,16.921026007995508,51804455.3191929,0.3092134087899661
2005-9,55.27118168056332,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,65.579,8.149174175671265,0.7498123152551653,63259527.059606016,2726317.6183551536,16.92428713013999,51823035.978408806,0.3080238288446091
2005-10,55.71834345269424,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,63.093,8.141988482422402,0.749938857593833,63331133.97082047,2728511.0135561973,16.927548252284474,51841616.63762471,0.307629527010376
2005-11,56.18036086723357,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,64.38,8.134802789173541,0.7500653999325009,63402740.88203493,2730704.408757241,16.930809374428957,51860197.296840616,0.3072323398340365
2005-12,56.77616405991221,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,49.713,8.12761709592468,0.7501919422711687,63474347.79324939,2732897.8039582847,16.93407049657344,51878777.95605652,0.3068341950375979
2006-1,57.198474573983376,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,55.489,8.120431402675818,0.7503184846098365,63545954.70446385,2735091.1991593284,16.937331618717923,51897358.615272425,0.3064371162186951
2006-2,57.62713395127607,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,46.637,8.118169382748764,0.7504284952930531,63627781.02050937,2737794.259270064,16.947348195741647,51933667.67440438,0.3064596359743616
2006-3,58.53752858975948,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,58.27,8.115907362821709,0.7505385059762697,63709607.3365549,2740497.319380799,16.95736477276537,51969976.73353635,0.3065043127615663
2006-4,59.27922746209997,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,41.169,8.113645342894653,0.7506485166594863,63791433.65260042,2743200.379491534,16.967381349789093,52006285.79266831,0.3065738160190059
2006-5,59.68369876040658,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,58.919,8.1113833229676,0.7507585273427028,63873259.968645945,2745903.4396022693,16.977397926812817,52042594.85180026,0.3066709315995756
2006-6,60.36717967704597,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,60.095,8.109121303040546,0.7508685380259194,63955086.28469147,2748606.499713005,16.98741450383654,52078903.91093223,0.3067943157581624
2006-7,61.304858454957895,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,61.492,8.10685928311349,0.7509785487091359,64036912.60073699,2751309.5598237403,16.997431080860267,52115212.970064186,0.3072612761611468
2006-8,62.04721363887372,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,71.167,8.104597263186434,0.7510885593923525,64118738.91678252,2754012.6199344755,17.00744765788399,52151522.02919614,0.3080750462771421
2006-9,62.29843135901047,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,62.628,8.10233524325938,0.7511985700755691,64200565.23282804,2756715.6800452108,17.017464234907713,52187831.08832811,0.3091409036206581
2006-10,62.7628095314856,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,68.882,8.100073223332327,0.7513085807587856,64282391.548873566,2759418.740155946,17.027480811931436,52224140.14746007,0.3106704169722894
2006-11,63.07025309701035,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,65.269,8.097811203405271,0.7514185914420022,64364217.864919096,2762121.800266681,17.03749738895516,52260449.20659202,0.3122628671182325
2006-12,63.63933706530525,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,51.531,8.095549183478216,0.7515286021252188,64446044.18096462,2764824.8603774165,17.047513965978883,52296758.26572399,0.3137134052773242
2007-1,64.15401075744292,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,61.532,8.093287163551162,0.7516386128084354,64527870.49701014,2767527.920488152,17.057530543002606,52333067.324855946,0.3150170480849104
2007-2,64.83047454159005,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,44.927,8.090763646337692,0.7517325220977714,64596882.94204144,2769696.674793095,17.063394883989893,52356076.78743855,0.3164182247692201
2007-3,65.86236967937691,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,62.172,8.088240129124223,0.7518264313871076,64665895.387072735,2771865.429098037,17.06925922497718,52379086.25002116,0.3180418497350047
2007-4,66.38980327410479,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,62.588,8.085716611910753,0.7519203406764436,64734907.83210404,2774034.1834029807,17.075123565964464,52402095.71260376,0.3196122935136508
2007-5,67.20265239224821,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,73.139,8.083193094697283,0.7520142499657798,64803920.27713533,2776202.937707924,17.08098790695175,52425105.17518637,0.3212417648630703
2007-6,67.86472324633175,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,76.429,8.080669577483814,0.7521081592551159,64872932.72216663,2778371.6920128665,17.08685224793904,52448114.63776898,0.3228508795319912
2007-7,68.3308473368669,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,73.046,8.078146060270344,0.7522020685444519,64941945.16719793,2780540.4463178096,17.092716588926322,52471124.10035159,0.3247152620569881
2007-8,69.04919082225356,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,88.404,8.075622543056873,0.7522959778337881,65010957.61222922,2782709.200622753,17.09858092991361,52494133.56293419,0.3266407074659099
2007-9,69.31180139330272,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,74.194,8.073099025843405,0.7523898871231242,65079970.05726052,2784877.9549276954,17.104445270900897,52517143.02551679,0.3286290196837862
2007-10,69.70065077519536,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,88.411,8.070575508629934,0.7524837964124603,65148982.50229181,2787046.7092326386,17.110309611888184,52540152.4880994,0.3306821868437694
2007-11,69.94482031238925,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,73.646,8.068051991416464,0.7525777057017964,65217994.94732311,2789215.4635375817,17.11617395287547,52563161.95068201,0.3321730574526143
2007-12,70.09429907657612,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,62.413,8.065528474202996,0.7526716149911326,65287007.39235441,2791384.2178425244,17.122038293862754,52586171.41326462,0.3337024598529933
2008-1,70.04495489324273,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,74.185,8.063004956989525,0.7527655242804686,65356019.83738571,2793552.9721474675,17.12790263485004,52609180.87584722,0.3352711999512668
2008-2,70.23292387935005,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,66.208,8.065672815491002,0.7528437624374951,65404657.683555245,2795351.2928554965,17.128215473554977,52614381.134255685,0.3368800588029519
2008-3,70.8041440819638,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,68.859,8.068340673992477,0.7529220005945214,65453295.529724784,2797149.613563525,17.12852831225991,52619581.39266414,0.3385212919219027
2008-4,70.8667484797639,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,78.322,8.071008532493954,0.7530002387515479,65501933.37589432,2798947.9342715545,17.128841150964845,52624781.65107261,0.3401951078231341
