Ano,Tocantins - IDH Educacao
2014,0.7151865094381313
2015,0.72845157231118
2016,0.73040171524856
2017,0.7310745984529745
2018,0.7312631983123358
2019,0.7303780345225482
2020,0.7288669467518708
2021,0.7257639419111318
2022,0.7251970275394165
