Ano,Tocantins - IDH Renda
2014,0.6754546048505891
2015,0.684629483418465
2016,0.6843230728201436
2017,0.6848069885310658
2018,0.6846076238520717
2019,0.6833901351113509
2020,0.6825165110305647
2021,0.6817452847606161
2022,0.6815403106479448
