,Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado
2003-1,206629475.61857733,8907129.750762809,18.206951864413877,196062462.89542794
2003-2,206857930.35422873,8912325.941279544,18.21128636668518,196118306.44900227
2003-3,207086385.0898801,8917522.131796278,18.21562086895648,196174150.0025766
2003-4,207314839.82553148,8922718.32231301,18.219955371227783,196229993.5561509
2003-5,207543294.5611829,8927914.512829745,18.224289873499085,196285837.10972527
2003-6,207771749.2968343,8933110.70334648,18.228624375770387,196341680.6632996
2003-7,208000204.03248566,8938306.893863212,18.232958878041693,196397524.2168739
2003-8,208228658.76813704,8943503.084379947,18.237293380312995,196453367.77044824
2003-9,208457113.50378844,8948699.274896681,18.241627882584297,196509211.32402256
2003-10,208685568.23943985,8953895.465413416,18.2459623848556,196565054.8775969
2003-11,208914022.97509122,8959091.65593015,18.2502968871269,196620898.43117124
2003-12,209142477.7107426,8964287.846446883,18.254631389398202,196676741.98474556
2004-1,209370932.446394,8969484.036963617,18.258965891669504,196732585.5383199
2004-2,209585207.1351995,8973657.069863819,18.263728392568122,196785610.8946397
2004-3,209799481.82400498,8977830.102764018,18.26849089346674,196838636.25095952
2004-4,210013756.51281047,8982003.135664219,18.273253394365355,196891661.60727936
2004-5,210228031.20161596,8986176.168564418,18.278015895263973,196944686.96359918
2004-6,210442305.89042145,8990349.20146462,18.28277839616259,196997712.319919
2004-7,210656580.57922694,8994522.234364819,18.28754089706121,197050737.6762388
2004-8,210870855.26803243,8998695.26726502,18.292303397959827,197103763.03255862
2004-9,211085129.95683792,9002868.300165221,18.297065898858445,197156788.38887843
2004-10,211299404.6456434,9007041.33306542,18.301828399757063,197209813.74519825
2004-11,211513679.3344489,9011214.365965622,18.306590900655678,197262839.1015181
2004-12,211727954.0232544,9015387.39886582,18.311353401554296,197315864.4578379
2005-1,211942228.7120599,9019560.431766022,18.316115902452914,197368889.81415772
2005-2,212156115.44026428,9025107.20083618,18.323005103592724,197440816.56161296
2005-3,212370002.16846865,9030653.969906336,18.329894304732534,197512743.30906817
2005-4,212583888.89667305,9036200.738976493,18.33678350587234,197584670.0565234
2005-5,212797775.62487745,9041747.508046651,18.34367270701215,197656596.80397865
2005-6,213011662.35308182,9047294.277116807,18.35056190815196,197728523.55143386
2005-7,213225549.08128622,9052841.046186965,18.357451109291766,197800450.2988891
2005-8,213439435.80949062,9058387.815257123,18.364340310431576,197872377.04634434
2005-9,213653322.537695,9063934.584327279,18.371229511571386,197944303.79379955
2005-10,213867209.2658994,9069481.353397436,18.378118712711196,198016230.5412548
2005-11,214081095.9941038,9075028.122467594,18.385007913851005,198088157.28871003
2005-12,214294982.72230816,9080574.89153775,18.39189711499081,198160084.03616524
2006-1,214508869.45051256,9086121.660607908,18.39878631613062,198232010.78362048
2006-2,214705671.87149414,9092517.066231547,18.405512963838582,198298129.4935304
2006-3,214902474.29247573,9098912.471855186,18.412239611546546,198364248.20344034
2006-4,215099276.71345732,9105307.877478827,18.418966259254507,198430366.91335025
2006-5,215296079.1344389,9111703.283102466,18.42569290696247,198496485.6232602
2006-6,215492881.5554205,9118098.688726105,18.43241955467043,198562604.33317012
2006-7,215689683.97640204,9124494.094349744,18.439146202378396,198628723.04308003
2006-8,215886486.39738363,9130889.499973383,18.445872850086356,198694841.75298998
2006-9,216083288.81836522,9137284.905597022,18.452599497794317,198760960.4628999
2006-10,216280091.2393468,9143680.31122066,18.45932614550228,198827079.17280984
2006-11,216476893.6603284,9150075.716844302,18.466052793210242,198893197.88271976
2006-12,216673696.08130997,9156471.12246794,18.472779440918206,198959316.5926297
2007-1,216870498.50229156,9162866.52809158,18.479506088626167,199025435.30253962
2007-2,217031421.66951492,9168637.342208575,18.483305858888944,199063626.3052088
2007-3,217192344.83673826,9174408.15632557,18.48710562915172,199101817.307878
2007-4,217353268.00396162,9180178.970442565,18.490905399414498,199140008.31054717
2007-5,217514191.17118496,9185949.78455956,18.494705169677275,199178199.31321636
2007-6,217675114.33840832,9191720.598676555,18.49850493994005,199216390.31588554
2007-7,217836037.5056317,9197491.41279355,18.50230471020283,199254581.31855473
2007-8,217996960.67285502,9203262.226910545,18.506104480465602,199292772.3212239
2007-9,218157883.84007838,9209033.04102754,18.50990425072838,199330963.3238931
2007-10,218318807.00730172,9214803.855144534,18.513704020991156,199369154.3265623
2007-11,218479730.17452508,9220574.66926153,18.517503791253933,199407345.32923147
2007-12,218640653.34174842,9226345.483378524,18.52130356151671,199445536.33190066
2008-1,218801576.50897178,9232116.29749552,18.525103331779487,199483727.33456984
2008-2,218928070.15132672,9237122.622340519,18.527856055486897,199510076.9950178
2008-3,219054563.79368165,9242128.947185518,18.53060877919431,199536426.65546575
2008-4,219181057.4360366,9247135.272030517,18.53336150290172,199562776.31591374
2008-5,219307551.07839152,9252141.596875519,18.53611422660913,199589125.9763617
2008-6,219434044.72074646,9257147.921720518,18.538866950316542,199615475.63680965
2008-7,219560538.36310142,9262154.246565517,18.541619674023952,199641825.2972576
2008-8,219687032.00545636,9267160.571410516,18.54437239773136,199668174.95770556
2008-9,219813525.6478113,9272166.896255516,18.547125121438775,199694524.6181535
2008-10,219940019.29016623,9277173.221100517,18.549877845146185,199720874.27860147
2008-11,220066512.93252116,9282179.545945516,18.552630568853594,199747223.93904945
2008-12,220193006.5748761,9287185.870790515,18.555383292561007,199773573.5994974
2009-1,220319500.21723104,9292192.195635514,18.558136016268417,199799923.25994536
2009-2,220778775.1082987,9297832.546561312,18.56487561393311,199899888.72563383
2009-3,221238049.99936637,9303472.897487111,18.57161521159781,199999854.1913223
2009-4,221697324.89043403,9309113.248412909,18.578354809262503,200099819.65701076
2009-5,222156599.78150168,9314753.599338708,18.5850944069272,200199785.12269923
2009-6,222615874.67256936,9320393.950264506,18.591834004591895,200299750.5883877
2009-7,223075149.56363702,9326034.301190306,18.598573602256593,200399716.05407614
2009-8,223534424.45470467,9331674.652116103,18.605313199921287,200499681.5197646
2009-9,223993699.34577236,9337315.0030419,18.61205279758598,200599646.98545307
2009-10,224452974.23684,9342955.3539677,18.61879239525068,200699612.45114154
2009-11,224912249.12790766,9348595.704893498,18.625531992915374,200799577.91683
2009-12,225371524.01897535,9354236.055819297,18.63227159058007,200899543.38251847
2010-1,225830798.910043,9359876.406745095,18.639011188244766,200999508.84820694
2010-2,226239048.98098093,9360794.498805992,18.643035631791367,201063942.74421945
2010-3,226647299.05191886,9361712.59086689,18.64706007533797,201128376.64023194
