,Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado
2010-4,227055549.12285683,9362630.682927787,18.651084518884566,201192810.53624445
2010-5,227463799.19379476,9363548.774988685,18.655108962431168,201257244.43225694
2010-6,227872049.2647327,9364466.867049582,18.65913340597777,201321678.32826945
2010-7,228280299.33567065,9365384.95911048,18.663157849524367,201386112.22428197
2010-8,228688549.40660858,9366303.05117138,18.66718229307097,201450546.12029445
2010-9,229096799.4775465,9367221.143232277,18.67120673661757,201514980.01630697
2010-10,229505049.54848444,9368139.235293174,18.67523118016417,201579413.91231945
2010-11,229913299.61942238,9369057.327354072,18.679255623710773,201643847.80833197
2010-12,230321549.69036034,9369975.41941497,18.68328006725737,201708281.70434445
2011-1,230729799.76129827,9370893.511475867,18.687304510803973,201772715.60035697
2011-2,231104102.43545035,9369220.110517025,18.68933314090964,201827462.05192307
2011-3,231478405.10960245,9367546.709558181,18.691361771015302,201882208.50348914
2011-4,231852707.78375453,9365873.30859934,18.69339040112097,201936954.95505524
2011-5,232227010.45790663,9364199.907640498,18.69541903122663,201991701.4066213
2011-6,232601313.1320587,9362526.506681655,18.697447661332298,202046447.8581874
2011-7,232975615.80621082,9360853.105722813,18.69947629143796,202101194.30975348
2011-8,233349918.4803629,9359179.704763971,18.701504921543627,202155940.76131958
2011-9,233724221.15451497,9357506.303805128,18.703533551649294,202210687.21288568
2011-10,234098523.82866707,9355832.902846286,18.705562181754956,202265433.66445175
2011-11,234472826.50281915,9354159.501887444,18.707590811860623,202320180.11601785
2011-12,234847129.17697126,9352486.1009286,18.709619441966286,202374926.56758392
2012-1,235221431.85112333,9350812.69996976,18.711648072071952,202429673.01915002
2012-2,235560425.21549648,9343406.336120281,18.71360132885893,202481619.97479814
2012-3,235899418.57986966,9335999.972270804,18.715554585645908,202533566.93044627
2012-4,236238411.9442428,9328593.608421326,18.717507842432887,202585513.8860944
2012-5,236577405.30861595,9321187.244571846,18.719461099219863,202637460.84174252
2012-6,236916398.67298913,9313780.880722368,18.72141435600684,202689407.79739064
2012-7,237255392.03736228,9306374.51687289,18.72336761279382,202741354.75303876
2012-8,237594385.40173542,9298968.153023412,18.7253208695808,202793301.70868692
2012-9,237933378.7661086,9291561.789173935,18.727274126367774,202845248.66433504
2012-10,238272372.13048175,9284155.425324455,18.72922738315475,202897195.61998317
2012-11,238611365.4948549,9276749.061474977,18.73118063994173,202949142.5756313
2012-12,238950358.85922807,9269342.6976255,18.73313389672871,203001089.5312794
2013-1,239289352.22360122,9261936.333776021,18.735087153515686,203053036.48692754
2013-2,239530216.06502175,9256803.78464424,18.734456700144914,203056107.89498785
2013-3,239771079.9064423,9251671.235512458,18.733826246774143,203059179.30304816
2013-4,240011943.74786285,9246538.686380677,18.733195793403368,203062250.71110848
2013-5,240252807.58928338,9241406.137248896,18.732565340032597,203065322.1191688
2013-6,240493671.43070394,9236273.588117115,18.731934886661826,203068393.5272291
2013-7,240734535.27212447,9231141.038985334,18.731304433291054,203071464.93528938
2013-8,240975399.113545,9226008.489853552,18.730673979920283,203074536.3433497
2013-9,241216262.95496556,9220875.94072177,18.73004352654951,203077607.75141
2013-10,241457126.7963861,9215743.39158999,18.72941307317874,203080679.15947032
2013-11,241697990.63780662,9210610.842458207,18.728782619807966,203083750.56753063
2013-12,241938854.4792272,9205478.293326426,18.728152166437194,203086821.97559094
2014-1,242179718.32064772,9200345.744194645,18.727521713066423,203089893.38365126
2014-2,242355681.68616235,9195362.28634573,18.726342230014676,203082868.7757283
2014-3,242531645.051677,9190378.828496816,18.72516274696293,203075844.1678053
2014-4,242707608.41719162,9185395.3706479,18.72398326391118,203068819.55988234
2014-5,242883571.78270626,9180411.912798984,18.722803780859433,203061794.95195937
2014-6,243059535.1482209,9175428.45495007,18.721624297807686,203054770.3440364
2014-7,243235498.51373553,9170444.997101154,18.72044481475594,203047745.73611343
2014-8,243411461.87925017,9165461.539252238,18.719265331704193,203040721.1281905
2014-9,243587425.2447648,9160478.081403324,18.718085848652446,203033696.52026752
2014-10,243763388.61027944,9155494.623554409,18.7169063656007,203026671.91234455
2014-11,243939351.97579408,9150511.165705493,18.71572688254895,203019647.30442157
2014-12,244115315.3413087,9145527.707856579,18.714547399497203,203012622.6964986
2015-1,244291278.70682335,9140544.250007663,18.713367916445456,203005598.08857563
2015-2,244392211.8148493,9136981.501960693,18.711755495740125,202989481.82035035
2015-3,244493144.92287523,9133418.753913721,18.71014307503479,202973365.55212504
2015-4,244594078.03090116,9129856.005866751,18.708530654329458,202957249.28389975
2015-5,244695011.1389271,9126293.25781978,18.706918233624123,202941133.01567444
2015-6,244795944.24695304,9122730.50977281,18.70530581291879,202925016.74744916
2015-7,244896877.35497898,9119167.76172584,18.70369339221346,202908900.47922385
2015-8,244997810.4630049,9115605.013678867,18.702080971508124,202892784.21099856
2015-9,245098743.57103083,9112042.265631897,18.700468550802793,202876667.94277328
2015-10,245199676.67905676,9108479.517584926,18.698856130097457,202860551.67454797
2015-11,245300609.7870827,9104916.769537956,18.697243709392126,202844435.4063227
2015-12,245401542.89510864,9101354.021490984,18.69563128868679,202828319.13809738
2016-1,245502476.00313458,9097791.273444014,18.69401886798146,202812202.8698721
2016-2,245519799.96005696,9094163.751867931,18.692740510561705,202795195.94146153
2016-3,245537123.91697934,9090536.230291849,18.69146215314195,202778189.01305094
2016-4,245554447.87390172,9086908.708715767,18.690183795722195,202761182.08464038
2016-5,245571771.83082414,9083281.187139684,18.68890543830244,202744175.15622982
2016-6,245589095.78774652,9079653.665563602,18.687627080882685,202727168.22781923
2016-7,245606419.7446689,9076026.14398752,18.68634872346293,202710161.29940867
2016-8,245623743.70159128,9072398.622411437,18.685070366043178,202693154.3709981
2016-9,245641067.65851367,9068771.100835355,18.68379200862342,202676147.44258752
2016-10,245658391.61543608,9065143.579259273,18.682513651203667,202659140.51417696
2016-11,245675715.57235846,9061516.05768319,18.681235293783914,202642133.5857664
2016-12,245693039.52928084,9057888.536107108,18.679956936364157,202625126.65735582
2017-1,245710363.48620322,9054261.014531026,18.678678578944403,202608119.72894526
2017-2,245665684.20412907,9054522.618593957,18.677479603273536,202587037.18317804
2017-3,245621004.92205492,9054784.222656887,18.67628062760267,202565954.63741082
2017-4,245576325.63998076,9055045.826719819,18.6750816519318,202544872.09164363
2017-5,245531646.3579066,9055307.430782748,18.673882676260934,202523789.5458764
2017-6,245486967.07583246,9055569.03484568,18.672683700590067,202502707.0001092
2017-7,245442287.79375833,9055830.63890861,18.671484724919203,202481624.454342
2017-8,245397608.51168418,9056092.242971541,18.670285749248336,202460541.9085748
2017-9,245352929.22961003,9056353.847034473,18.66908677357747,202439459.36280757
2017-10,245308249.94753587,9056615.451097403,18.6678877979066,202418376.81704035
2017-11,245263570.66546172,9056877.055160334,18.666688822235734,202397294.27127314
2017-12,245218891.38338757,9057138.659223264,18.665489846564867,202376211.72550595
2018-1,245174212.1013134,9057400.263286196,18.664290870894,202355129.17973873
2018-2,245002553.71329695,9058423.473137017,18.659962327733197,202303158.03380498
2018-3,244830895.32528052,9059446.682987839,18.65563378457239,202251186.8878712
2018-4,244659236.93726406,9060469.892838662,18.65130524141159,202199215.74193746
2018-5,244487578.5492476,9061493.102689484,18.646976698250782,202147244.5960037
2018-6,244315920.16123116,9062516.312540306,18.64264815508998,202095273.45006993
2018-7,244144261.7732147,9063539.52239113,18.638319611929177,202043302.3041362
2018-8,243972603.38519824,9064562.73224195,18.63399106876837,201991331.15820244
2018-9,243800944.9971818,9065585.942092773,18.629662525607568,201939360.01226866
2018-10,243629286.60916534,9066609.151943594,18.62533398244676,201887388.86633492
2018-11,243457628.22114888,9067632.361794416,18.62100543928596,201835417.72040117
2018-12,243285969.83313245,9068655.57164524,18.616676896125153,201783446.5744674
2019-1,243114311.44511598,9069678.781496061,18.61234835296435,201731475.42853364
2019-2,242816391.5910597,9068177.04045999,18.60640883050992,201655958.73410875
2019-3,242518471.73700342,9066675.299423922,18.60046930805549,201580442.03968382
2019-4,242220551.88294715,9065173.558387853,18.59452978560106,201504925.34525892
2019-5,241922632.02889088,9063671.817351783,18.588590263146635,201429408.650834
2019-6,241624712.17483458,9062170.076315712,18.582650740692205,201353891.9564091
2019-7,241326792.3207783,9060668.335279644,18.576711218237776,201278375.26198417
2019-8,241028872.46672204,9059166.594243575,18.570771695783346,201202858.56755927
2019-9,240730952.61266574,9057664.853207504,18.564832173328917,201127341.87313437
2019-10,240433032.75860947,9056163.112171434,18.55889265087449,201051825.17870945
2019-11,240135112.9045532,9054661.371135365,18.55295312842006,200976308.48428455
2019-12,239837193.0504969,9053159.630099297,18.54701360596563,200900791.78985962
2020-1,239539273.19644064,9051657.889063226,18.5410740835112,200825275.09543473
2020-2,239207436.29196456,9053065.248693772,18.540013295952843,200800665.59387603
2020-3,238875599.38748845,9054472.608324317,18.538952508394484,200776056.09231734
2020-4,238543762.48301238,9055879.967954863,18.53789172083612,200751446.59075868
2020-5,238211925.5785363,9057287.327585408,18.536830933277763,200726837.0892
2020-6,237880088.6740602,9058694.687215954,18.535770145719404,200702227.5876413
2020-7,237548251.76958412,9060102.046846502,18.534709358161045,200677618.08608264
2020-8,237216414.86510804,9061509.406477047,18.533648570602686,200653008.58452395
2020-9,236884577.96063194,9062916.766107593,18.532587783044328,200628399.08296525
2020-10,236552741.05615586,9064324.125738138,18.53152699548597,200603789.58140656
2020-11,236220904.15167978,9065731.485368684,18.530466207927606,200579180.07984787
2020-12,235889067.24720368,9067138.84499923,18.529405420369248,200554570.5782892
2021-1,235557230.3427276,9068546.204629775,18.52834463281089,200529961.07673052
2021-2,235153933.8806292,9070010.789537711,18.527042727558978,200498788.56193316
2021-3,234750637.41853082,9071475.374445649,18.525740822307064,200467616.04713577
2021-4,234347340.95643243,9072939.959353585,18.524438917055154,200436443.5323384
2021-5,233944044.49433404,9074404.544261523,18.52313701180324,200405271.01754105
2021-6,233540748.03223565,9075869.129169459,18.52183510655133,200374098.5027437
2021-7,233137451.57013726,9077333.714077394,18.520533201299415,200342925.98794633
2021-8,232734155.1080389,9078798.298985332,18.519231296047504,200311753.47314894
2021-9,232330858.6459405,9080262.883893268,18.517929390795594,200280580.95835158
2021-10,231927562.18384212,9081727.468801206,18.51662748554368,200249408.44355422
2021-11,231524265.72174373,9083192.053709142,18.51532558029177,200218235.92875683
2021-12,231120969.25964534,9084656.63861708,18.514023675039855,200187063.41395947
2022-1,230717672.79754695,9086121.223525016,18.512721769787944,200155890.8991621
