Ano,Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado
2003,206629475.61857733,8907129.750762809,18.206951864413877,196062462.89542794
2004,209370932.446394,8969484.036963617,18.258965891669504,196732585.5383199
2005,211942228.7120599,9019560.431766022,18.316115902452914,197368889.81415772
2006,214508869.45051256,9086121.660607908,18.39878631613062,198232010.78362048
2007,216870498.50229156,9162866.52809158,18.479506088626167,199025435.30253962
2008,218801576.50897178,9232116.29749552,18.525103331779487,199483727.33456984
2009,220319500.21723104,9292192.195635514,18.558136016268417,199799923.25994536
2010,225830798.910043,9359876.406745095,18.639011188244766,200999508.84820694
2011,230729799.76129827,9370893.511475867,18.687304510803973,201772715.60035697
2012,235221431.85112333,9350812.69996976,18.711648072071952,202429673.01915002
2013,239289352.22360122,9261936.333776021,18.735087153515686,203053036.48692754
2014,242179718.32064772,9200345.744194645,18.727521713066423,203089893.38365126
2015,244291278.70682335,9140544.250007663,18.713367916445456,203005598.08857563
2016,245502476.00313458,9097791.273444014,18.69401886798146,202812202.8698721
2017,245710363.48620322,9054261.014531026,18.678678578944403,202608119.72894526
2018,245174212.1013134,9057400.263286196,18.664290870894,202355129.17973873
2019,243114311.44511598,9069678.781496061,18.61234835296435,201731475.42853364
2020,239539273.19644064,9051657.889063226,18.5410740835112,200825275.09543473
2021,235557230.3427276,9068546.204629775,18.52834463281089,200529961.07673052
2022,230717672.79754695,9086121.223525016,18.512721769787944,200155890.8991621
