,Maranhão - Produção de Cimento (t),Maranhão - Depósito Poupança (R$),Maranhão - IDH Educacao,Maranhão - IDH Renda,Maranhão - Desemprego,Maranhão - Consumo de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Maranhão- custo m2 (R$),Goiais-Maranhão - value,Maranhão - IDH,Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Maranhão - IDH Longevidade
2003-1,23.3684,1609841.56199172,0.6147660517666048,0.542831241403443,8.213662392265372,43.342,2.3303937878082563,1005.6667664395744,5776.461492766655,26.995403117643157,22.91030580992404,79.26023441313495,2.399209180461872,10548.34,0.2600974864623828,0.6355695861355344,43153217.09346157,2636001.048208724,6.034056925877654,38724951.52385314,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968,0.7222042719883235
2003-2,23.167976923076928,1619287.6489300225,0.6153382746116636,0.5433616486979775,8.207986038220799,28.663,2.33095695997006,1005.6649448375816,5776.461492766655,26.9953480423786,22.9130255829132,79.27329633705,2.397614174303054,10647.107692307694,0.2589635168034269,0.6359965958984063,43208322.12828915,2636851.1320070955,6.036083425850632,38744054.009436,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918,0.7225126685932987
2003-3,23.563273219373222,1628733.735868325,0.6159104974567224,0.5438920559925121,8.202309684176228,27.9,2.3312854770644456,1005.6638822364192,5776.461492766655,26.99531591514095,22.91461211715688,79.28091579266712,2.396683754043744,10736.259173789174,0.2573522667190901,0.6364236056612783,43263427.16311672,2637701.215805467,6.038109925823608,38763156.49501886,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264,0.7228210651982738
2003-4,24.00834464794465,1638179.8228066275,0.6164827203017812,0.5444224632870467,8.196633330131656,25.739,2.3313206753245583,1005.6637683862948,5776.461492766655,26.99531247293692,22.9147821029687,79.28173216291182,2.3965840661588182,10818.881673789176,0.2559289139915691,0.6368506154241502,43318532.19794431,2638551.2996038394,6.040136425796586,38782258.98060173,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468,0.723129461803249
2003-5,24.366896372082586,1647625.90974493,0.6170549431468401,0.5449528705815813,8.190956976087083,30.203,2.397956375080567,1005.4130913624184,6468.525318881253,26.849142429716498,22.998258494283256,80.36489606636918,2.323932370391317,10897.469604823658,0.2541089423286005,0.6372776251870221,43373637.23277188,2639401.383402211,6.042162925769564,38801361.46618459,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032,0.7234378584082242
2003-6,24.68919637208258,1657071.9966832325,0.6176271659918988,0.5454832778761158,8.185280622042512,37.59,2.451932443237201,1005.2004969944078,7188.68486487912,26.72079447312205,23.08376032754713,81.37445071796664,2.253524054025326,10974.782604823657,0.2523837444507506,0.6377046349498942,43428742.267599456,2640251.467200583,6.044189425742541,38820463.951767445,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904,0.7237462550131993
2003-7,24.88616411401806,1666518.083621535,0.6181993888369577,0.5460136851706505,8.17960426799794,42.741,2.5175916385525285,1004.9784587094514,8069.811827023834,26.579650077449653,23.182635578919324,82.50800054134233,2.173138388628906,11047.64389514624,0.250287397653835,0.6381316447127661,43483847.30242704,2641101.550998955,6.046215925715519,38839566.43735031,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383,0.7240546516181745
2003-8,25.022632864018064,1675964.1705598377,0.6187716116820164,0.5465440924651851,8.173927913953367,42.427,2.593516042624543,1004.7739045732536,9076.949005473623,26.438597156992167,23.287876702805026,83.6717785185171,2.088800144350095,11119.600145146238,0.2480282323874146,0.638558654475638,43538952.33725461,2641951.6347973268,6.048242425688495,38858668.922933176,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182,0.7243630482231496
2003-9,25.1129661973514,1685410.25749814,0.6193438345270752,0.5470744997597197,8.168251559908796,42.993,2.678287737051239,1004.6137626515188,10175.139200386717,26.31052362604247,23.3924761536094,84.7720176315118,2.00653409133693,11182.441054237146,0.2458577832932179,0.63898566423851,43594057.37208219,2642801.7185956985,6.050268925661473,38877771.408516034,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797,0.7246714448281247
2003-10,25.207083844410217,1694856.3444364425,0.6199160573721341,0.5476049070542542,8.162575205864224,51.235,2.770488803430609,1004.5249610099517,11329.42521192134,26.208317398893435,23.48942638573763,85.71495086234724,1.932364999737448,11242.891348354791,0.2435735490561009,0.6394126740013819,43649162.40690976,2643651.80239407,6.05229542563445,38896873.89409889,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887,0.7249798414330999
2003-11,25.12434098726736,1704302.431374745,0.6204882802171928,0.5481353143487888,8.156898851819651,47.963,2.868701323360648,1004.534427714256,12504.849840235724,26.14486638983793,23.571719853594896,86.40681119304426,1.8723176396996872,11300.991348354792,0.2410876961408657,0.6398396837642538,43704267.44173734,2644501.886192442,6.054321925607427,38915976.37968176,410971.7288202781,7386318.988199934,623.3781786324848,2314384.902305873,0.8382390949358776,3.61797721928848,0.8327971802717965,0.6315074373857803,-6097.745583517717,7.313008932848318,129.56686929035564,179021798.7595036,179.4957290410064,1.6375042967189617,0.7252882380380751
2003-12,25.188007653934022,1713748.5183130477,0.6210605030622517,0.5486657216433234,8.15122249777508,49.93,2.971507378439349,1004.6690908301364,13666.4558854881,26.133058513168827,23.63234901158637,86.7538316056237,1.832416781371685,11357.249403910346,0.2387227789879889,0.6402666935271258,43759372.47656492,2645351.969990814,6.0563484255804045,38935078.865264624,414731.1569842756,7391919.967637314,635.2966266455436,2399709.7029366046,0.8211746264022252,3.6101044651759793,0.8169855326871092,0.6292469617617195,-6082.10009002275,7.034262103245153,130.33031378250743,179203287.3317393,180.5826505067935,1.7623760541706297,0.7255966346430502
2004-1,25.279088735015108,1723194.60525135,0.6216327259073104,0.549196128937858,8.145546143730508,42.076,3.2735381917542865,1004.864139379403,14806.69888107554,26.119205289828205,23.60400230580274,86.68988980812013,1.8332882214806576,11421.956160667103,0.2360484270807546,0.6406937032899978,43814477.5113925,2646202.053789186,6.058374925553382,38954181.35084748,417533.7771609108,7397520.947074695,608.3645349020483,2379575.1981304954,0.8146624868021721,3.6015879781415734,0.8183674345886709,0.6279521987366027,-6360.043009879893,6.775421109777445,131.09375827465925,179384775.903975,181.71762234118845,1.3607725559131063,0.7259050312480254
2004-2,25.453088735015104,1742907.6663541333,0.6221738116977803,0.5496945600585926,8.14361246567135,30.183,2.9533999393271038,1005.4219081966072,15711.07559697735,26.31689346187121,23.729970047738227,86.3546747543567,1.8092559634161416,11479.375897509208,0.2344912952052325,0.6410785953540376,43866485.76361905,2648095.398651338,6.060349421533543,38971495.46283232,422402.9868290372,7402970.507331404,587.1238050372627,2286865.77068742,0.7877508194696684,3.592453286930746,0.813175865272952,0.6179234500456987,-6312.09879505444,6.535527586437412,131.98976210790366,179558325.62127495,182.87265024146924,1.2915557727587674,0.726176155494837
2004-3,25.697063093989467,1762620.7274569166,0.6227148974882502,0.5501929911793273,8.14167878761219,40.701,3.274270373117076,1006.2688467804952,16874.42047825411,26.665297962106475,23.63095663777654,84.27404988039017,1.9046831328723497,11533.532051355362,0.2328499365694064,0.6414634874180773,43918494.0158456,2649988.7435134905,6.062323917513704,38988809.574817166,428940.3527979896,7408420.067588114,570.3798396602158,2267168.0966155827,0.7462153668542578,3.5827259202889805,0.7940584078254243,0.6110282002564377,-6382.974247910342,6.304693993612522,132.88576594114804,179731875.3385749,184.0434969224516,1.3153702879685611,0.7264472797416486
2004-4,25.707388093989472,1782333.7885597,0.62325598327872,0.550691422300062,8.139745109553031,39.783,3.4665227250816595,1006.9020972453671,17399.32554434559,26.788362175058207,23.49023083132493,83.01788022237416,1.9965357482818409,11585.796551355364,0.2317968514453383,0.6418483794821173,43970502.26807215,2651882.088375643,6.064298413493865,39006123.68680201,437138.8679254053,7413869.627844823,552.5537154986056,2235945.485366601,0.7161196882161044,3.57243140696176,0.7742123337341686,0.602215193421453,-6659.524121320398,6.092845857236326,133.78176977439244,179905425.05587482,185.9739836449516,1.2716511611761512,0.7267184039884602
2004-5,25.71726614276996,1802046.8496624832,0.6237970690691899,0.5511898534207966,8.137811431493873,38.903,3.49764891347487,1007.8029182231468,18716.651091103857,26.998797285646624,23.309358907935625,81.13400442901874,2.1746296089974217,11637.4524050139,0.2306953317098688,0.6422332715461571,44022510.52029871,2653775.433237795,6.0662729094740255,39023437.79878685,444435.64414467895,7419319.188101534,543.5801122244274,2247614.438896437,0.6877653033067546,3.5615952756945672,0.7850618617376672,0.5930166849467975,-6639.092352241397,5.906435456003245,134.40983551104517,180078974.77317473,187.9511162408295,1.3496753218264288,0.7269895282352717
2004-6,25.680147095150915,1821759.9107652665,0.6243381548596597,0.5516882845415313,8.135877753434713,46.111,3.4168689472296827,1007.9677002494678,19347.80887602591,27.047628848285303,23.010517762003765,79.50102400363765,2.3679436756216803,11688.255976442471,0.2297528204885034,0.6426181636101969,44074518.77252526,2655668.778099947,6.068247405454187,39040751.91077169,451253.3024140168,7424768.748358243,539.7928414217439,2270755.1846666075,0.6580265037168356,3.550243055232886,0.7615174276282071,0.574475450988554,-6748.885395968077,5.749095649630231,135.03790124769785,180252524.49047467,189.66523405701923,1.5103056439741145,0.7272606524820834
2004-7,25.77528663003464,1841472.9718680496,0.6248792406501296,0.552186715662266,8.133944075375554,49.146,3.1977847669967585,1007.3821298480344,19517.832826194728,27.04285315980696,22.80617127130197,78.53941035465861,2.5843043794542235,11738.397604349448,0.228564756875612,0.6430030556742368,44126527.02475181,2657562.1229620995,6.070221901434348,39058066.02275653,458230.9893117392,7430218.308614952,534.2848231016592,2274686.759168609,0.6207840323429428,3.538400274322199,0.7524273421975352,0.5593363966337657,-6784.497815846861,5.627047610968012,135.66596698435055,180426074.2077746,191.417790237618,1.3540905935347418,0.7275317767288949
2004-8,25.80094572094373,1861186.032970833,0.6254203264405994,0.5526851467830007,8.132010397316396,39.027,2.655559209880043,1006.7344283955256,19699.268519188277,27.130370032234072,22.61637602437601,77.24075123996974,2.7821128357790363,11786.587149803992,0.2275387357163885,0.6433879477382766,44178535.27697836,2659455.467824252,6.072196397414508,39075380.134741366,466978.6583451511,7435667.868871663,528.8910012164406,2279925.537159044,0.5909034137973287,3.52609246170799,0.7295497751500113,0.5366506165950669,-6905.605509166634,5.503636763429107,136.07831726999564,180599623.9250745,193.23853944222265,1.434760472048315,0.7278029009757065
2004-9,25.854256832054844,1880899.094073617,0.6259614122310693,0.5531835779037354,8.130076719257236,48.068,2.1228132651288587,1005.8584863003352,19287.347863031664,27.239680731823373,22.48245143425152,76.12754456319315,2.9114364764713407,11832.169816470658,0.2262661857610343,0.6437728398023164,44230543.52920491,2661348.812686404,6.07417089339467,39092694.24672621,475889.1295313781,7441117.429128372,523.5410270047289,2282679.2823835304,0.5537026055994817,3.513345146135742,0.7095428699539044,0.521373108360619,-6995.222858870797,5.379865840264738,136.4906675556407,180773173.6423745,195.06742578211143,1.2837775896757788,0.7280740252225182
2004-10,25.78764813640267,1900612.1551764,0.6265024980215391,0.5536820090244701,8.128143041198078,46.069,2.058551367553296,1005.2505622389896,18784.34607666493,27.350281397725634,22.53365125225311,75.85748208808613,2.904872916019244,11875.393077340224,0.2251632758219089,0.6441577318663562,44282551.78143147,2663242.157548556,6.076145389374831,39110008.35871105,484423.7575753058,7446566.989385082,516.6823881754624,2433479.803848515,0.5450174136197448,3.500183856350938,0.6959159305043552,0.5156158255655208,-7120.238857990881,5.253056293059425,136.9030178412858,180946723.3596744,196.8697926583777,1.1406245002546846,0.7283451494693297
2004-11,25.675392817253734,1920325.2162791835,0.627043583812009,0.5541804401452047,8.12620936313892,50.343,1.9026874834867096,1004.8161319227754,17914.515658114928,27.385313320127445,22.72878040083753,76.60136217881714,2.7558712685107585,11915.252651808309,0.2239260720513494,0.644542623930396,44334560.03365801,2665135.5024107085,6.078119885354991,39127322.47069589,491603.9774213368,7452016.549641792,504.2778134441365,2626368.5075104097,0.5310516981315352,3.486634121099062,0.6696517138276467,0.5071034898207396,-7055.497216121851,5.122595130555095,137.22885225518075,181120273.0769744,198.653124824414,1.2854603148119332,0.7286162737161413
2004-12,25.703413650587056,1940038.2773819664,0.6275846696024788,0.5546788712659394,8.124275685079759,60.595,2.035980792245715,1004.7148727876512,16891.108654152067,27.271634903497777,22.98092943874473,78.30899681882659,2.494431420959376,11951.764526808312,0.2227587816622934,0.6449275159944359,44386568.28588457,2667028.847272861,6.080094381335153,39144636.58268073,498417.7469993286,7457466.109898502,487.9427582459169,2720834.843621785,0.5059456433043616,3.472721469125596,0.6553570801963157,0.4969515420076215,-6921.044658255659,4.995239879121229,137.5546866690757,181293822.79427427,200.44978855774104,1.2322302066002024,0.7288873979629529
2005-1,25.57863814038297,1959751.33848475,0.6281257553929487,0.5551773023866741,8.1223420070206,56.124,2.288492840415985,1004.6536278849176,15186.581509479867,27.11759987477128,23.292986076355387,80.49857064336409,2.1893814795933557,11989.387792114432,0.2215743832380191,0.6453124080584757,44438576.53811112,2668922.192135013,6.082068877315313,39161950.69466557,505529.1448841331,7462915.670155211,467.4251775544447,2703712.958128439,0.4921828904516431,3.4584714291760243,0.6473973428202994,0.483143045759377,-7202.757774714469,4.860078219431911,137.88052108297066,181467372.5115742,202.30449471882343,1.4183908253341642,0.7291585222097645
2005-2,25.46819402079896,1982921.1073197012,0.6286353061654812,0.5556460223374311,8.115340521405113,39.81,2.4442811381397678,1004.8108721052314,13817.6215863768,26.97001520974997,23.53133902719172,82.3118893842961,1.912147521791843,12049.025502157583,0.2204718709273177,0.6456560842895674,44486750.20388992,2671416.680778648,6.083792628767321,39176947.40006623,513173.97837669234,7468228.679464037,445.227317434516,2592532.3195000445,0.479032861785929,3.4439095299958296,0.6298003725137261,0.4753697952172824,-7128.700399706268,4.725791184629883,138.4383011536618,181632962.2895496,204.1987238906554,1.4238954789241105,0.7293930965282076
2005-3,25.61340253299737,2006090.8761546533,0.6291448569380138,0.5561147422881881,8.108339035789625,44.937,2.335974441758748,1005.5200157023916,14059.750756219752,27.03613521258921,23.604388660555102,82.35831082114656,1.8145311408746816,12107.68280439942,0.2193108169298461,0.6459997605206591,44534923.86966871,2673911.169422282,6.085516380219328,39191944.10546689,520583.6246521651,7473541.688772862,425.5538607533432,2576944.5509056966,0.4648610952618953,3.4290613003304955,0.6197803250738215,0.4664937288356185,-7221.778170229833,4.596932598972333,138.9960812243529,181798552.067525,206.1308112427125,1.3369199083017531,0.7296276708466506
2005-4,25.492445988377447,2029260.6449896048,0.6296544077105464,0.5565834622389452,8.101337550174136,41.661,2.2286648215874587,1006.3192810051928,14840.582213231555,27.19925143428575,23.546066136093877,81.3275444165948,1.8392095671896915,12166.134307064936,0.2183303791790452,0.6463434367517509,44583097.53544749,2676405.658065916,6.087240131671335,39206940.81086754,527801.5206057715,7478854.698081687,411.2946022042931,2550123.232541148,0.4371435666899209,3.413952268925505,0.6089935578495764,0.4550001182228941,-7427.695727374902,4.479302822781261,139.55386129504407,181964141.8455004,208.52949853283653,1.5033990992305697,0.7298622451650937
