Previsto (mil ton.),2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Acre,11.401414,10.109691,9.572351,10.387037,12.736471,14.381495,15.323538,16.531315,16.587305,15.956187,14.090551,12.223334
Alagoas,28.908197,28.321617,29.435404,26.819201,25.591978,26.310465,26.332926,30.957781,33.437225,34.388222,32.762169,31.426207
Amapá,10.166004,8.510157,8.682337,8.160279,8.537778,9.684858,11.196179,11.97386,12.789886,13.253313,12.938855,12.325888
Amazonas,38.597969,36.355202,38.529034,36.594177,38.114784,40.310677,40.88369,41.912392,42.824581,43.167854,42.78968,40.33226
Bahia,243.579025,237.531769,241.214386,244.537872,250.706711,265.816772,258.860138,281.947937,284.043152,288.668884,277.876465,258.718262
Ceara,134.753708,118.832764,120.640297,119.415054,122.956345,137.736908,167.478394,177.947235,172.668976,181.975449,175.411163,163.557999
Distrito Federal,44.011467,45.079945,44.857445,46.764717,51.159706,55.709064,60.958515,66.204666,68.21611,69.337753,68.515099,60.072395
Espirito Santo,92.793297,91.585213,93.062317,94.138054,97.723434,101.410271,106.05587,108.176125,108.76506,108.532982,106.688805,104.256569
Goiais,167.311462,168.372238,171.711517,180.24736,195.982635,207.056564,212.637299,218.529221,220.001221,219.122528,208.866455,186.579651
Maranhão,53.138344,49.074421,54.193989,58.948261,65.199188,69.983818,74.102501,80.678452,85.296066,86.06739,82.902161,74.764938
Mato Grosso,97.815506,103.224342,110.066124,114.229172,124.379662,132.471725,139.470093,143.975662,145.090683,142.543533,134.982574,118.659225
Mato Grosso do Sul,64.351318,65.272263,67.176109,67.388199,72.081467,77.010757,83.546623,81.930801,79.16127,76.353775,74.199112,69.057434
Minas Gerais,395.955353,399.361145,409.164246,429.537537,479.028412,497.232239,500.338074,505.655426,505.05072,508.527527,500.453918,448.274475
Pará,101.364182,97.125748,98.247734,95.928558,98.056664,102.133522,105.828331,108.049355,109.741188,110.460327,111.686684,111.739212
Paraíba,58.626797,58.383572,58.047733,56.114586,54.810474,54.174198,54.183372,59.291634,60.906189,64.58786,66.81118,66.016975
Paraná,300.776459,302.471252,332.872894,311.176971,327.219299,334.609741,328.748352,362.150421,373.573669,363.631104,358.827423,321.82489
Pernambuco,133.982452,132.478973,139.267487,134.129089,136.613678,135.552353,137.469208,144.568024,147.581955,147.815964,145.134216,139.599716
Piauí,59.893147,52.611877,50.508827,51.28056,55.658886,58.643482,63.403492,66.531052,69.200333,69.822563,68.881706,65.562019
Rio Grande do Sul,218.017136,219.146271,221.244629,220.479446,222.191696,223.654053,224.611771,226.030426,225.043869,222.858795,221.975052,219.480759
Rio de Janeiro,185.437149,179.795563,183.436218,191.179703,208.280807,216.9272,217.644608,219.660156,222.47995,219.568237,216.207321,206.542389
Rio Grande do Norte,41.330322,41.116554,40.77557,40.544323,40.325996,40.65168,42.205811,48.176823,52.086113,51.696716,48.310242,44.510246
Rondônia,33.004307,29.690796,28.400497,29.049093,31.927078,35.803078,39.311901,41.114582,40.6786,40.612373,38.358196,36.627491
Roraima,8.070765,8.141126,8.201465,8.283481,8.373121,8.476167,8.548434,8.680769,8.819237,8.905887,8.940671,8.905694
Santa Catarina,225.465286,230.189529,237.645966,242.303375,251.697342,261.815735,268.855865,278.875671,284.04361,281.036377,262.629944,236.457428
São Paulo,825.252136,859.542297,872.964539,874.256226,921.26532,921.999512,975.165161,946.195801,932.906067,927.967407,900.563293,875.491516
Sergipe,31.25704,31.213751,30.480408,30.225586,30.397379,31.063059,31.572887,32.874939,33.892776,34.450577,35.0186,34.575916
Tocantins,32.619011,32.722519,34.411827,36.373085,39.274788,42.082672,44.418545,45.882191,46.05175,44.908199,42.770435,39.268269
