,Bahia - value,Bahia- custo m2 (R$),Bahia - Consumo de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Bahia - IDH Educacao,Bahia - IDH Longevidade,Bahia - IDH,Bahia - Produção de Cimento (t),Bahia - Depósito Poupança (R$),Bahia - IDH Renda,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Bahia - Desemprego,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,0.2998581941934306,10915.3484,151.297,1.6042267021814955,1007.701638785564,1669.7344632923557,26.97369975563287,22.14752546575604,75.41158675851192,2.0042341622253,0.5983943652283061,0.7663623048768651,0.6698992636044152,39.79888,7782608.77337667,0.6387151546032495,131734360.9064606,8384592.526234203,8.566149432120241,121635930.94573908,8.3487785117798,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,0.3019030681925273,11028.2184,138.707,2.224533278323817,1007.8494761804548,1568.7274444908285,26.72878371788666,22.241910428031268,76.96675581379954,1.7261385433466223,0.5987952578086633,0.766744698460435,0.6702099614160556,39.48003384615384,7827093.840123741,0.6389481191457431,131896369.6850426,8391945.58962304,8.569209949849451,121691402.78420894,8.342978600113659,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,0.3037089885994222,11133.335807407406,135.009,2.31233042926194,1008.2596084455346,1452.2728841823175,26.305364315334128,22.159668304230895,78.49312612746391,1.462602299697281,0.5991961503890204,0.767127092044005,0.6705206592276959,39.40025606837607,7871578.906870811,0.6391810836882368,132058378.4636246,8399298.653011877,8.572270467578663,121746874.6226788,8.337178688447517,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,0.3053111988753256,11215.137235978837,126.554,2.3327650110365803,1009.1438872666786,1359.2303661899805,25.78830621253977,21.728600906936546,78.80179967600478,1.2170476063684816,0.5995970429693775,0.7675094856275748,0.6708313570393363,39.41718463980464,7916063.973617882,0.6394140482307304,132220387.2422066,8406651.716400713,8.575330985307874,121802346.46114863,8.331378776781376,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,0.3068599594498443,11294.955511840906,137.331,2.2258418365956385,1010.0055688853324,1291.7372813569968,25.18992529931756,21.30360541184661,79.54746693354728,1.0319264467116676,0.5999979355497347,0.7678918792111448,0.6711420548509767,39.479943260494295,7960549.040364953,0.639647012773224,132382396.0207886,8414004.77978955,8.578391503037086,121857818.29961853,8.325578865115235,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,0.3080026543561971,11370.077511840906,118.68,1.8980355338545385,1010.6601534294496,1304.648223165482,24.803457451332864,20.89704455699996,79.37854181103982,0.8893723294711184,0.6003988281300918,0.7682742727947147,0.671452752662617,39.67724326049429,8005034.107112024,0.6398799773157177,132544404.7993706,8421357.843178388,8.581452020766296,121913290.13808836,8.319778953449093,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,0.3092080618756394,11446.78847958284,131.291,1.8666452487658785,1010.8344072315552,1372.72601981025,24.7081085572948,20.660146438475927,78.68241391842216,0.7641013731461112,0.600799720710449,0.7686566663782846,0.6717634504742573,40.29214648630074,8049519.173859095,0.6401129418582113,132706413.5779526,8428710.906567223,8.584512538495506,121968761.97655822,8.313979041782952,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,0.3102320966428397,11520.931604582842,131.406,1.8823946632018045,1010.2945131942796,1439.708678255943,24.826947448327385,20.80106039305836,78.81011047430256,0.6560138078216454,0.6012006132908062,0.7690390599618545,0.6720741482858977,40.836521486300754,8094004.240606165,0.640345906400705,132868422.3565346,8436063.96995606,8.587573056224718,122024233.81502809,8.30817913011681,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,0.3109848100014842,11592.619786401025,147.495,1.8256906736482872,1009.5769103843444,1539.6375772196957,25.45217680294784,21.01182393108093,77.12009641791276,0.7049751852763473,0.6016015058711633,0.7694214535454245,0.672384846097538,40.90318815296742,8138489.307353237,0.6405788709431987,133030431.13511658,8443417.033344898,8.590633573953928,122079705.65349792,8.30237921845067,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,0.3116684803265855,11662.28802169514,154.944,1.9111928022466285,1008.543063195617,1564.7000722630803,26.095016873318503,21.274805766602856,75.87879521848471,0.8564800314329281,0.6020023984515205,0.7698038471289944,0.6726955439091784,41.344776388261536,8182974.374100307,0.6408118354856922,133192439.91369855,8450770.096733734,8.59369409168314,122135177.4919678,8.296579306784528,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
2003-11,0.3122119860401909,11730.378593123713,142.678,2.153315389744765,1007.8225441074808,1536.7705983076996,26.77383990746487,21.555473702974787,74.15788118838584,1.0269421674228512,0.6024032910318776,0.7701862407125644,0.6730062417208188,41.33894781683296,8227459.440847378,0.6410448000281859,133354448.69228056,8458123.160122572,8.59675460941235,122190649.33043766,8.290779395118387,410971.7288202781,7386318.988199934,623.3781786324848,2314384.902305873,0.8382390949358776,3.61797721928848,0.8327971802717965,0.6315074373857803,-6097.745583517717,7.313008932848318,129.56686929035564,179021798.7595036,179.4957290410064,1.6375042967189617
2003-12,0.3128897116630283,11797.556093123712,142.702,2.2595618898342678,1007.3239688385524,1522.9799599814648,27.464077616681127,21.789061165067302,72.27085636976281,1.2393082114542875,0.6028041836122348,0.7705686342961342,0.6733169395324591,41.93111448349963,8271944.507594448,0.6412777645706795,133516457.47086257,8465476.223511407,8.599815127141563,122246121.16890752,8.284979483452245,414731.1569842756,7391919.967637314,635.2966266455436,2399709.7029366046,0.8211746264022252,3.6101044651759793,0.8169855326871092,0.6292469617617195,-6082.10009002275,7.034262103245153,130.33031378250743,179203287.3317393,180.5826505067935,1.7623760541706297
2004-1,0.3132917817348543,11863.29420123182,129.857,2.5343913585658453,1007.0548386202852,1449.658713061564,27.72540202888368,21.930376993680824,71.71452932243365,1.351001981916746,0.6032050761925919,0.7709510278797042,0.6736276373440995,41.96803340241855,8316429.57434152,0.6415107291131732,133678466.24944456,8472829.286900245,8.602875644870773,122301593.00737736,8.279179571786104,417533.7771609108,7397520.947074695,608.3645349020483,2379575.1981304954,0.8146624868021721,3.6015879781415734,0.8183674345886709,0.6279521987366027,-6360.043009879893,6.775421109777445,131.09375827465925,179384775.903975,181.71762234118845,1.3607725559131063
2004-2,0.313620202375681,11933.271832810768,126.813,2.492936150480034,1007.3737731279568,1404.5974521178402,27.879781167850755,21.99646790148882,70.95377866163948,1.3714847643975374,0.6035921134739601,0.7712863156996133,0.67390928600584,42.20827024452381,8324729.774011309,0.6417258353805011,133826051.55394886,8477002.227460349,8.6053003031547,122344847.21192876,8.276754329261738,422402.9868290372,7402970.507331404,587.1238050372627,2286865.77068742,0.7877508194696684,3.592453286930746,0.813175865272952,0.6179234500456987,-6312.09879505444,6.535527586437412,131.98976210790366,179558325.62127495,182.87265024146924,1.2915557727587674
2004-3,0.3138728537396689,11989.997473836407,152.225,2.3379509865547066,1008.0975601555124,1348.9497742768328,27.71698733586428,21.88421225847727,71.21773328454697,1.4471231020058537,0.6039791507553283,0.7716216035195224,0.6741909346675804,42.72534716760074,8333029.973681098,0.6419409416478289,133973636.85845315,8481175.168020453,8.607724961438628,122388101.41648015,8.274329086737374,428940.3527979896,7408420.067588114,570.3798396602158,2267168.0966155827,0.7462153668542578,3.5827259202889805,0.7940584078254243,0.6110282002564377,-6382.974247910342,6.304693993612522,132.88576594114804,179731875.3385749,184.0434969224516,1.3153702879685611
2004-4,0.3142804734903646,12045.285223836408,136.288,2.221150403246105,1008.9378351055544,1277.8760811385598,27.30344371663853,21.455591370131845,71.02869265947005,1.6118147837589956,0.6043661880366965,0.7719568913394315,0.6744725833293208,43.05124716760073,8341330.173350887,0.6421560479151568,134121222.16295746,8485348.108580556,8.610149619722554,122431355.62103154,8.271903844213009,437138.8679254053,7413869.627844823,552.5537154986056,2235945.485366601,0.7161196882161044,3.57243140696176,0.7742123337341686,0.602215193421453,-6659.524121320398,6.092845857236326,133.78176977439244,179905425.05587482,185.9739836449516,1.2716511611761512
