,Tocantins- custo m2 (R$),Tocantins - Desemprego,Tocantins - IDH Educacao,Tocantins - IDH Longevidade,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Tocantins - Consumo de Cimento (t),Tocantins - IDH Renda,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - Depósito Poupança (R$),Tocantins - Produção de Cimento (t),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Tocantins - IDH
2003-1,11275.3352,8.24382962687184,0.6746331016666889,0.7663704567902598,3.576409691876861,978.5318013959223,1343.3713966461248,26.858970926151144,18.47016825775394,64.2747347824824,1.9222794986995964,17.555,0.6376109354505484,15939077.253337389,1457379.9378053627,10.276584921630167,25726915.08185616,381018.097338428,12.733,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968,0.7001068192263149
2003-2,11378.766738461536,8.237931341000088,0.6751354191589783,0.766735416871802,3.573972437650795,978.5321525597848,1343.394931051338,26.86053350307765,18.468827498877737,64.26660938249347,1.9221835013081017,14.976,0.6379881173006353,15961079.28538086,1459029.1597051464,10.28158996939032,25761767.05521297,383089.041261747,12.733,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918,0.7004866010927978
2003-3,11476.693775498574,8.232033055128339,0.6756377366512678,0.7671003769533443,3.5725507060189234,978.532357405371,1343.4086594543792,26.861445006284782,18.468045389533287,64.26186956583325,1.922063504568733,13.334,0.6383652991507223,15983081.317424327,1460678.3816049302,10.286595017150477,25796619.028569795,385159.985185066,12.733,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264,0.7008663829592806
2003-4,11568.023775498572,8.22613476925659,0.6761400541435573,0.7674653370348865,3.5723983776297943,978.5323793531124,1343.410130354705,26.86154266734269,18.467961592103524,64.26136172833395,1.9219135086445225,15.173,0.6387424810008093,16005083.3494678,1462327.603504714,10.291600064910629,25831471.001926616,387230.929108385,12.733,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468,0.7012461648257635
2003-5,11656.641016877884,8.220236483384838,0.6766423716358467,0.7678302971164287,3.5762383804446074,978.4398505320174,1339.4932786954007,26.83833846199726,18.686478891973724,65.14566791877937,1.897554158037153,18.728,0.6391196628508963,16027085.381511273,1463976.8254044976,10.296605112670782,25866322.975283436,389301.873031704,12.733,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032,0.7016259466922463
2003-6,11738.35468354455,8.214338197513086,0.6771446891281362,0.768195257197971,3.5746317711468256,978.3445439418934,1334.8336418140138,26.81309755402149,18.927367142136063,66.11107610092179,1.871329475696112,18.887,0.6394968447009832,16049087.413554745,1465626.0473042813,10.301610160430936,25901174.94864025,391372.816955023,12.733,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904,0.7020057285587292
2003-7,11815.514360963904,8.208439911641337,0.6776470066204257,0.7685602172795132,3.571187034218188,978.2283022724106,1329.0798980025154,26.78171896454663,19.22582515821468,67.30537285587839,1.83904914919798,20.089,0.6398740265510702,16071089.445598217,1467275.2692040647,10.30661520819109,25936026.92199707,393443.760878342,12.733,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383,0.7023855104252121
2003-8,11884.442173463907,8.202541625769587,0.6781493241127151,0.7689251773610554,3.5655351266861683,978.0958796025596,1322.487622796507,26.74536417269059,19.57084402902288,68.68409533754212,1.8019398371800543,22.678,0.6402512084011571,16093091.477641683,1468924.4911038484,10.311620255951244,25970878.89535389,395514.704801661,12.733,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182,0.7027652922916949
2003-9,11949.800961342691,8.196643339897836,0.6786516416050046,0.7692901374425977,3.557307005578241,977.9520300113312,1315.3123917315888,26.70519465757128,19.95141484337398,70.20278069980594,1.7612281982796305,24.584,0.6406283902512441,16115093.509685157,1470573.713003632,10.316625303711398,26005730.868710708,397585.64872498,12.733,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797,0.7031450741581778
2003-10,12013.583608401515,8.190745054026085,0.679153959097294,0.7696550975241399,3.54613362792188,977.8015075777164,1307.8097803433625,26.662371898306606,20.35652869008129,71.81696609656285,1.7181408911340057,26.564,0.641005572101331,16137095.541728629,1472222.934903416,10.321630351471551,26040582.842067525,399656.592648299,12.733,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887,0.7035248560246606
