Ano,Mahão -01- Consumo de Cimento (t)
2014,1285.5216889403293
2015,1185.770587495976
2016,1055.9606460496063
2017,929.4709069757512
2018,882.4230981143943
2019,938.7948452879108
2020,1008.0494819561915
2021,1040.9910189161628
2022,1058.1157057657174
