Ano,Maranhão - Consumo de Cimento (t)
2008,963.205
2009,1123.586
2010,1378.741
2011,1282.016
2012,1528.77
2013,1563.125
2014,1303.4115714285715
2015,1191.5096571428573
2016,1100.2177714285715
2017,971.921
2018,750.012
2019,774.045
2020,1038.249
2021,1059.129
2022,1083.999
