Ano,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
1985,0.171782902,32501854.5318179,24.6238167146,689830906.516178
1986,0.455027841,39892088.7450884,25.7691064844,737619284.757861
1987,,,,
1988,11.20341559,44008249.0185773,25.3008555922,754296912.554229
1989,0.622647505,2626.3704140635,7.9065010698,7189658.15032213
1990,18.26216825,2736.1919913401,7.4802792384,6918218.53673977
1991,109.515708,2367.7491962768,7.6122181897,7155728.68931521
1992,1069.520619,2293.9890608326,7.6062331607,7422702.36073241
1993,24925.04919,2938.4247616788,7.5925648284,7589307.61804223
1994,662907.3973,3658.0475050275,7.6169350505,7792360.68167524
1995,1840341.806,3599.4599794279,7.7713175348,8130888.62582438
1996,2165596.516,3684.4391842758,7.7757470707,8315376.14166201
1997,2467997.68,4463.5354070239,7.9080208851,8639149.04798674
1998,2786155.149,4435.4874174953,8.0789021631,9005067.50704824
1999,3015695.225,4899.7365400175,8.0857119891,9269055.93869552
2000,3671728.026,605845.459552915,8.1320619577,9534379.11791264
2001,4843263.94,1245872.10199263,8.0138560417,9606201.22331252
2002,4774432.88617439,927755.471936457,7.5145845539,9070208.76069787
2003,5906150.64151456,705334.751504,7.994283143,9834415.23114682
2004,6505956.21820758,927839.142207934,7.9624854847,10053784.5222977
2005,6828062.48301878,747887.156493563,7.5219887434,9821671.31795409
2006,7696537.66459988,657980.603584492,7.7815962464,10368517.8841295
2007,9144817.73254798,809760.15795557,8.5431675647,11574317.5893356
2008,10867395.0399315,912825.964086903,9.8745776016,12644524.9883787
2009,12414420.2992936,1114237.78450151,10.4176452195,13460128.9235539
2010,14809182.2574019,1465063.01407845,10.435623066,14809182.2574019
2011,16557454.9811119,1138722.24069726,10.9115367753,15285884.57618
2012,18716492.5195935,934711.556114848,11.2913004048,16007608.8360742
2013,21641035.4606069,1161616.33226653,11.6474407412,17216827.5957842
2014,23748712.6640957,1164810.7305475,11.7036488037,17518957.8212156
2015,26295521.0054646,1062055.25387481,11.9021521468,18033260.1735554
2016,28531462.4820665,823586.312825835,11.807608276,18099906.341569
2017,30851837.5822098,946790.181530724,12.1823437491,18878802.0135053
2018,32111975.6981573,981134.818429709,12.2368445252,18804898.916967
2019,35538425.7601649,879111.349560556,12.8565998065,19967943.872186
2020,39508909.4157203,674477.333512976,13.1082342254,20849361.1931991
