,Minas Gerais- custo m2 (R$),Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t),Minas Gerais - Depósito Poupança (R$),Minas Gerais - IDH Educacao,Minas Gerais - value,Minas Gerais - IDH Renda,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Minas Gerais - IDH Longevidade
2003-1,10943.2596,0.7565371148204723,247.134,22637406.1176643,0.6989289279900401,0.3345360459481215,0.759344684931655,1.881651030020544,889.3966448252688,1304.1964487837097,18.796583221326166,16.168038754480285,85.63495183691757,0.3,648.89116,8.242461537567124,293775203.7644595,17250773.822793443,14.096054158781325,275911748.7069836,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968,0.8261747233137611
2003-2,11044.202676923074,0.756708211319166,305.708,22728268.01765971,0.69924990778552,0.3356703978945113,0.759119366898612,1.872777185767229,889.4506098790322,1289.3944162235475,18.293639672939072,15.115444668458782,83.1297099014337,0.3,652.3963138461539,8.236470415606963,294147980.8001445,17269592.65609134,14.102603076736544,276064795.0573721,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918,0.8266172445044698
2003-3,11138.440825071222,0.7568793078178597,284.168,22819129.91765512,0.6995708875809997,0.3365530144162337,0.7588940488655691,1.6389969992235929,889.5844061753284,1285.306736539698,18.099368839605734,14.14824559438471,79.65552008661889,0.3,655.9115731054131,8.230479293646802,294520757.8358295,17288411.489389233,14.109151994691768,276217841.4077607,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264,0.8270597656951786
2003-4,11231.690825071224,0.7570504043165535,286.594,22909991.817650527,0.6998918673764796,0.33653098238474,0.7586687308325262,1.3392603303624997,890.048010245989,1258.4004326390018,17.617245183691757,13.127517867810209,77.29520902671105,0.3809139784946236,656.7464302482704,8.224488171686641,294893534.8715145,17307230.32268713,14.11570091264699,276370887.75814927,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468,0.8275022868858873
2003-5,11322.829100933292,0.7572215008152472,312.455,23000853.71764593,0.7002128471719594,0.3364055318384156,0.7584434127994834,1.2041232175311904,890.2323939719214,1261.3658928023483,17.00505216062041,12.074203003667623,74.99132678784191,0.5747307006378098,660.1146716275807,8.218497049726482,295266311.9071995,17326049.155985028,14.122249830602213,276523934.1085378,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032,0.8279448080765961
2003-6,11410.21110093329,0.7573925973139409,299.651,23091715.61764134,0.7005338269674392,0.335765690691913,0.7582180947664404,0.9997019158750692,890.4018856629737,1268.7932833132418,16.946477601736802,11.802539229478803,73.73063013954295,0.8999982010243465,661.4202382942473,8.21250592776632,295639088.9428845,17344867.98928292,14.128798748557434,276676980.4589263,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904,0.8283873292673049
2003-7,11493.635939642969,0.7575636938126347,340.885,23182577.51763675,0.700854806762919,0.3356249559233373,0.7579927767333975,0.8986225404138024,890.1869854911691,1298.7152801377772,17.161562661223087,11.46956425130034,71.83712629634496,1.3721948906470705,666.4659479716668,8.20651480580616,296011865.9785695,17363686.822580818,14.135347666512656,276830026.8093149,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383,0.8288298504580136
2003-8,11573.722189642973,0.7577347903113284,322.275,23273439.41763216,0.7011757865583989,0.3343562234594034,0.7577674587003546,0.9618951003134284,889.084205076569,1332.3602245840068,17.675296155490695,12.168394814575464,72.4391223836951,1.968942602092967,668.8839167216668,8.200523683845999,296384643.01425457,17382505.655878715,14.141896584467878,276983073.1597035,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182,0.8292723716487225
2003-9,11650.782795703575,0.7579058868100221,345.219,23364301.317627568,0.7014967663538786,0.3323442108107594,0.7575421406673116,1.102089804646082,888.6187466605008,1328.871239653178,18.54508715387408,13.157759834333705,73.33576845808572,2.3487644570865918,673.6921894489394,8.194532561885838,296757420.0499396,17401324.48917661,14.1484455024231,277136119.510092,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797,0.8297148928394312
2003-10,11725.06250158593,0.7580769833087159,352.678,23455163.217622973,0.7018177461493584,0.330185600544828,0.7573168226342688,1.141141416527854,887.8009047289091,1330.2960721589436,19.286756259152668,13.954702089975564,73.93522583458811,2.627698518870723,677.8824541548217,8.188541439925679,297130197.0856246,17420143.322474506,14.154994420378324,277289165.86048055,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887,0.83015741403014
