Ano,Rondônia - Consumo de Cimento (t)
2014,620.0512843373774
2015,526.1244986543984
2016,458.91108015226763
2017,427.9579253388991
2018,425.3795717119349
2019,448.430639200524
2020,475.488422945905
2021,487.9653106145143
2022,493.2559917971949
