Ano,Alagoas
1980,0.41
1981,0.4158181818181818
1982,0.4216363636363636
1983,0.42745454545454536
1984,0.43288042992500075
1985,0.4379827483889757
1986,0.442979326327957
1987,0.4480879892234316
1988,0.45352656255688634
1989,0.45951287180980804
1990,0.46626474246368366
1991,0.474
1992,0.4830364087470668
1993,0.49329072440403526
1994,0.5045661044458253
1995,0.5166657063473576
1996,0.5293926875835524
1997,0.5425502056293297
1998,0.55594141795961
1999,0.5693694820493139
2000,0.5826375553733615
2001,0.595548795406673
2002,0.607906359624169
2003,0.6195134055007695
2004,0.6301730905113949
2005,0.6396885721309657
2006,0.6478630078344021
2007,0.6544995550966244
2008,0.659401371392553
2009,0.6623716141971079
2010,0.6632134409852098
2011,0.661730009231779
2012,0.6577244764117356
2012,0.651
2013,0.648
2014,0.666
2015,0.666
2016,0.68
2017,0.679
2018,0.689
2019,0.687
2020,0.694
2021,0.684
