Ano,Paraná
1980,0.7
1981,0.7054545454545454
1982,0.7109090909090908
1983,0.7163636363636362
1984,0.7222346512785037
1985,0.7284491693061975
1986,0.7347759432531156
1987,0.740983725925656
1988,0.7468412701302167
1989,0.7521173286731957
1990,0.7565806543609908
1991,0.76
1992,0.7622018731398558
1993,0.7632685397204735
1994,0.7633466176029616
1995,0.7625827246484289
1996,0.7611234787179837
1997,0.7591154976727347
1998,0.7567053993737902
1999,0.7540398016822589
2000,0.7512653224592496
2001,0.7485285795658705
2002,0.7459761908632302
2003,0.7437547742124375
2004,0.7420109474746007
2005,0.7408913285108285
2006,0.7405425351822292
2007,0.7411111853499118
2008,0.7427438968749844
2009,0.7455872876185559
2010,0.7497879754417346
2011,0.7554925782056291
2012,0.7628477137713481
2012,0.772
2013,0.782
2014,0.788
2015,0.786
2016,0.797
2017,0.797
2018,0.805
2019,0.807
2020,0.787
2021,0.769
