Ano,São Paulo - Consumo de Cimento (t)
2014,13714.511285714287
2015,11767.65342857143
2016,9811.084285714287
2017,9918.501
2018,10001.077
2019,10458.276
2020,11181.809
2021,12113.838
2022,12383.649
