Ano,São Paulo - IDH Longevitude
2014,0.8497301010942762
2015,0.8602783310453016
2016,0.85848545204942
2017,0.8560750385993672
2018,0.8530818602902187
2019,0.8493620294075114
2020,0.8449403957172851
2021,0.8450258862370382
2022,0.8482100577131326
