Ano,Mato Grosso - Produção de Cimento (t)
2014,1268.814713557253
2015,1123.3456269790577
2016,1075.2199025042821
2017,1111.8399842765177
2018,1139.8725083273991
2019,1211.0332406075263
2020,1314.6659250760342
2021,1390.580528534533
2022,1424.3179562676778
