,Maranhão - IDH Renda
2003-1,0.542831241403443
2003-2,0.5433616486979775
2003-3,0.5438920559925121
2003-4,0.5444224632870467
2003-5,0.5449528705815813
2003-6,0.5454832778761158
2003-7,0.5460136851706505
2003-8,0.5465440924651851
2003-9,0.5470744997597197
2003-10,0.5476049070542542
2003-11,0.5481353143487888
2003-12,0.5486657216433234
2004-1,0.549196128937858
2004-2,0.5496945600585926
2004-3,0.5501929911793273
2004-4,0.550691422300062
2004-5,0.5511898534207966
2004-6,0.5516882845415313
2004-7,0.552186715662266
2004-8,0.5526851467830007
2004-9,0.5531835779037354
2004-10,0.5536820090244701
2004-11,0.5541804401452047
2004-12,0.5546788712659394
2005-1,0.5551773023866741
2005-2,0.5556460223374311
2005-3,0.5561147422881881
2005-4,0.5565834622389452
2005-5,0.5570521821897022
2005-6,0.5575209021404592
2005-7,0.5579896220912164
2005-8,0.5584583420419734
2005-9,0.5589270619927305
2005-10,0.5593957819434875
2005-11,0.5598645018942445
2005-12,0.5603332218450016
2006-1,0.5608019417957586
2006-2,0.5612432155803603
2006-3,0.561684489364962
2006-4,0.5621257631495635
2006-5,0.5625670369341652
2006-6,0.5630083107187669
2006-7,0.5634495845033686
2006-8,0.5638908582879703
2006-9,0.5643321320725719
2006-10,0.5647734058571736
2006-11,0.5652146796417752
2006-12,0.5656559534263769
2007-1,0.5660972272109785
2007-2,0.5665133198332472
2007-3,0.5669294124555158
2007-4,0.5673455050777843
2007-5,0.5677615977000529
2007-6,0.5681776903223215
2007-7,0.56859378294459
2007-8,0.5690098755668586
2007-9,0.5694259681891272
2007-10,0.5698420608113958
2007-11,0.5702581534336644
2007-12,0.5706742460559329
2008-1,0.5710903386782015
2008-2,0.5714835151419592
2008-3,0.571876691605717
2008-4,0.5722698680694747
2008-5,0.5726630445332324
2008-6,0.5730562209969902
2008-7,0.5734493974607479
2008-8,0.5738425739245056
2008-9,0.5742357503882634
2008-10,0.574628926852021
2008-11,0.5750221033157787
2008-12,0.5754152797795365
2009-1,0.5758084562432942
2009-2,0.5761809815523634
2009-3,0.5765535068614326
2009-4,0.5769260321705018
2009-5,0.5772985574795709
2009-6,0.5776710827886401
2009-7,0.5780436080977093
2009-8,0.5784161334067784
2009-9,0.5787886587158476
2009-10,0.5791611840249168
2009-11,0.579533709333986
2009-12,0.5799062346430551
2010-1,0.5802787599521243
2010-2,0.5806328991103271
2010-3,0.58098703826853
2010-4,0.581341177426733
2010-5,0.5816953165849358
2010-6,0.5820494557431386
2010-7,0.5824035949013415
2010-8,0.5827577340595445
2010-9,0.5831118732177473
2010-10,0.5834660123759501
2010-11,0.583820151534153
2010-12,0.5841742906923559
2011-1,0.5845284298505588
2011-2,0.5848664478617176
2011-3,0.5852044658728764
2011-4,0.5855424838840353
2011-5,0.5858805018951941
2011-6,0.586218519906353
2011-7,0.5865565379175117
2011-8,0.5868945559286706
2011-9,0.5872325739398294
2011-10,0.5875705919509883
2011-11,0.5879086099621471
2011-12,0.588246627973306
2012-1,0.5885846459844648
2012-2,0.5891633216978807
2012-3,0.5897419974112964
2012-4,0.5903206731247123
2012-5,0.590899348838128
2012-6,0.5914780245515439
2012-7,0.5920567002649597
2012-8,0.5926353759783755
2012-9,0.5932140516917913
2012-10,0.593792727405207
2012-11,0.5943714031186229
2012-12,0.5949500788320387
2013-1,0.5955287545454545
2013-2,0.595483815340909
2013-3,0.5954388761363636
2013-4,0.5953939369318182
2013-5,0.5953489977272727
2013-6,0.5953040585227272
2013-7,0.5952591193181818
2013-8,0.5952141801136364
2013-9,0.5951692409090908
2013-10,0.5951243017045453
2013-11,0.5950793624999999
2013-12,0.5950344232954545
2014-1,0.594989484090909
2014-2,0.5949060777304293
2014-3,0.5948226713699494
2014-4,0.5947392650094696
2014-5,0.5946558586489898
2014-6,0.5945724522885101
2014-7,0.5944890459280303
2014-8,0.5944056395675504
2014-9,0.5943222332070707
2014-10,0.5942388268465909
2014-11,0.594155420486111
2014-12,0.5940720141256313
2015-1,0.5939886077651515
2015-2,0.5951146089847337
2015-3,0.5962406102043158
2015-4,0.597366611423898
2015-5,0.5984926126434802
2015-6,0.5996186138630624
2015-7,0.6007446150826445
2015-8,0.6018706163022268
2015-9,0.602996617521809
2015-10,0.6041226187413912
2015-11,0.6052486199609733
2015-12,0.6063746211805555
2016-1,0.6075006224001377
2016-2,0.6074589604486236
2016-3,0.6074172984971095
2016-4,0.6073756365455953
2016-5,0.6073339745940812
2016-6,0.6072923126425671
2016-7,0.607250650691053
2016-8,0.6072089887395389
2016-9,0.6071673267880248
2016-10,0.6071256648365106
2016-11,0.6070840028849965
2016-12,0.6070423409334824
2017-1,0.6070006789819683
2017-2,0.606940078065165
2017-3,0.6068794771483618
2017-4,0.6068188762315585
2017-5,0.6067582753147552
2017-6,0.606697674397952
2017-7,0.6066370734811487
2017-8,0.6065764725643454
2017-9,0.6065158716475422
2017-10,0.6064552707307389
2017-11,0.6063946698139356
2017-12,0.6063340688971324
2018-1,0.6062734679803291
2018-2,0.6061997821316952
2018-3,0.6061260962830614
2018-4,0.6060524104344275
2018-5,0.6059787245857936
2018-6,0.6059050387371597
2018-7,0.605831352888526
2018-8,0.6057576670398921
2018-9,0.6056839811912582
2018-10,0.6056102953426243
2018-11,0.6055366094939905
2018-12,0.6054629236453566
2019-1,0.6053892377967227
2019-2,0.605331580507304
2019-3,0.6052739232178852
2019-4,0.6052162659284663
2019-5,0.6051586086390476
2019-6,0.6051009513496288
2019-7,0.6050432940602101
2019-8,0.6049856367707913
2019-9,0.6049279794813726
2019-10,0.6048703221919538
2019-11,0.6048126649025349
2019-12,0.6047550076131162
2020-1,0.6046973503236974
2020-2,0.6046268757049376
2020-3,0.6045564010861777
2020-4,0.6044859264674178
2020-5,0.604415451848658
2020-6,0.6043449772298981
2020-7,0.6042745026111382
2020-8,0.6042040279923784
2020-9,0.6041335533736185
2020-10,0.6040630787548587
2020-11,0.6039926041360988
2020-12,0.6039221295173389
2021-1,0.6038516548985791
2021-2,0.6037217431932652
2021-3,0.6035918314879515
2021-4,0.6034619197826376
2021-5,0.6033320080773239
2021-6,0.60320209637201
2021-7,0.6030721846666962
2021-8,0.6029422729613825
2021-9,0.6028123612560686
2021-10,0.6026824495507549
2021-11,0.602552537845441
2021-12,0.6024226261401273
2022-1,0.6022927144348135
2022-2,0.6022873562108348
2022-3,0.6022819979868561
2022-4,0.6022766397628774
2022-5,0.6022712815388988
2022-6,0.6022659233149201
2022-7,0.6022605650909414
2022-8,0.6022552068669627
2022-9,0.602249848642984
2022-10,0.6022444904190054
2022-11,0.6022391321950267
2022-12,0.6022337739710479
2023-1,0.6022284157470693
