,Mato Grosso - IDH Renda
2003-1,0.7560382436995498
2003-2,0.755859944390558
2003-3,0.7556816450815662
2003-4,0.7555033457725745
2003-5,0.7553250464635828
2003-6,0.755146747154591
2003-7,0.7549684478455992
2003-8,0.7547901485366075
2003-9,0.7546118492276157
2003-10,0.754433549918624
2003-11,0.7542552506096323
2003-12,0.7540769513006405
2004-1,0.7538986519916487
2004-2,0.7537296795639646
2004-3,0.7535607071362804
2004-4,0.7533917347085963
2004-5,0.7532227622809121
2004-6,0.753053789853228
2004-7,0.7528848174255438
2004-8,0.7527158449978597
2004-9,0.7525468725701756
2004-10,0.7523779001424914
2004-11,0.7522089277148073
2004-12,0.7520399552871231
2005-1,0.751870982859439
2005-2,0.7517104606757522
2005-3,0.7515499384920653
2005-4,0.7513894163083785
2005-5,0.7512288941246916
2005-6,0.7510683719410048
2005-7,0.7509078497573181
2005-8,0.7507473275736312
2005-9,0.7505868053899444
2005-10,0.7504262832062575
2005-11,0.7502657610225707
2005-12,0.7501052388388838
2006-1,0.749944716655197
2006-2,0.7497917680781971
2006-3,0.7496388195011974
2006-4,0.7494858709241976
2006-5,0.7493329223471977
2006-6,0.7491799737701978
2006-7,0.7490270251931981
2006-8,0.7488740766161983
2006-9,0.7487211280391984
2006-10,0.7485681794621986
2006-11,0.7484152308851988
2006-12,0.748262282308199
2007-1,0.7481093337311991
2007-2,0.7479630821235761
2007-3,0.7478168305159529
2007-4,0.7476705789083299
2007-5,0.7475243273007068
2007-6,0.7473780756930837
2007-7,0.7472318240854606
2007-8,0.7470855724778376
2007-9,0.7469393208702144
2007-10,0.7467930692625914
2007-11,0.7466468176549683
2007-12,0.7465005660473452
2008-1,0.7463543144397221
2008-2,0.7462138831641655
2008-3,0.7460734518886087
2008-4,0.7459330206130521
2008-5,0.7457925893374955
2008-6,0.7456521580619389
2008-7,0.7455117267863822
2008-8,0.7453712955108255
2008-9,0.7452308642352689
2008-10,0.7450904329597122
2008-11,0.7449500016841555
2008-12,0.7448095704085989
2009-1,0.7446691391330422
2009-2,0.7445336515522417
2009-3,0.7443981639714412
2009-4,0.7442626763906407
2009-5,0.7441271888098402
2009-6,0.7439917012290397
2009-7,0.7438562136482392
2009-8,0.7437207260674388
2009-9,0.7435852384866383
2009-10,0.7434497509058378
2009-11,0.7433142633250372
2009-12,0.7431787757442367
2010-1,0.7430432881634362
2010-2,0.7429118676400815
2010-3,0.742780447116727
2010-4,0.7426490265933723
2010-5,0.7425176060700176
2010-6,0.7423861855466629
2010-7,0.7422547650233082
2010-8,0.7421233444999537
2010-9,0.741991923976599
2010-10,0.7418605034532443
2010-11,0.7417290829298897
2010-12,0.741597662406535
2011-1,0.7414662418831803
2011-2,0.7413380117799613
2011-3,0.7412097816767421
2011-4,0.7410815515735231
2011-5,0.740953321470304
2011-6,0.7408250913670849
2011-7,0.7406968612638658
2011-8,0.7405686311606468
2011-9,0.7404404010574276
2011-10,0.7403121709542085
2011-11,0.7401839408509895
2011-12,0.7400557107477703
2012-1,0.7399274806445513
2012-2,0.7396972431160912
2012-3,0.7394670055876311
2012-4,0.739236768059171
2012-5,0.739006530530711
