,Acre - IDH Renda
2003-1,0.6517258996966745
2003-2,0.6518467365452473
2003-3,0.6519675733938199
2003-4,0.6520884102423927
2003-5,0.6522092470909654
2003-6,0.6523300839395382
2003-7,0.6524509207881108
2003-8,0.6525717576366836
2003-9,0.6526925944852564
2003-10,0.6528134313338291
2003-11,0.6529342681824019
2003-12,0.6530551050309745
2004-1,0.6531759418795473
2004-2,0.6532862666998992
2004-3,0.653396591520251
2004-4,0.6535069163406029
2004-5,0.6536172411609547
2004-6,0.6537275659813065
2004-7,0.6538378908016584
2004-8,0.6539482156220102
2004-9,0.6540585404423621
2004-10,0.6541688652627139
2004-11,0.6542791900830658
2004-12,0.6543895149034176
2005-1,0.6544998397237695
2005-2,0.6546000736392087
2005-3,0.6547003075546479
2005-4,0.6548005414700871
2005-5,0.6549007753855264
2005-6,0.6550010093009656
2005-7,0.6551012432164047
2005-8,0.655201477131844
2005-9,0.6553017110472832
2005-10,0.6554019449627224
2005-11,0.6555021788781616
2005-12,0.6556024127936009
2006-1,0.6557026467090401
2006-2,0.655793210842875
2006-3,0.6558837749767098
2006-4,0.6559743391105447
2006-5,0.6560649032443796
2006-6,0.6561554673782144
2006-7,0.6562460315120493
2006-8,0.6563365956458842
2006-9,0.656427159779719
2006-10,0.6565177239135539
2006-11,0.6566082880473888
2006-12,0.6566988521812236
2007-1,0.6567894163150585
2007-2,0.6568707317905973
2007-3,0.6569520472661361
2007-4,0.6570333627416749
2007-5,0.6571146782172137
2007-6,0.6571959936927525
2007-7,0.6572773091682913
2007-8,0.65735862464383
2007-9,0.6574399401193688
2007-10,0.6575212555949076
2007-11,0.6576025710704464
2007-12,0.6576838865459852
2008-1,0.657765202021524
2008-2,0.657837689962075
2008-3,0.657910177902626
2008-4,0.6579826658431769
2008-5,0.6580551537837279
2008-6,0.658127641724279
2008-7,0.6582001296648299
2008-8,0.6582726176053808
2008-9,0.6583451055459318
2008-10,0.6584175934864829
2008-11,0.6584900814270338
2008-12,0.6585625693675847
2009-1,0.6586350573081358
2009-2,0.6586991388370071
2009-3,0.6587632203658786
2009-4,0.6588273018947501
2009-5,0.6588913834236215
2009-6,0.6589554649524929
2009-7,0.6590195464813644
2009-8,0.6590836280102359
2009-9,0.6591477095391073
2009-10,0.6592117910679787
2009-11,0.6592758725968502
2009-12,0.6593399541257217
2010-1,0.659404035654593
2010-2,0.6594601318950932
2010-3,0.6595162281355934
2010-4,0.6595723243760936
2010-5,0.6596284206165938
2010-6,0.659684516857094
2010-7,0.6597406130975942
2010-8,0.6597967093380944
2010-9,0.6598528055785946
2010-10,0.6599089018190948
2010-11,0.659964998059595
2010-12,0.6600210943000951
2011-1,0.6600771905405953
2011-2,0.6601257226160325
2011-3,0.6601742546914697
2011-4,0.6602227867669068
2011-5,0.660271318842344
2011-6,0.6603198509177812
2011-7,0.6603683829932184
2011-8,0.6604169150686556
2011-9,0.6604654471440928
2011-10,0.66051397921953
2011-11,0.6605625112949671
2011-12,0.6606110433704043
2012-1,0.6606595754458415
2012-2,0.6607645358253548
