,Espírito Santo - IDH Renda
2003-1,0.7576150617829054
2003-2,0.7574160267349231
2003-3,0.7572169916869409
2003-4,0.7570179566389585
2003-5,0.7568189215909763
2003-6,0.7566198865429941
2003-7,0.7564208514950117
2003-8,0.7562218164470295
2003-9,0.7560227813990472
2003-10,0.755823746351065
2003-11,0.7556247113030827
2003-12,0.7554256762551004
2004-1,0.7552266412071181
2004-2,0.7550374478129693
2004-3,0.7548482544188204
2004-4,0.7546590610246716
2004-5,0.7544698676305227
2004-6,0.7542806742363739
2004-7,0.754091480842225
2004-8,0.7539022874480762
2004-9,0.7537130940539274
2004-10,0.7535239006597785
2004-11,0.7533347072656297
2004-12,0.7531455138714808
2005-1,0.752956320477332
2005-2,0.7527760816841216
2005-3,0.7525958428909112
2005-4,0.7524156040977008
2005-5,0.7522353653044905
2005-6,0.7520551265112801
2005-7,0.7518748877180698
2005-8,0.7516946489248594
2005-9,0.751514410131649
2005-10,0.7513341713384387
2005-11,0.7511539325452283
2005-12,0.750973693752018
2006-1,0.7507934549588076
2006-2,0.7506212837136407
2006-3,0.7504491124684738
2006-4,0.750276941223307
2006-5,0.7501047699781401
2006-6,0.7499325987329732
2006-7,0.7497604274878064
2006-8,0.7495882562426395
2006-9,0.7494160849974726
2006-10,0.7492439137523057
2006-11,0.7490717425071389
2006-12,0.748899571261972
2007-1,0.7487274000168052
2007-2,0.7485624092667869
2007-3,0.7483974185167686
2007-4,0.7482324277667501
2007-5,0.7480674370167318
2007-6,0.7479024462667135
2007-7,0.7477374555166951
2007-8,0.7475724647666768
2007-9,0.7474074740166585
2007-10,0.7472424832666402
2007-11,0.7470774925166219
2007-12,0.7469125017666035
2008-1,0.7467475110165852
2008-2,0.7465888137088205
2008-3,0.7464301164010557
2008-4,0.746271419093291
2008-5,0.7461127217855262
2008-6,0.7459540244777615
2008-7,0.7457953271699967
2008-8,0.745636629862232
2008-9,0.7454779325544673
2008-10,0.7453192352467025
2008-11,0.7451605379389378
2008-12,0.745001840631173
2009-1,0.7448431433234083
2009-2,0.7446898524050022
2009-3,0.744536561486596
2009-4,0.7443832705681899
2009-5,0.7442299796497838
2009-6,0.7440766887313777
2009-7,0.7439233978129716
2009-8,0.7437701068945654
2009-9,0.7436168159761593
2009-10,0.7434635250577531
2009-11,0.7433102341393469
2009-12,0.7431569432209408
2010-1,0.7430036523025347
2010-2,0.7428548807205922
2010-3,0.7427061091386498
2010-4,0.7425573375567073
2010-5,0.7424085659747648
2010-6,0.7422597943928223
2010-7,0.7421110228108798
2010-8,0.7419622512289374
2010-9,0.741813479646995
2010-10,0.7416647080650525
2010-11,0.74151593648311
2010-12,0.7413671649011675
2011-1,0.741218393319225
2011-2,0.7410732540208512
2011-3,0.7409281147224774
2011-4,0.7407829754241037
2011-5,0.7406378361257299
2011-6,0.7404926968273561
2011-7,0.7403475575289824
2011-8,0.7402024182306086
2011-9,0.7400572789322348
2011-10,0.739912139633861
2011-11,0.7397670003354873
2011-12,0.7396218610371135
2012-1,0.7394767217387397
2012-2,0.7392085090685921
2012-3,0.7389402963984447
2012-4,0.7386720837282972
2012-5,0.7384038710581496
2012-6,0.7381356583880022
2012-7,0.7378674457178547
2012-8,0.7375992330477071
2012-9,0.7373310203775597
2012-10,0.7370628077074122
2012-11,0.7367945950372646
2012-12,0.7365263823671172
2013-1,0.7362581696969697
2013-2,0.7363016292087542
2013-3,0.7363450887205387
2013-4,0.7363885482323232
2013-5,0.7364320077441078
2013-6,0.7364754672558923
2013-7,0.7365189267676768
2013-8,0.7365623862794612
2013-9,0.7366058457912458
2013-10,0.7366493053030303
2013-11,0.7366927648148148
2013-12,0.7367362243265994
2014-1,0.7367796838383839
2014-2,0.7367989871983727
2014-3,0.7368182905583615
2014-4,0.7368375939183502
2014-5,0.7368568972783389
2014-6,0.7368762006383277
2014-7,0.7368955039983165
2014-8,0.7369148073583053
2014-9,0.7369341107182941
2014-10,0.7369534140782827
2014-11,0.7369727174382715
2014-12,0.7369920207982603
2015-1,0.7370113241582491
2015-2,0.7365031772791041
2015-3,0.7359950303999592
2015-4,0.7354868835208141
2015-5,0.7349787366416691
2015-6,0.7344705897625242
2015-7,0.7339624428833792
2015-8,0.7334542960042342
2015-9,0.7329461491250893
2015-10,0.7324380022459442
2015-11,0.7319298553667992
2015-12,0.7314217084876543
2016-1,0.7309135616085093
2016-2,0.7309129067722101
2016-3,0.7309122519359109
2016-4,0.7309115970996118
2016-5,0.7309109422633127
2016-6,0.7309102874270135
2016-7,0.7309096325907143
2016-8,0.7309089777544151
2016-9,0.7309083229181159
2016-10,0.7309076680818167
2016-11,0.7309070132455177
2016-12,0.7309063584092185
2017-1,0.7309057035729193
2017-2,0.7309352922363505
2017-3,0.7309648808997817
2017-4,0.7309944695632129
2017-5,0.7310240582266441
2017-6,0.7310536468900753
2017-7,0.7310832355535065
2017-8,0.7311128242169377
2017-9,0.731142412880369
2017-10,0.7311720015438001
2017-11,0.7312015902072313
2017-12,0.7312311788706626
2018-1,0.7312607675340937
2018-2,0.7312930460760187
2018-3,0.7313253246179436
2018-4,0.7313576031598685
2018-5,0.7313898817017935
2018-6,0.7314221602437185
2018-7,0.7314544387856434
2018-8,0.7314867173275683
2018-9,0.7315189958694933
2018-10,0.7315512744114183
2018-11,0.7315835529533432
2018-12,0.7316158314952681
2019-1,0.7316481100371931
2019-2,0.7316227169314142
2019-3,0.7315973238256355
2019-4,0.7315719307198566
2019-5,0.7315465376140777
2019-6,0.731521144508299
2019-7,0.7314957514025201
2019-8,0.7314703582967412
2019-9,0.7314449651909625
2019-10,0.7314195720851836
2019-11,0.7313941789794047
2019-12,0.731368785873626
2020-1,0.7313433927678471
2020-2,0.7312247821069975
2020-3,0.7311061714461479
2020-4,0.7309875607852983
2020-5,0.7308689501244485
2020-6,0.7307503394635989
2020-7,0.7306317288027493
2020-8,0.7305131181418997
2020-9,0.7303945074810501
2020-10,0.7302758968202003
2020-11,0.7301572861593507
2020-12,0.7300386754985011
2021-1,0.7299200648376515
2021-2,0.7298967319955125
2021-3,0.7298733991533735
2021-4,0.7298500663112344
2021-5,0.7298267334690954
2021-6,0.7298034006269565
2021-7,0.7297800677848174
2021-8,0.7297567349426783
2021-9,0.7297334021005394
2021-10,0.7297100692584004
2021-11,0.7296867364162614
2021-12,0.7296634035741223
2022-1,0.7296400707319833
2022-2,0.7297509803587408
2022-3,0.7298618899854983
2022-4,0.7299727996122557
2022-5,0.7300837092390131
2022-6,0.7301946188657706
2022-7,0.730305528492528
2022-8,0.7304164381192855
2022-9,0.730527347746043
2022-10,0.7306382573728004
2022-11,0.7307491669995578
2022-12,0.7308600766263154
2023-1,0.7309709862530728
