,Bahia - IDH Renda
2003-1,0.6387151546032495
2003-2,0.6389481191457431
2003-3,0.6391810836882368
2003-4,0.6394140482307304
2003-5,0.639647012773224
2003-6,0.6398799773157177
2003-7,0.6401129418582113
2003-8,0.640345906400705
2003-9,0.6405788709431987
2003-10,0.6408118354856922
2003-11,0.6410448000281859
2003-12,0.6412777645706795
2004-1,0.6415107291131732
2004-2,0.6417258353805011
2004-3,0.6419409416478289
2004-4,0.6421560479151568
2004-5,0.6423711541824847
2004-6,0.6425862604498125
2004-7,0.6428013667171404
2004-8,0.6430164729844683
2004-9,0.6432315792517961
2004-10,0.643446685519124
2004-11,0.6436617917864519
2004-12,0.6438768980537797
2005-1,0.6440920043211076
2005-2,0.6442902376219
2005-3,0.6444884709226922
2005-4,0.6446867042234846
2005-5,0.644884937524277
2005-6,0.6450831708250693
2005-7,0.6452814041258617
2005-8,0.645479637426654
2005-9,0.6456778707274463
2005-10,0.6458761040282387
2005-11,0.6460743373290311
2005-12,0.6462725706298234
2006-1,0.6464708039306157
2006-2,0.6466531495735028
2006-3,0.6468354952163899
2006-4,0.647017840859277
2006-5,0.6472001865021642
2006-6,0.6473825321450513
2006-7,0.6475648777879384
2006-8,0.6477472234308254
2006-9,0.6479295690737125
2006-10,0.6481119147165996
2006-11,0.6482942603594867
2006-12,0.6484766060023738
2007-1,0.6486589516452609
2007-2,0.648826394938873
2007-3,0.6489938382324851
2007-4,0.6491612815260972
2007-5,0.6493287248197093
2007-6,0.6494961681133213
2007-7,0.6496636114069334
2007-8,0.6498310547005456
2007-9,0.6499984979941577
2007-10,0.6501659412877697
2007-11,0.6503333845813819
2007-12,0.650500827874994
2008-1,0.650668271168606
2008-2,0.6508217974215734
2008-3,0.6509753236745408
2008-4,0.6511288499275081
2008-5,0.6512823761804755
2008-6,0.6514359024334428
2008-7,0.6515894286864102
2008-8,0.6517429549393776
2008-9,0.651896481192345
2008-10,0.6520500074453124
2008-11,0.6522035336982797
2008-12,0.652357059951247
2009-1,0.6525105862042144
2009-2,0.6526511807251674
2009-3,0.6527917752461202
2009-4,0.6529323697670731
2009-5,0.6530729642880261
2009-6,0.6532135588089789
2009-7,0.6533541533299319
2009-8,0.6534947478508848
2009-9,0.6536353423718376
2009-10,0.6537759368927906
2009-11,0.6539165314137435
2009-12,0.6540571259346963
2010-1,0.6541977204556493
2010-2,0.654326368553218
2010-3,0.6544550166507866
2010-4,0.6545836647483554
2010-5,0.654712312845924
2010-6,0.6548409609434928
2010-7,0.6549696090410615
2010-8,0.6550982571386301
2010-9,0.6552269052361989
2010-10,0.6553555533337675
2010-11,0.6554842014313362
2010-12,0.6556128495289049
2011-1,0.6557414976264736
2011-2,0.6558591846092884
2011-3,0.655976871592103
2011-4,0.6560945585749178
2011-5,0.6562122455577326
2011-6,0.6563299325405474
2011-7,0.6564476195233622
2011-8,0.6565653065061768
2011-9,0.6566829934889916
2011-10,0.6568006804718064
2011-11,0.6569183674546211
2011-12,0.6570360544374358
2012-1,0.6571537414202506
2012-2,0.6573592254685631
2012-3,0.6575647095168755
2012-4,0.657770193565188
2012-5,0.6579756776135004
2012-6,0.6581811616618128
2012-7,0.6583866457101253
2012-8,0.6585921297584377
2012-9,0.6587976138067502
2012-10,0.6590030978550626
2012-11,0.6592085819033751
2012-12,0.6594140659516875
2013-1,0.6596195499999999
2013-2,0.6595752413194443
2013-3,0.6595309326388888
2013-4,0.6594866239583332
2013-5,0.6594423152777777
2013-6,0.6593980065972221
2013-7,0.6593536979166665
2013-8,0.659309389236111
2013-9,0.6592650805555554
2013-10,0.659220771875
2013-11,0.6591764631944443
2013-12,0.6591321545138888
2014-1,0.6590878458333332
2014-2,0.659032900318287
2014-3,0.6589779548032406
2014-4,0.6589230092881944
2014-5,0.6588680637731481
2014-6,0.6588131182581017
2014-7,0.6587581727430555
2014-8,0.6587032272280092
2014-9,0.6586482817129629
2014-10,0.6585933361979166
2014-11,0.6585383906828703
2014-12,0.658483445167824
2015-1,0.6584284996527777
2015-2,0.6588407905566077
2015-3,0.6592530814604377
2015-4,0.6596653723642676
2015-5,0.6600776632680976
2015-6,0.6604899541719276
2015-7,0.6609022450757576
2015-8,0.6613145359795876
2015-9,0.6617268268834176
2015-10,0.6621391177872475
2015-11,0.6625514086910774
2015-12,0.6629636995949074
2016-1,0.6633759904987374
2016-2,0.6633182328510006
2016-3,0.6632604752032637
2016-4,0.6632027175555268
2016-5,0.66314495990779
2016-6,0.6630872022600531
2016-7,0.6630294446123164
2016-8,0.6629716869645795
2016-9,0.6629139293168427
2016-10,0.6628561716691058
2016-11,0.662798414021369
2016-12,0.6627406563736321
2017-1,0.6626828987258953
2017-2,0.6626880722010914
2017-3,0.6626932456762876
2017-4,0.6626984191514838
2017-5,0.66270359262668
2017-6,0.6627087661018761
2017-7,0.6627139395770723
2017-8,0.6627191130522685
2017-9,0.6627242865274646
2017-10,0.6627294600026609
2017-11,0.662734633477857
2017-12,0.6627398069530532
2018-1,0.6627449804282494
2018-2,0.6626521393708876
2018-3,0.6625592983135259
2018-4,0.6624664572561642
2018-5,0.6623736161988024
