,Pernambuco - IDH Renda
2003-1,0.6596949909688626
2003-2,0.6598404651382653
2003-3,0.6599859393076681
2003-4,0.6601314134770708
2003-5,0.6602768876464736
2003-6,0.6604223618158763
2003-7,0.6605678359852791
2003-8,0.6607133101546818
2003-9,0.6608587843240845
2003-10,0.6610042584934873
2003-11,0.66114973266289
2003-12,0.6612952068322928
2004-1,0.6614406810016955
2004-2,0.6615689720250364
2004-3,0.6616972630483773
2004-4,0.6618255540717182
2004-5,0.661953845095059
2004-6,0.6620821361183998
2004-7,0.6622104271417407
2004-8,0.6623387181650816
2004-9,0.6624670091884225
2004-10,0.6625953002117633
2004-11,0.6627235912351042
2004-12,0.662851882258445
2005-1,0.6629801732817859
2005-2,0.6630916346070523
2005-3,0.6632030959323187
2005-4,0.6633145572575851
2005-5,0.6634260185828516
2005-6,0.663537479908118
2005-7,0.6636489412333844
2005-8,0.6637604025586507
2005-9,0.6638718638839171
2005-10,0.6639833252091835
2005-11,0.6640947865344499
2005-12,0.6642062478597163
2006-1,0.6643177091849827
2006-2,0.664412694260162
2006-3,0.6645076793353414
2006-4,0.6646026644105207
2006-5,0.6646976494857001
2006-6,0.6647926345608794
2006-7,0.6648876196360587
2006-8,0.664982604711238
2006-9,0.6650775897864174
2006-10,0.6651725748615968
2006-11,0.6652675599367761
2006-12,0.6653625450119555
2007-1,0.6654575300871348
2007-2,0.6655363923602144
2007-3,0.6656152546332942
2007-4,0.6656941169063739
2007-5,0.6657729791794536
2007-6,0.6658518414525332
2007-7,0.6659307037256129
2007-8,0.6660095659986927
2007-9,0.6660884282717723
2007-10,0.6661672905448519
2007-11,0.6662461528179316
2007-12,0.6663250150910114
2008-1,0.666403877364091
2008-2,0.6664669702830585
2008-3,0.6665300632020259
2008-4,0.6665931561209933
2008-5,0.6666562490399608
2008-6,0.6667193419589282
2008-7,0.6667824348778957
2008-8,0.666845527796863
2008-9,0.6669086207158305
2008-10,0.6669717136347979
2008-11,0.6670348065537653
2008-12,0.6670978994727328
2009-1,0.6671609923917002
2009-2,0.6672086694045428
2009-3,0.6672563464173854
2009-4,0.6673040234302281
2009-5,0.6673517004430707
2009-6,0.6673993774559133
2009-7,0.6674470544687559
2009-8,0.6674947314815984
2009-9,0.667542408494441
2009-10,0.6675900855072836
2009-11,0.6676377625201263
2009-12,0.6676854395329689
2010-1,0.6677331165458115
2010-2,0.6677657311005166
2010-3,0.6677983456552218
2010-4,0.667830960209927
2010-5,0.6678635747646322
2010-6,0.6678961893193374
2010-7,0.6679288038740425
2010-8,0.6679614184287477
2010-9,0.6679940329834528
2010-10,0.668026647538158
2010-11,0.6680592620928633
2010-12,0.6680918766475684
2011-1,0.6681244912022736
2011-2,0.6681423967468287
2011-3,0.6681603022913839
2011-4,0.6681782078359391
2011-5,0.6681961133804941
2011-6,0.6682140189250493
2011-7,0.6682319244696044
2011-8,0.6682498300141596
2011-9,0.6682677355587148
2011-10,0.6682856411032698
2011-11,0.668303546647825
2011-12,0.6683214521923801
2012-1,0.6683393577369353
2012-2,0.6683680126477463
2012-3,0.6683966675585572
2012-4,0.6684253224693681
2012-5,0.6684539773801791
2012-6,0.66848263229099
2012-7,0.668511287201801
2012-8,0.6685399421126119
2012-9,0.6685685970234229
2012-10,0.6685972519342338
2012-11,0.6686259068450447
2012-12,0.6686545617558557
2013-1,0.6686832166666666
2013-2,0.6686532390046296
2013-3,0.6686232613425925
2013-4,0.6685932836805555
2013-5,0.6685633060185185
2013-6,0.6685333283564815
2013-7,0.6685033506944444
2013-8,0.6684733730324074
2013-9,0.6684433953703703
2013-10,0.6684134177083334
2013-11,0.6683834400462964
2013-12,0.6683534623842593
2014-1,0.6683234847222222
2014-2,0.6682076755883488
2014-3,0.6680918664544753
2014-4,0.6679760573206018
2014-5,0.6678602481867284
2014-6,0.667744439052855
2014-7,0.6676286299189815
2014-8,0.667512820785108
2014-9,0.6673970116512346
2014-10,0.6672812025173611
2014-11,0.6671653933834876
2014-12,0.6670495842496141
2015-1,0.6669337751157407
2015-2,0.6670373277690095
2015-3,0.6671408804222783
2015-4,0.6672444330755471
2015-5,0.6673479857288159
2015-6,0.6674515383820847
2015-7,0.6675550910353536
2015-8,0.6676586436886224
2015-9,0.6677621963418912
2015-10,0.6678657489951599
2015-11,0.6679693016484287
2015-12,0.6680728543016976
2016-1,0.6681764069549664
2016-2,0.6680262282197768
2016-3,0.6678760494845871
2016-4,0.6677258707493974
2016-5,0.6675756920142077
2016-6,0.6674255132790181
2016-7,0.6672753345438285
2016-8,0.6671251558086388
2016-9,0.6669749770734492
2016-10,0.6668247983382596
2016-11,0.6666746196030698
2016-12,0.6665244408678802
2017-1,0.6663742621326906
2017-2,0.6662937641185442
2017-3,0.666213266104398
2017-4,0.6661327680902518
2017-5,0.6660522700761055
2017-6,0.6659717720619591
2017-7,0.6658912740478129
2017-8,0.6658107760336667
2017-9,0.6657302780195203
2017-10,0.665649780005374
2017-11,0.6655692819912278
2017-12,0.6654887839770816
2018-1,0.6654082859629352
2018-2,0.6653659244929575
2018-3,0.6653235630229797
2018-4,0.665281201553002
2018-5,0.6652388400830241
2018-6,0.6651964786130464
2018-7,0.6651541171430686
2018-8,0.6651117556730909
2018-9,0.6650693942031132
2018-10,0.6650270327331353
2018-11,0.6649846712631576
2018-12,0.6649423097931798
2019-1,0.6648999483232021
2019-2,0.6648688873256505
2019-3,0.6648378263280991
2019-4,0.6648067653305476
2019-5,0.664775704332996
2019-6,0.6647446433354445
2019-7,0.664713582337893
2019-8,0.6646825213403416
2019-9,0.66465146034279
2019-10,0.6646203993452384
2019-11,0.664589338347687
2019-12,0.6645582773501355
2020-1,0.6645272163525839
2020-2,0.664409998294649
2020-3,0.664292780236714
2020-4,0.664175562178779
2020-5,0.6640583441208441
