,Santa Catarina - IDH Renda
2003-1,0.8070646205059924
2003-2,0.8067448855565021
2003-3,0.806425150607012
2003-4,0.8061054156575218
2003-5,0.8057856807080317
2003-6,0.8054659457585415
2003-7,0.8051462108090512
2003-8,0.8048264758595611
2003-9,0.8045067409100709
2003-10,0.8041870059605808
2003-11,0.8038672710110906
2003-12,0.8035475360616005
2004-1,0.8032278011121102
2004-2,0.8029289153683417
2004-3,0.8026300296245731
2004-4,0.8023311438808045
2004-5,0.8020322581370359
2004-6,0.8017333723932674
2004-7,0.8014344866494988
2004-8,0.8011356009057302
2004-9,0.8008367151619616
2004-10,0.8005378294181931
2004-11,0.8002389436744245
2004-12,0.7999400579306559
2005-1,0.7996411721868874
2005-2,0.7993617759885467
2005-3,0.7990823797902061
2005-4,0.7988029835918655
2005-5,0.7985235873935249
2005-6,0.7982441911951843
2005-7,0.7979647949968438
2005-8,0.7976853987985032
2005-9,0.7974060026001626
2005-10,0.797126606401822
2005-11,0.7968472102034814
2005-12,0.7965678140051408
2006-1,0.7962884178068002
2006-2,0.7960271514935939
2006-3,0.7957658851803876
2006-4,0.7955046188671813
2006-5,0.795243352553975
2006-6,0.7949820862407688
2006-7,0.7947208199275625
2006-8,0.7944595536143562
2006-9,0.7941982873011499
2006-10,0.7939370209879437
2006-11,0.7936757546747374
2006-12,0.7934144883615311
2007-1,0.7931532220483248
2007-2,0.7929087259599592
2007-3,0.7926642298715936
2007-4,0.7924197337832279
2007-5,0.7921752376948624
2007-6,0.7919307416064968
2007-7,0.7916862455181312
2007-8,0.7914417494297655
2007-9,0.7911972533413999
2007-10,0.7909527572530344
2007-11,0.7907082611646687
2007-12,0.7904637650763031
2008-1,0.7902192689879375
2008-2,0.7899901834641189
2008-3,0.7897610979403002
2008-4,0.7895320124164816
2008-5,0.789302926892663
2008-6,0.7890738413688444
2008-7,0.7888447558450258
2008-8,0.7886156703212073
2008-9,0.7883865847973887
2008-10,0.78815749927357
2008-11,0.7879284137497514
2008-12,0.7876993282259328
2009-1,0.7874702427021142
2009-2,0.787255208082549
2009-3,0.7870401734629837
2009-4,0.7868251388434185
2009-5,0.7866101042238532
2009-6,0.7863950696042881
2009-7,0.7861800349847228
2009-8,0.7859650003651576
2009-9,0.7857499657455924
2009-10,0.7855349311260271
2009-11,0.785319896506462
2009-12,0.7851048618868967
2010-1,0.7848898272673315
2010-2,0.7846874838917259
2010-3,0.7844851405161204
2010-4,0.7842827971405149
2010-5,0.7840804537649093
2010-6,0.7838781103893038
2010-7,0.7836757670136982
2010-8,0.7834734236380928
2010-9,0.7832710802624873
2010-10,0.7830687368868817
2010-11,0.7828663935112762
2010-12,0.7826640501356706
2011-1,0.7824617067600651
2011-2,0.7822706949681256
2011-3,0.7820796831761861
2011-4,0.7818886713842468
2011-5,0.7816976595923073
2011-6,0.7815066478003678
2011-7,0.7813156360084283
2011-8,0.7811246242164889
2011-9,0.7809336124245494
2011-10,0.7807426006326099
2011-11,0.7805515888406706
2011-12,0.7803605770487311
2012-1,0.7801695652567916
2012-2,0.7798151570409478
2012-3,0.7794607488251041
2012-4,0.7791063406092604
2012-5,0.7787519323934167
2012-6,0.7783975241775729
2012-7,0.7780431159617291
2012-8,0.7776887077458854
2012-9,0.7773342995300416
2012-10,0.7769798913141979
2012-11,0.7766254830983542
2012-12,0.7762710748825105
2013-1,0.7759166666666667
2013-2,0.7759994212962963
2013-3,0.776082175925926
2013-4,0.7761649305555556
2013-5,0.7762476851851852
2013-6,0.7763304398148149
