,Alagoas - IDH Renda
2003-1,0.5879824042576214
2003-2,0.5883539478138853
2003-3,0.5887254913701492
2003-4,0.589097034926413
2003-5,0.5894685784826769
2003-6,0.5898401220389408
2003-7,0.5902116655952045
2003-8,0.5905832091514684
2003-9,0.5909547527077323
2003-10,0.5913262962639962
2003-11,0.5916978398202601
2003-12,0.5920693833765239
2004-1,0.5924409269327878
2004-2,0.5927894054088177
2004-3,0.5931378838848476
2004-4,0.5934863623608775
2004-5,0.5938348408369074
2004-6,0.5941833193129372
2004-7,0.5945317977889671
2004-8,0.5948802762649971
2004-9,0.5952287547410269
2004-10,0.5955772332170568
2004-11,0.5959257116930867
2004-12,0.5962741901691165
2005-1,0.5966226686451465
2005-2,0.5969496141646363
2005-3,0.5972765596841261
2005-4,0.5976035052036159
2005-5,0.5979304507231057
2005-6,0.5982573962425956
2005-7,0.5985843417620853
2005-8,0.5989112872815752
2005-9,0.599238232801065
2005-10,0.5995651783205548
2005-11,0.5998921238400446
2005-12,0.6002190693595344
2006-1,0.6005460148790243
2006-2,0.600852959565668
2006-3,0.6011599042523116
2006-4,0.6014668489389553
2006-5,0.601773793625599
2006-6,0.6020807383122426
2006-7,0.6023876829988863
2006-8,0.6026946276855301
2006-9,0.6030015723721737
2006-10,0.6033085170588174
2006-11,0.6036154617454611
2006-12,0.6039224064321047
2007-1,0.6042293511187484
2007-2,0.6045178270962399
2007-3,0.6048063030737314
2007-4,0.6050947790512229
2007-5,0.6053832550287144
2007-6,0.6056717310062059
2007-7,0.6059602069836973
2007-8,0.6062486829611888
2007-9,0.6065371589386803
2007-10,0.6068256349161718
2007-11,0.6071141108936633
2007-12,0.6074025868711548
2008-1,0.6076910628486463
2008-2,0.6079626022406794
2008-3,0.6082341416327126
2008-4,0.6085056810247459
2008-5,0.6087772204167791
2008-6,0.6090487598088122
2008-7,0.6093202992008455
2008-8,0.6095918385928787
2008-9,0.6098633779849119
2008-10,0.610134917376945
2008-11,0.6104064567689782
2008-12,0.6106779961610115
2009-1,0.6109495355530447
2009-2,0.6112056704833135
2009-3,0.6114618054135823
2009-4,0.6117179403438512
2009-5,0.6119740752741201
2009-6,0.612230210204389
2009-7,0.6124863451346578
2009-8,0.6127424800649266
2009-9,0.6129986149951955
2009-10,0.6132547499254644
2009-11,0.6135108848557331
2009-12,0.613767019786002
2010-1,0.6140231547162709
2010-2,0.6142654173084693
2010-3,0.6145076799006678
2010-4,0.6147499424928662
2010-5,0.6149922050850646
2010-6,0.6152344676772631
2010-7,0.6154767302694615
2010-8,0.6157189928616599
2010-9,0.6159612554538584
2010-10,0.6162035180460568
2010-11,0.6164457806382552
2010-12,0.6166880432304537
2011-1,0.6169303058226521
2011-2,0.617160228200474
2011-3,0.6173901505782959
2011-4,0.6176200729561179
2011-5,0.6178499953339399
2011-6,0.6180799177117619
2011-7,0.6183098400895838
2011-8,0.6185397624674057
2011-9,0.6187696848452277
2011-10,0.6189996072230497
2011-11,0.6192295296008716
2011-12,0.6194594519786936
2012-1,0.6196893743565155
2012-2,0.6200693519985231
2012-3,0.6204493296405306
2012-4,0.6208293072825382
2012-5,0.6212092849245456
2012-6,0.6215892625665532
2012-7,0.6219692402085608
2012-8,0.6223492178505683
2012-9,0.6227291954925759
2012-10,0.6231091731345834
2012-11,0.623489150776591
2012-12,0.6238691284185984
2013-1,0.624249106060606
2013-2,0.6242300026304713
2013-3,0.6242108992003367
2013-4,0.624191795770202
2013-5,0.6241726923400673
2013-6,0.6241535889099327
2013-7,0.624134485479798
2013-8,0.6241153820496633
2013-9,0.6240962786195287
2013-10,0.624077175189394
2013-11,0.6240580717592593
2013-12,0.6240389683291246
2014-1,0.62401986489899
2014-2,0.6239852806274552
2014-3,0.6239506963559204
2014-4,0.6239161120843856
2014-5,0.6238815278128508
2014-6,0.623846943541316
2014-7,0.6238123592697812
2014-8,0.6237777749982464
2014-9,0.6237431907267116
2014-10,0.6237086064551768
2014-11,0.623674022183642
2014-12,0.6236394379121072
2015-1,0.6236048536405724
2015-2,0.6243186448114351
2015-3,0.6250324359822977
2015-4,0.6257462271531604
2015-5,0.6264600183240231
2015-6,0.6271738094948858
2015-7,0.6278876006657484
2015-8,0.6286013918366111
2015-9,0.6293151830074738
2015-10,0.6300289741783365
2015-11,0.6307427653491992
2015-12,0.6314565565200618
2016-1,0.6321703476909245
2016-2,0.6321413351734315
2016-3,0.6321123226559385
2016-4,0.6320833101384455
2016-5,0.6320542976209526
2016-6,0.6320252851034596
2016-7,0.6319962725859665
2016-8,0.6319672600684735
2016-9,0.6319382475509805
2016-10,0.6319092350334875
2016-11,0.6318802225159945
2016-12,0.6318512099985015
2017-1,0.6318221974810085
2017-2,0.6317829717043495
2017-3,0.6317437459276904
2017-4,0.6317045201510314
2017-5,0.6316652943743725
2017-6,0.6316260685977134
2017-7,0.6315868428210544
2017-8,0.6315476170443953
2017-9,0.6315083912677363
2017-10,0.6314691654910773
2017-11,0.6314299397144183
2017-12,0.6313907139377593
2018-1,0.6313514881611002
2018-2,0.6313541509501994
2018-3,0.6313568137392986
2018-4,0.6313594765283979
2018-5,0.6313621393174972
2018-6,0.6313648021065964
2018-7,0.6313674648956956
2018-8,0.6313701276847948
2018-9,0.631372790473894
2018-10,0.6313754532629934
2018-11,0.6313781160520926
2018-12,0.6313807788411918
2019-1,0.631383441630291
2019-2,0.631340891945672
2019-3,0.631298342261053
2019-4,0.6312557925764339
2019-5,0.631213242891815
2019-6,0.631170693207196
2019-7,0.631128143522577
2019-8,0.6310855938379579
