,Tocantins - IDH Renda
2003-1,0.6376109354505484
2003-2,0.6379881173006353
2003-3,0.6383652991507223
2003-4,0.6387424810008093
2003-5,0.6391196628508963
2003-6,0.6394968447009832
2003-7,0.6398740265510702
2003-8,0.6402512084011571
2003-9,0.6406283902512441
2003-10,0.641005572101331
2003-11,0.6413827539514181
2003-12,0.641759935801505
2004-1,0.642137117651592
2004-2,0.6424931815722905
2004-3,0.642849245492989
2004-4,0.6432053094136876
2004-5,0.6435613733343861
2004-6,0.6439174372550847
2004-7,0.6442735011757832
2004-8,0.6446295650964818
2004-9,0.6449856290171804
2004-10,0.6453416929378789
2004-11,0.6456977568585774
2004-12,0.646053820779276
2005-1,0.6464098846999745
2005-2,0.6467463809792406
2005-3,0.6470828772585067
2005-4,0.6474193735377728
2005-5,0.6477558698170389
2005-6,0.648092366096305
2005-7,0.6484288623755712
2005-8,0.6487653586548372
2005-9,0.6491018549341033
2005-10,0.6494383512133695
2005-11,0.6497748474926355
2005-12,0.6501113437719016
2006-1,0.6504478400511677
2006-2,0.6507663189769574
2006-3,0.651084797902747
2006-4,0.6514032768285367
2006-5,0.6517217557543263
2006-6,0.652040234680116
2006-7,0.6523587136059056
2006-8,0.6526771925316952
2006-9,0.6529956714574848
2006-10,0.6533141503832745
2006-11,0.6536326293090642
2006-12,0.6539511082348538
2007-1,0.6542695871606434
2007-2,0.6545715990209126
2007-3,0.6548736108811817
2007-4,0.6551756227414509
2007-5,0.65547763460172
2007-6,0.6557796464619892
2007-7,0.6560816583222583
2007-8,0.6563836701825274
2007-9,0.6566856820427965
2007-10,0.6569876939030657
2007-11,0.6572897057633349
2007-12,0.657591717623604
2008-1,0.6578937294838731
2008-2,0.6581808245665778
2008-3,0.6584679196492824
2008-4,0.658755014731987
2008-5,0.6590421098146917
2008-6,0.6593292048973963
2008-7,0.659616299980101
2008-8,0.6599033950628055
2008-9,0.6601904901455101
2008-10,0.6604775852282148
2008-11,0.6607646803109194
2008-12,0.661051775393624
2009-1,0.6613388704763287
2009-2,0.6616125990694247
2009-3,0.6618863276625209
2009-4,0.6621600562556169
2009-5,0.6624337848487131
2009-6,0.6627075134418091
2009-7,0.6629812420349053
2009-8,0.6632549706280013
2009-9,0.6635286992210974
2009-10,0.6638024278141935
2009-11,0.6640761564072896
2009-12,0.6643498850003857
2010-1,0.6646236135934818
2010-2,0.6648855259849253
2010-3,0.6651474383763688
2010-4,0.6654093507678123
2010-5,0.6656712631592558
2010-6,0.6659331755506994
2010-7,0.6661950879421429
2010-8,0.6664570003335863
2010-9,0.6667189127250299
2010-10,0.6669808251164735
2010-11,0.667242737507917
2010-12,0.6675046498993604
2011-1,0.667766562290804
2011-2,0.6680182087685509
2011-3,0.6682698552462979
2011-4,0.6685215017240449
2011-5,0.6687731482017918
2011-6,0.6690247946795387
2011-7,0.6692764411572857
2011-8,0.6695280876350327
2011-9,0.6697797341127796
2011-10,0.6700313805905265
2011-11,0.6702830270682735
2011-12,0.6705346735460205
2012-1,0.6707863200237674
2012-2,0.6711929151985544
2012-3,0.6715995103733414
2012-4,0.6720061055481286
2012-5,0.6724127007229156
2012-6,0.6728192958977026
2012-7,0.6732258910724898
2012-8,0.6736324862472768
2012-9,0.6740390814220638
2012-10,0.6744456765968508
2012-11,0.6748522717716379
2012-12,0.675258866946425
2013-1,0.675665462121212
2013-2,0.6756770278303871
2013-3,0.6756885935395622
2013-4,0.6757001592487373
2013-5,0.6757117249579123
