,Mato Grosso do Sul - IDH Renda
2003-1,0.7810962964284639
2003-2,0.7807497654470614
2003-3,0.780403234465659
2003-4,0.7800567034842565
2003-5,0.7797101725028539
2003-6,0.7793636415214514
2003-7,0.779017110540049
2003-8,0.7786705795586465
2003-9,0.778324048577244
2003-10,0.7779775175958414
2003-11,0.777630986614439
2003-12,0.7772844556330365
2004-1,0.776937924651634
2004-2,0.7766162950681449
2004-3,0.7762946654846556
2004-4,0.7759730359011665
2004-5,0.7756514063176774
2004-6,0.7753297767341881
2004-7,0.775008147150699
2004-8,0.7746865175672099
2004-9,0.7743648879837206
2004-10,0.7740432584002315
2004-11,0.7737216288167423
2004-12,0.7733999992332531
2005-1,0.773078369649764
2005-2,0.7727802162379251
2005-3,0.7724820628260863
2005-4,0.7721839094142475
2005-5,0.7718857560024087
2005-6,0.7715876025905699
2005-7,0.771289449178731
2005-8,0.7709912957668922
2005-9,0.7706931423550534
2005-10,0.7703949889432146
2005-11,0.7700968355313758
2005-12,0.769798682119537
2006-1,0.7695005287076981
2006-2,0.7692244262412468
2006-3,0.7689483237747953
2006-4,0.7686722213083439
2006-5,0.7683961188418925
2006-6,0.768120016375441
2006-7,0.7678439139089897
2006-8,0.7675678114425383
2006-9,0.7672917089760868
2006-10,0.7670156065096354
2006-11,0.766739504043184
2006-12,0.7664634015767325
2007-1,0.7661872991102812
2007-2,0.7659318223629542
2007-3,0.7656763456156273
2007-4,0.7654208688683003
2007-5,0.7651653921209733
2007-6,0.7649099153736464
2007-7,0.7646544386263194
2007-8,0.7643989618789924
2007-9,0.7641434851316654
2007-10,0.7638880083843385
2007-11,0.7636325316370115
2007-12,0.7633770548896845
2008-1,0.7631215781423576
2008-2,0.762885301887892
2008-3,0.7626490256334266
2008-4,0.7624127493789612
2008-5,0.7621764731244957
2008-6,0.7619401968700301
2008-7,0.7617039206155647
2008-8,0.7614676443610993
2008-9,0.7612313681066337
2008-10,0.7609950918521682
2008-11,0.7607588155977028
2008-12,0.7605225393432373
2009-1,0.7602862630887718
2009-2,0.7600677621009049
