,Minas Gerais - IDH Renda
2003-1,0.759344684931655
2003-2,0.759119366898612
2003-3,0.7588940488655691
2003-4,0.7586687308325262
2003-5,0.7584434127994834
2003-6,0.7582180947664404
2003-7,0.7579927767333975
2003-8,0.7577674587003546
2003-9,0.7575421406673116
2003-10,0.7573168226342688
2003-11,0.7570915046012259
2003-12,0.7568661865681829
2004-1,0.75664086853514
2004-2,0.756427739339777
2004-3,0.756214610144414
2004-4,0.7560014809490512
2004-5,0.7557883517536882
2004-6,0.7555752225583252
2004-7,0.7553620933629623
2004-8,0.7551489641675994
2004-9,0.7549358349722364
2004-10,0.7547227057768734
2004-11,0.7545095765815104
2004-12,0.7542964473861475
2005-1,0.7540833181907846
2005-2,0.7538814194116429
2005-3,0.7536795206325013
2005-4,0.7534776218533596
2005-5,0.7532757230742181
2005-6,0.7530738242950764
2005-7,0.7528719255159348
2005-8,0.7526700267367932
2005-9,0.7524681279576515
2005-10,0.7522662291785099
2005-11,0.7520643303993683
2005-12,0.7518624316202267
2006-1,0.751660532841085
2006-2,0.7514689060567061
2006-3,0.7512772792723271
2006-4,0.7510856524879482
2006-5,0.7508940257035693
2006-6,0.7507023989191903
2006-7,0.7505107721348114
2006-8,0.7503191453504325
2006-9,0.7501275185660535
2006-10,0.7499358917816746
2006-11,0.7497442649972957
2006-12,0.7495526382129167
2007-1,0.7493610114285378
2007-2,0.749178698217463
2007-3,0.7489963850063881
2007-4,0.7488140717953132
2007-5,0.7486317585842384
2007-6,0.7484494453731635
2007-7,0.7482671321620886
2007-8,0.7480848189510138
2007-9,0.7479025057399389
2007-10,0.747720192528864
2007-11,0.7475378793177891
2007-12,0.7473555661067143
2008-1,0.7471732528956394
2008-2,0.7469992948364099
2008-3,0.7468253367771805
2008-4,0.7466513787179511
2008-5,0.7464774206587216
2008-6,0.7463034625994922
2008-7,0.7461295045402627
2008-8,0.7459555464810332
2008-9,0.7457815884218039
2008-10,0.7456076303625744
2008-11,0.7454336723033449
2008-12,0.7452597142441155
2009-1,0.745085756184886
2009-2,0.7449191948560434
2009-3,0.7447526335272008
2009-4,0.7445860721983582
2009-5,0.7444195108695154
2009-6,0.7442529495406728
2009-7,0.7440863882118302
2009-8,0.7439198268829875
2009-9,0.7437532655541449
2009-10,0.7435867042253022
2009-11,0.7434201428964595
2009-12,0.7432535815676169
2010-1,0.7430870202387743
2010-2,0.7429268972188597
2010-3,0.7427667741989453
2010-4,0.7426066511790308
2010-5,0.7424465281591164
2010-6,0.7422864051392019
2010-7,0.7421262821192873
2010-8,0.7419661590993729
2010-9,0.7418060360794584
2010-10,0.741645913059544
2010-11,0.7414857900396294
2010-12,0.741325667019715
2011-1,0.7411655439998005
2011-2,0.7410109008673555
2011-3,0.7408562577349106
2011-4,0.7407016146024656
2011-5,0.7405469714700207
2011-6,0.7403923283375757
2011-7,0.7402376852051309
2011-8,0.7400830420726859
2011-9,0.739928398940241
2011-10,0.739773755807796
2011-11,0.7396191126753511
2011-12,0.7394644695429061
2012-1,0.7393098264104612
2012-2,0.7390155373409025
2012-3,0.7387212482713439
2012-4,0.7384269592017852
2012-5,0.7381326701322266
2012-6,0.737838381062668
2012-7,0.7375440919931093
2012-8,0.7372498029235508
2012-9,0.7369555138539922
2012-10,0.7366612247844335
2012-11,0.7363669357148749
2012-12,0.7360726466453162
2013-1,0.7357783575757576
2013-2,0.7358462628367004
2013-3,0.7359141680976431
2013-4,0.7359820733585859
2013-5,0.7360499786195287
2013-6,0.7361178838804714
2013-7,0.7361857891414142
2013-8,0.736253694402357
2013-9,0.7363215996632997
2013-10,0.7363895049242425
2013-11,0.7364574101851853
2013-12,0.736525315446128
2014-1,0.7365932207070708
2014-2,0.7366181736286477
2014-3,0.7366431265502246
2014-4,0.7366680794718015
2014-5,0.7366930323933782
2014-6,0.7367179853149551
2014-7,0.736742938236532
2014-8,0.7367678911581089
2014-9,0.7367928440796858
2014-10,0.7368177970012626
2014-11,0.7368427499228395
2014-12,0.7368677028444164
2015-1,0.7368926557659933
2015-2,0.7363429968313182
2015-3,0.7357933378966433
2015-4,0.7352436789619682
2015-5,0.7346940200272931
2015-6,0.7341443610926182
2015-7,0.7335947021579431
2015-8,0.733045043223268
2015-9,0.7324953842885931
2015-10,0.731945725353918
2015-11,0.7313960664192429
2015-12,0.730846407484568
2016-1,0.7302967485498929
2016-2,0.7302535420995133
2016-3,0.7302103356491337
2016-4,0.7301671291987542
2016-5,0.7301239227483745
2016-6,0.7300807162979949
2016-7,0.7300375098476153
2016-8,0.7299943033972357
2016-9,0.7299510969468561
2016-10,0.7299078904964764
2016-11,0.7298646840460968
2016-12,0.7298214775957172
2017-1,0.7297782711453377
2017-2,0.729814470169166
2017-3,0.7298506691929942
2017-4,0.7298868682168226
2017-5,0.7299230672406509
2017-6,0.7299592662644793
2017-7,0.7299954652883076
2017-8,0.7300316643121358
2017-9,0.7300678633359642
2017-10,0.7301040623597925
2017-11,0.7301402613836208
2017-12,0.7301764604074491
2018-1,0.7302126594312774
2018-2,0.7302066947299992
2018-3,0.7302007300287211
2018-4,0.7301947653274429
2018-5,0.7301888006261646
2018-6,0.7301828359248865
2018-7,0.7301768712236083
2018-8,0.7301709065223301
2018-9,0.730164941821052
2018-10,0.7301589771197737
2018-11,0.7301530124184955
2018-12,0.7301470477172174
2019-1,0.7301410830159392
2019-2,0.7301194245539386
2019-3,0.7300977660919382
2019-4,0.7300761076299377
2019-5,0.7300544491679373
2019-6,0.7300327907059367
2019-7,0.7300111322439362
2019-8,0.7299894737819358
2019-9,0.7299678153199353
2019-10,0.7299461568579348
2019-11,0.7299244983959343
2019-12,0.7299028399339339
2020-1,0.7298811814719334
2020-2,0.7298499783012662
2020-3,0.729818775130599
2020-4,0.7297875719599318
2020-5,0.7297563687892648
2020-6,0.7297251656185976
2020-7,0.7296939624479304
2020-8,0.7296627592772632
2020-9,0.729631556106596
2020-10,0.729600352935929
2020-11,0.7295691497652618
2020-12,0.7295379465945946
2021-1,0.7295067434239274
2021-2,0.7295105823892601
2021-3,0.729514421354593
2021-4,0.7295182603199257
2021-5,0.7295220992852586
2021-6,0.7295259382505913
2021-7,0.7295297772159242
2021-8,0.7295336161812569
2021-9,0.7295374551465896
2021-10,0.7295412941119225
2021-11,0.7295451330772552
2021-12,0.7295489720425881
2022-1,0.7295528110079208
2022-2,0.7296403323034354
2022-3,0.7297278535989499
2022-4,0.7298153748944645
2022-5,0.7299028961899791
2022-6,0.7299904174854935
2022-7,0.7300779387810081
2022-8,0.7301654600765227
2022-9,0.7302529813720372
2022-10,0.7303405026675518
2022-11,0.7304280239630664
2022-12,0.7305155452585809
2023-1,0.7306030665540955
