,Roraima - IDH Renda
2003-1,0.7668112495613184
2003-2,0.7663480571482768
2003-3,0.7658848647352353
2003-4,0.7654216723221938
2003-5,0.7649584799091522
2003-6,0.7644952874961106
2003-7,0.7640320950830691
2003-8,0.7635689026700276
2003-9,0.763105710256986
2003-10,0.7626425178439444
2003-11,0.7621793254309029
2003-12,0.7617161330178615
2004-1,0.7612529406048198
2004-2,0.7608110508264017
2004-3,0.7603691610479835
2004-4,0.7599272712695653
2004-5,0.7594853814911472
2004-6,0.759043491712729
2004-7,0.7586016019343108
2004-8,0.7581597121558926
2004-9,0.7577178223774744
2004-10,0.7572759325990563
2004-11,0.7568340428206382
2004-12,0.75639215304222
2005-1,0.7559502632638018
2005-2,0.755527516823101
2005-3,0.7551047703824002
2005-4,0.7546820239416995
2005-5,0.7542592775009987
2005-6,0.7538365310602979
2005-7,0.7534137846195972
2005-8,0.7529910381788965
2005-9,0.7525682917381956
2005-10,0.7521455452974949
2005-11,0.7517227988567942
2005-12,0.7513000524160933
2006-1,0.7508773059753926
2006-2,0.7504715435755033
2006-3,0.750065781175614
2006-4,0.7496600187757246
2006-5,0.7492542563758353
2006-6,0.748848493975946
2006-7,0.7484427315760567
2006-8,0.7480369691761674
2006-9,0.747631206776278
2006-10,0.7472254443763887
2006-11,0.7468196819764994
2006-12,0.7464139195766101
2007-1,0.7460081571767208
2007-2,0.7456172195207369
2007-3,0.745226281864753
2007-4,0.7448353442087692
2007-5,0.7444444065527853
2007-6,0.7440534688968015
2007-7,0.7436625312408176
2007-8,0.7432715935848337
2007-9,0.7428806559288499
2007-10,0.742489718272866
2007-11,0.7420987806168822
2007-12,0.7417078429608983
2008-1,0.7413169053049145
2008-2,0.7409386330959301
2008-3,0.7405603608869458
2008-4,0.7401820886779614
2008-5,0.7398038164689771
2008-6,0.7394255442599927
2008-7,0.7390472720510084
2008-8,0.738668999842024
2008-9,0.7382907276330397
2008-10,0.7379124554240554
2008-11,0.737534183215071
2008-12,0.7371559110060867
2009-1,0.7367776387971023
2009-2,0.7364098727382116
2009-3,0.7360421066793207
2009-4,0.7356743406204299
2009-5,0.7353065745615391
2009-6,0.7349388085026483
2009-7,0.7345710424437575
2009-8,0.7342032763848667
2009-9,0.7338355103259758
2009-10,0.733467744267085
2009-11,0.7330999782081943
2009-12,0.7327322121493034
2010-1,0.7323644460904126
2010-2,0.7320050268847094
2010-3,0.7316456076790061
2010-4,0.7312861884733028
2010-5,0.7309267692675996
2010-6,0.7305673500618963
2010-7,0.7302079308561931
2010-8,0.7298485116504899
2010-9,0.7294890924447867
2010-10,0.7291296732390834
2010-11,0.7287702540333801
2010-12,0.7284108348276769
2011-1,0.7280514156219736
2011-2,0.7276981839725519
