,Rio Grande do Sul - IDH Renda
2003-1,0.813272698915198
2003-2,0.8129534439031574
2003-3,0.8126341888911167
2003-4,0.812314933879076
2003-5,0.8119956788670354
2003-6,0.8116764238549947
2003-7,0.8113571688429542
2003-8,0.8110379138309135
2003-9,0.8107186588188728
2003-10,0.8103994038068322
2003-11,0.8100801487947915
2003-12,0.8097608937827508
2004-1,0.8094416387707102
2004-2,0.809144135216261
2004-3,0.8088466316618119
2004-4,0.8085491281073627
2004-5,0.8082516245529136
2004-6,0.8079541209984644
2004-7,0.8076566174440153
2004-8,0.8073591138895662
2004-9,0.807061610335117
2004-10,0.8067641067806679
2004-11,0.8064666032262187
2004-12,0.8061690996717695
2005-1,0.8058715961173204
2005-2,0.8055944945549772
2005-3,0.805317392992634
2005-4,0.8050402914302909
2005-5,0.8047631898679477
2005-6,0.8044860883056045
2005-7,0.8042089867432614
2005-8,0.8039318851809183
2005-9,0.8036547836185751
2005-10,0.803377682056232
2005-11,0.8031005804938888
2005-12,0.8028234789315456
2006-1,0.8025463773692024
2006-2,0.8022883283334797
2006-3,0.802030279297757
2006-4,0.8017722302620343
2006-5,0.8015141812263116
2006-6,0.8012561321905889
2006-7,0.8009980831548662
2006-8,0.8007400341191435
2006-9,0.8004819850834208
2006-10,0.8002239360476981
2006-11,0.7999658870119754
2006-12,0.7997078379762527
2007-1,0.79944978894053
2007-2,0.7992094429659422
2007-3,0.7989690969913544
2007-4,0.7987287510167667
2007-5,0.7984884050421789
2007-6,0.7982480590675911
2007-7,0.7980077130930034
2007-8,0.7977673671184157
2007-9,0.7975270211438279
2007-10,0.7972866751692401
2007-11,0.7970463291946523
2007-12,0.7968059832200646
2008-1,0.7965656372454768
2008-2,0.7963416448665385
2008-3,0.7961176524876
2008-4,0.7958936601086617
2008-5,0.7956696677297233
2008-6,0.7954456753507849
2008-7,0.7952216829718466
2008-8,0.7949976905929081
2008-9,0.7947736982139698
2008-10,0.7945497058350314
2008-11,0.794325713456093
2008-12,0.7941017210771546
2009-1,0.7938777286982163
2009-2,0.7936687404494418
2009-3,0.7934597522006672
2009-4,0.7932507639518928
2009-5,0.7930417757031183
2009-6,0.7928327874543437
2009-7,0.7926237992055692
2009-8,0.7924148109567948
2009-9,0.7922058227080202
2009-10,0.7919968344592457
2009-11,0.7917878462104713
2009-12,0.7915788579616967
2010-1,0.7913698697129222
2010-2,0.791174536128826
2010-3,0.79097920254473
2010-4,0.7907838689606338
2010-5,0.7905885353765376
2010-6,0.7903932017924414
2010-7,0.7901978682083453
2010-8,0.7900025346242492
2010-9,0.789807201040153
2010-10,0.7896118674560568
2010-11,0.7894165338719608
2010-12,0.7892212002878646
2011-1,0.7890258667037684
2011-2,0.788842838318865
2011-3,0.7886598099339617
2011-4,0.7884767815490583
2011-5,0.7882937531641551
2011-6,0.7881107247792517
2011-7,0.7879276963943483
2011-8,0.787744668009445
2011-9,0.7875616396245416
2011-10,0.7873786112396384
2011-11,0.787195582854735
2011-12,0.7870125544698316
2012-1,0.7868295260849283
2012-2,0.7864753890626994
2012-3,0.7861212520404706
2012-4,0.7857671150182417
2012-5,0.7854129779960128
2012-6,0.785058840973784
2012-7,0.7847047039515551
2012-8,0.7843505669293261
2012-9,0.7839964299070973
2012-10,0.7836422928848684
2012-11,0.7832881558626396
2012-12,0.7829340188404107
2013-1,0.7825798818181818
2013-2,0.7826880754419192
2013-3,0.7827962690656566
2013-4,0.782904462689394
2013-5,0.7830126563131313
2013-6,0.7831208499368687
2013-7,0.7832290435606061
2013-8,0.7833372371843434
2013-9,0.7834454308080808
2013-10,0.7835536244318182
2013-11,0.7836618180555556
2013-12,0.7837700116792929
2014-1,0.7838782053030303
2014-2,0.7839537483954124
2014-3,0.7840292914877947
2014-4,0.7841048345801768
2014-5,0.7841803776725589
2014-6,0.7842559207649411
2014-7,0.7843314638573232
2014-8,0.7844070069497053
2014-9,0.7844825500420876
2014-10,0.7845580931344697
2014-11,0.7846336362268518
2014-12,0.784709179319234
2015-1,0.7847847224116161
2015-2,0.7840923804646847
2015-3,0.7834000385177533
2015-4,0.7827076965708218
2015-5,0.7820153546238904
2015-6,0.781323012676959
2015-7,0.7806306707300276
2015-8,0.7799383287830961
2015-9,0.7792459868361648
2015-10,0.7785536448892333
2015-11,0.7778613029423018
2015-12,0.7771689609953705
2016-1,0.776476619048439
2016-2,0.7764802297988059
2016-3,0.776483840549173
2016-4,0.7764874512995399
2016-5,0.7764910620499068
2016-6,0.7764946728002737
2016-7,0.7764982835506407
2016-8,0.7765018943010077
2016-9,0.7765055050513746
2016-10,0.7765091158017415
2016-11,0.7765127265521086
2016-12,0.7765163373024755
2017-1,0.7765199480528424
2017-2,0.7765541900835458
2017-3,0.7765884321142491
2017-4,0.7766226741449525
2017-5,0.7766569161756559
2017-6,0.7766911582063593
2017-7,0.7767254002370626
2017-8,0.776759642267766
2017-9,0.7767938842984693
2017-10,0.7768281263291728
2017-11,0.7768623683598761
2017-12,0.7768966103905794
2018-1,0.7769308524212828
2018-2,0.7769379043335652
2018-3,0.7769449562458477
2018-4,0.7769520081581301
2018-5,0.7769590600704126
2018-6,0.776966111982695
2018-7,0.7769731638949775
2018-8,0.7769802158072598
2018-9,0.7769872677195423
2018-10,0.7769943196318247
2018-11,0.7770013715441072
2018-12,0.7770084234563897
2019-1,0.7770154753686721
2019-2,0.7770307441214651
2019-3,0.777046012874258
2019-4,0.777061281627051
2019-5,0.777076550379844
2019-6,0.7770918191326369
2019-7,0.7771070878854299
2019-8,0.7771223566382229
2019-9,0.7771376253910158
2019-10,0.7771528941438088
2019-11,0.7771681628966018
2019-12,0.7771834316493947
2020-1,0.7771987004021877
2020-2,0.7771547511628104
2020-3,0.777110801923433
2020-4,0.7770668526840556
2020-5,0.7770229034446783
2020-6,0.7769789542053008
2020-7,0.7769350049659235
2020-8,0.7768910557265462
2020-9,0.7768471064871687
2020-10,0.7768031572477914
2020-11,0.776759208008414
2020-12,0.7767152587690366
2021-1,0.7766713095296592
2021-2,0.7766915467230657
2021-3,0.7767117839164723
2021-4,0.7767320211098788
2021-5,0.7767522583032853
2021-6,0.7767724954966918
2021-7,0.7767927326900983
2021-8,0.7768129698835049
2021-9,0.7768332070769114
2021-10,0.7768534442703179
2021-11,0.7768736814637245
2021-12,0.776893918657131
2022-1,0.7769141558505375
2022-2,0.7769892630918294
2022-3,0.7770643703331214
2022-4,0.7771394775744133
2022-5,0.7772145848157053
2022-6,0.7772896920569972
2022-7,0.777364799298289
2022-8,0.7774399065395811
2022-9,0.777515013780873
2022-10,0.777590121022165
2022-11,0.7776652282634569
2022-12,0.7777403355047489
2023-1,0.7778154427460408
