,Ceará - IDH Renda
2003-1,0.6093427902720338
2003-2,0.6097399415502421
2003-3,0.6101370928284505
2003-4,0.6105342441066589
2003-5,0.6109313953848673
2003-6,0.6113285466630757
2003-7,0.6117256979412841
2003-8,0.6121228492194924
2003-9,0.6125200004977008
2003-10,0.6129171517759092
2003-11,0.6133143030541176
2003-12,0.613711454332326
2004-1,0.6141086056105344
2004-2,0.6144854229245169
2004-3,0.6148622402384993
2004-4,0.6152390575524818
2004-5,0.6156158748664643
2004-6,0.6159926921804468
2004-7,0.6163695094944293
2004-8,0.6167463268084117
2004-9,0.6171231441223942
2004-10,0.6174999614363768
2004-11,0.6178767787503592
2004-12,0.6182535960643416
2005-1,0.6186304133783241
2005-2,0.6189886431371594
2005-3,0.6193468728959945
2005-4,0.6197051026548298
2005-5,0.6200633324136651
2005-6,0.6204215621725003
2005-7,0.6207797919313356
2005-8,0.6211380216901707
2005-9,0.621496251449006
2005-10,0.6218544812078413
2005-11,0.6222127109666764
2005-12,0.6225709407255117
2006-1,0.6229291704843469
2006-2,0.6232705590971136
2006-3,0.6236119477098803
2006-4,0.6239533363226469
2006-5,0.6242947249354136
2006-6,0.6246361135481803
2006-7,0.6249775021609469
2006-8,0.6253188907737135
2006-9,0.6256602793864802
2006-10,0.6260016679992468
2006-11,0.6263430566120135
2006-12,0.6266844452247802
2007-1,0.6270258338375468
2007-2,0.6273521277133236
2007-3,0.6276784215891004
2007-4,0.6280047154648771
2007-5,0.6283310093406539
2007-6,0.6286573032164307
2007-7,0.6289835970922073
2007-8,0.6293098909679841
2007-9,0.6296361848437608
2007-10,0.6299624787195376
2007-11,0.6302887725953144
2007-12,0.6306150664710911
2008-1,0.6309413603468679
2008-2,0.6312543058947334
2008-3,0.6315672514425988
2008-4,0.6318801969904644
2008-5,0.6321931425383299
2008-6,0.6325060880861954
2008-7,0.6328190336340609
2008-8,0.6331319791819264
2008-9,0.6334449247297919
2008-10,0.6337578702776574
2008-11,0.6340708158255229
2008-12,0.6343837613733884
2009-1,0.6346967069212539
2009-2,0.6349980505502868
2009-3,0.6352993941793197
2009-4,0.6356007378083527
2009-5,0.6359020814373856
2009-6,0.6362034250664185
2009-7,0.6365047686954515
2009-8,0.6368061123244844
2009-9,0.6371074559535173
2009-10,0.6374087995825501
2009-11,0.637710143211583
2009-12,0.638011486840616
2010-1,0.6383128304696489
2010-2,0.638604318588928
2010-3,0.6388958067082069
2010-4,0.6391872948274859
2010-5,0.639478782946765
2010-6,0.6397702710660439
2010-7,0.6400617591853229
2010-8,0.640353247304602
2010-9,0.6406447354238809
2010-10,0.6409362235431599
2010-11,0.641227711662439
2010-12,0.6415191997817179
2011-1,0.6418106879009969
2011-2,0.6420940669196007
2011-3,0.6423774459382044
2011-4,0.6426608249568082
2011-5,0.642944203975412
2011-6,0.6432275829940157
2011-7,0.6435109620126194
2011-8,0.6437943410312231
2011-9,0.6440777200498269
2011-10,0.6443610990684306
2011-11,0.6446444780870344
2011-12,0.6449278571056382
2012-1,0.6452112361242419
2012-2,0.6456744613967167
2012-3,0.6461376866691915
2012-4,0.6466009119416664
2012-5,0.6470641372141411
2012-6,0.6475273624866159
2012-7,0.6479905877590908
2012-8,0.6484538130315656
2012-9,0.6489170383040404
2012-10,0.6493802635765151
2012-11,0.6498434888489899
2012-12,0.6503067141214648
2013-1,0.6507699393939396
2013-2,0.6507891750841752
2013-3,0.650808410774411
2013-4,0.6508276464646466
2013-5,0.6508468821548823
2013-6,0.650866117845118
2013-7,0.6508853535353537
2013-8,0.6509045892255894
2013-9,0.6509238249158251
2013-10,0.6509430606060608
2013-11,0.6509622962962964
2013-12,0.6509815319865322
2014-1,0.6510007676767678
2014-2,0.6509660507856343
2014-3,0.6509313338945008
2014-4,0.6508966170033672
2014-5,0.6508619001122335
2014-6,0.6508271832211
2014-7,0.6507924663299665
2014-8,0.6507577494388329
2014-9,0.6507230325476994
2014-10,0.6506883156565657
2014-11,0.6506535987654322
2014-12,0.6506188818742986
2015-1,0.6505841649831651
2015-2,0.6514775669319458
2015-3,0.6523709688807265
2015-4,0.6532643708295073
2015-5,0.654157772778288
2015-6,0.6550511747270688
2015-7,0.6559445766758495
2015-8,0.6568379786246302
2015-9,0.657731380573411
2015-10,0.6586247825221917
2015-11,0.6595181844709724
2015-12,0.6604115864197532
2016-1,0.6613049883685339
2016-2,0.6613376019167804
2016-3,0.6613702154650268
2016-4,0.6614028290132733
2016-5,0.6614354425615198
2016-6,0.6614680561097662
2016-7,0.6615006696580128
2016-8,0.6615332832062593
2016-9,0.6615658967545057
2016-10,0.6615985103027522
2016-11,0.6616311238509986
2016-12,0.6616637373992451
2017-1,0.6616963509474916
2017-2,0.6617395051213362
2017-3,0.6617826592951809
2017-4,0.6618258134690255
2017-5,0.6618689676428701
2017-6,0.6619121218167148
2017-7,0.6619552759905594
2017-8,0.661998430164404
2017-9,0.6620415843382487
2017-10,0.6620847385120933
2017-11,0.6621278926859379
2017-12,0.6621710468597826
2018-1,0.6622142010336272
2018-2,0.6621855207384274
2018-3,0.6621568404432275
2018-4,0.6621281601480278
2018-5,0.662099479852828
2018-6,0.6620707995576282
2018-7,0.6620421192624284
2018-8,0.6620134389672286
2018-9,0.6619847586720288
2018-10,0.661956078376829
2018-11,0.6619273980816293
2018-12,0.6618987177864294
2019-1,0.6618700374912296
2019-2,0.6618387498964662
2019-3,0.6618074623017028
2019-4,0.6617761747069394
2019-5,0.661744887112176
2019-6,0.6617135995174126
2019-7,0.6616823119226491
2019-8,0.6616510243278858
2019-9,0.6616197367331224
2019-10,0.661588449138359
2019-11,0.6615571615435956
2019-12,0.6615258739488322
2020-1,0.6614945863540688
2020-2,0.6613771210991753
2020-3,0.6612596558442819
2020-4,0.6611421905893885
2020-5,0.6610247253344951
2020-6,0.6609072600796017
2020-7,0.6607897948247082
2020-8,0.6606723295698148
2020-9,0.6605548643149214
2020-10,0.660437399060028
2020-11,0.6603199338051345
2020-12,0.6602024685502411
2021-1,0.6600850032953477
2021-2,0.6599038290778882
2021-3,0.6597226548604287
2021-4,0.6595414806429692
2021-5,0.6593603064255097
2021-6,0.6591791322080502
2021-7,0.6589979579905907
2021-8,0.6588167837731312
2021-9,0.6586356095556718
2021-10,0.6584544353382122
2021-11,0.6582732611207528
2021-12,0.6580920869032932
2022-1,0.6579109126858338
2022-2,0.6579102377819386
2022-3,0.6579095628780434
2022-4,0.6579088879741481
2022-5,0.6579082130702529
2022-6,0.6579075381663577
2022-7,0.6579068632624625
