,Sergipe - IDH Renda
2003-1,0.6481208846746535
2003-2,0.6483769483372376
2003-3,0.6486330119998217
2003-4,0.6488890756624058
2003-5,0.64914513932499
2003-6,0.6494012029875741
2003-7,0.6496572666501583
2003-8,0.6499133303127425
2003-9,0.6501693939753266
2003-10,0.6504254576379107
2003-11,0.6506815213004948
2003-12,0.650937584963079
2004-1,0.6511936486256631
2004-2,0.6514287905139833
2004-3,0.6516639324023035
2004-4,0.6518990742906237
2004-5,0.652134216178944
2004-6,0.6523693580672641
2004-7,0.6526044999555843
2004-8,0.6528396418439045
2004-9,0.6530747837322247
2004-10,0.653309925620545
2004-11,0.6535450675088652
2004-12,0.6537802093971854
2005-1,0.6540153512855056
2005-2,0.6542305283322847
2005-3,0.6544457053790638
2005-4,0.6546608824258429
2005-5,0.654876059472622
2005-6,0.655091236519401
2005-7,0.6553064135661801
2005-8,0.6555215906129591
2005-9,0.6557367676597382
2005-10,0.6559519447065173
2005-11,0.6561671217532964
2005-12,0.6563822988000755
2006-1,0.6565974758468546
2006-2,0.6567936449848153
2006-3,0.656989814122776
2006-4,0.6571859832607367
2006-5,0.6573821523986975
2006-6,0.6575783215366582
2006-7,0.657774490674619
2006-8,0.6579706598125797
2006-9,0.6581668289505405
2006-10,0.6583629980885012
2006-11,0.6585591672264619
2006-12,0.6587553363644226
2007-1,0.6589515055023834
2007-2,0.6591296236642485
2007-3,0.6593077418261137
2007-4,0.6594858599879789
2007-5,0.6596639781498441
2007-6,0.6598420963117093
2007-7,0.6600202144735745
2007-8,0.6601983326354397
2007-9,0.6603764507973049
2007-10,0.6605545689591701
2007-11,0.6607326871210353
2007-12,0.6609108052829005
2008-1,0.6610889234447657
2008-2,0.6612499475632581
2008-3,0.6614109716817504
2008-4,0.661571995800243
2008-5,0.6617330199187353
2008-6,0.6618940440372277
2008-7,0.6620550681557202
2008-8,0.6622160922742126
2008-9,0.662377116392705
2008-10,0.6625381405111974
2008-11,0.6626991646296898
2008-12,0.6628601887481823
2009-1,0.6630212128666747
2009-2,0.6631660998745171
2009-3,0.6633109868823597
2009-4,0.6634558738902021
2009-5,0.6636007608980445
2009-6,0.663745647905887
2009-7,0.6638905349137294
2009-8,0.6640354219215719
2009-9,0.6641803089294144
2009-10,0.6643251959372568
2009-11,0.6644700829450993
2009-12,0.6646149699529418
2010-1,0.6647598569607842
2010-2,0.6648895637906995
2010-3,0.6650192706206147
2010-4,0.66514897745053
2010-5,0.6652786842804453
2010-6,0.6654083911103605
2010-7,0.6655380979402759
2010-8,0.6656678047701912
2010-9,0.6657975116001064
2010-10,0.6659272184300217
2010-11,0.666056925259937
2010-12,0.6661866320898522
2011-1,0.6663163389197675
2011-2,0.6664318225044784
2011-3,0.6665473060891892
2011-4,0.6666627896739001
2011-5,0.666778273258611
2011-6,0.6668937568433219
2011-7,0.6670092404280328
2011-8,0.6671247240127437
2011-9,0.6672402075974545
2011-10,0.6673556911821654
2011-11,0.6674711747668763
2011-12,0.6675866583515871
2012-1,0.6677021419362981
2012-2,0.6679149797294853
2012-3,0.6681278175226727
2012-4,0.66834065531586
2012-5,0.6685534931090472
2012-6,0.6687663309022346
2012-7,0.6689791686954218
2012-8,0.6691920064886091
2012-9,0.6694048442817965
2012-10,0.6696176820749837
2012-11,0.669830519868171
2012-12,0.6700433576613584
2013-1,0.6702561954545456
2013-2,0.6701954745896467
2013-3,0.6701347537247476
2013-4,0.6700740328598487
2013-5,0.6700133119949496
2013-6,0.6699525911300507
2013-7,0.6698918702651517
2013-8,0.6698311494002527
2013-9,0.6697704285353537
2013-10,0.6697097076704547
2013-11,0.6696489868055557
2013-12,0.6695882659406567
2014-1,0.6695275450757577
2014-2,0.6694200974721172
2014-3,0.6693126498684766
2014-4,0.669205202264836
2014-5,0.6690977546611954
2014-6,0.6689903070575548
2014-7,0.6688828594539142
