,Distrito Federal - IDH Renda
2003-1,0.8719275202818819
2003-2,0.8716775286531743
2003-3,0.8714275370244667
2003-4,0.8711775453957591
2003-5,0.8709275537670514
2003-6,0.8706775621383439
2003-7,0.8704275705096363
2003-8,0.8701775788809286
2003-9,0.8699275872522211
2003-10,0.8696775956235134
2003-11,0.8694276039948058
2003-12,0.8691776123660983
2004-1,0.8689276207373906
2004-2,0.8686880738177741
2004-3,0.8684485268981577
2004-4,0.8682089799785413
2004-5,0.8679694330589248
2004-6,0.8677298861393083
2004-7,0.867490339219692
2004-8,0.8672507923000755
2004-9,0.867011245380459
2004-10,0.8667716984608426
2004-11,0.8665321515412261
2004-12,0.8662926046216097
2005-1,0.8660530577019933
2005-2,0.8658227687426571
2005-3,0.8655924797833209
2005-4,0.8653621908239846
2005-5,0.8651319018646484
2005-6,0.8649016129053122
2005-7,0.864671323945976
2005-8,0.8644410349866398
2005-9,0.8642107460273036
2005-10,0.8639804570679674
2005-11,0.8637501681086311
2005-12,0.863519879149295
2006-1,0.8632895901899588
2006-2,0.8630673724420919
2006-3,0.862845154694225
2006-4,0.862622936946358
2006-5,0.8624007191984912
2006-6,0.8621785014506242
2006-7,0.8619562837027575
2006-8,0.8617340659548905
2006-9,0.8615118482070236
2006-10,0.8612896304591567
2006-11,0.8610674127112898
2006-12,0.8608451949634229
2007-1,0.860622977215556
2007-2,0.8604076439303475
2007-3,0.860192310645139
2007-4,0.8599769773599304
2007-5,0.8597616440747219
2007-6,0.8595463107895134
2007-7,0.8593309775043049
2007-8,0.8591156442190964
2007-9,0.8589003109338879
2007-10,0.8586849776486793
2007-11,0.8584696443634707
2007-12,0.8582543110782622
2008-1,0.8580389777930537
2008-2,0.8578293422216926
2008-3,0.8576197066503315
2008-4,0.8574100710789705
2008-5,0.8572004355076094
2008-6,0.8569907999362483
2008-7,0.8567811643648872
2008-8,0.856571528793526
2008-9,0.8563618932221649
2008-10,0.8561522576508038
2008-11,0.8559426220794428
2008-12,0.8557329865080817
2009-1,0.8555233509367206
2009-2,0.855318226330396
2009-3,0.8551131017240714
2009-4,0.8549079771177469
2009-5,0.8547028525114223
2009-6,0.8544977279050977
2009-7,0.8542926032987732
2009-8,0.8540874786924486
2009-9,0.853882354086124
2009-10,0.8536772294797994
2009-11,0.8534721048734748
2009-12,0.8532669802671503
2010-1,0.8530618556608257
2010-2,0.8528600552707267
2010-3,0.8526582548806277
2010-4,0.8524564544905288
2010-5,0.8522546541004298
2010-6,0.8520528537103308
2010-7,0.8518510533202317
2010-8,0.8516492529301327
2010-9,0.8514474525400337
2010-10,0.8512456521499348
2010-11,0.8510438517598358
2010-12,0.8508420513697368
2011-1,0.8506402509796378
2011-2,0.8504405880569534
2011-3,0.8502409251342691
2011-4,0.8500412622115847
2011-5,0.8498415992889005
2011-6,0.8496419363662161
2011-7,0.8494422734435317
2011-8,0.8492426105208474
2011-9,0.849042947598163
2011-10,0.8488432846754788
2011-11,0.8486436217527944
2011-12,0.84844395883011
2012-1,0.8482442959074257
2012-2,0.8479169338747361
2012-3,0.8475895718420466
2012-4,0.8472622098093572
2012-5,0.8469348477766676
2012-6,0.846607485743978
2012-7,0.8462801237112886
2012-8,0.8459527616785991
2012-9,0.8456253996459095
2012-10,0.84529803761322
2012-11,0.8449706755805305
2012-12,0.8446433135478411
2013-1,0.8443159515151515
2013-2,0.8443042567340067
2013-3,0.844292561952862
2013-4,0.8442808671717171
2013-5,0.8442691723905723
2013-6,0.8442574776094276
2013-7,0.8442457828282828
2013-8,0.844234088047138
2013-9,0.8442223932659932
2013-10,0.8442106984848484
2013-11,0.8441990037037036
2013-12,0.8441873089225589
2014-1,0.8441756141414141
2014-2,0.844149055906285
2014-3,0.8441224976711559
2014-4,0.8440959394360269
2014-5,0.8440693812008978
2014-6,0.8440428229657687
2014-7,0.8440162647306397
2014-8,0.8439897064955106
2014-9,0.8439631482603815
2014-10,0.8439365900252525
2014-11,0.8439100317901234
2014-12,0.8438834735549944
2015-1,0.8438569153198653
2015-2,0.8432578426869707
2015-3,0.8426587700540761
2015-4,0.8420596974211815
2015-5,0.8414606247882869
2015-6,0.8408615521553923
2015-7,0.8402624795224977
2015-8,0.8396634068896031
2015-9,0.8390643342567085
2015-10,0.8384652616238139
2015-11,0.8378661889909192
2015-12,0.8372671163580246
2016-1,0.83666804372513
2016-2,0.8365897713291083
2016-3,0.8365114989330865
2016-4,0.8364332265370649
2016-5,0.8363549541410431
2016-6,0.8362766817450213
2016-7,0.8361984093489996
2016-8,0.8361201369529778
2016-9,0.8360418645569561
