,Goiás - IDH Renda
2003-1,0.7676917980340671
2003-2,0.7674045685615956
2003-3,0.7671173390891239
2003-4,0.7668301096166524
2003-5,0.7665428801441808
2003-6,0.7662556506717093
2003-7,0.7659684211992377
2003-8,0.7656811917267662
2003-9,0.7653939622542947
2003-10,0.7651067327818231
2003-11,0.7648195033093516
2003-12,0.7645322738368799
2004-1,0.7642450443644084
2004-2,0.7639714967846362
2004-3,0.7636979492048639
2004-4,0.7634244016250917
2004-5,0.7631508540453195
2004-6,0.7628773064655472
2004-7,0.762603758885775
2004-8,0.7623302113060028
2004-9,0.7620566637262305
2004-10,0.7617831161464582
2004-11,0.761509568566686
2004-12,0.7612360209869138
2005-1,0.7609624734071415
2005-2,0.760701252957092
2005-3,0.7604400325070425
2005-4,0.760178812056993
2005-5,0.7599175916069435
2005-6,0.759656371156894
2005-7,0.7593951507068445
2005-8,0.759133930256795
2005-9,0.7588727098067455
2005-10,0.758611489356696
2005-11,0.7583502689066465
2005-12,0.758089048456597
2006-1,0.7578278280065475
2006-2,0.757577579923244
2006-3,0.7573273318399407
2006-4,0.7570770837566373
2006-5,0.756826835673334
2006-6,0.7565765875900305
2006-7,0.7563263395067272
2006-8,0.7560760914234238
2006-9,0.7558258433401204
2006-10,0.7555755952568171
2006-11,0.7553253471735136
2006-12,0.7550750990902103
2007-1,0.7548248510069069
2007-2,0.7545842205273731
2007-3,0.7543435900478392
2007-4,0.7541029595683054
2007-5,0.7538623290887716
2007-6,0.7536216986092378
2007-7,0.753381068129704
2007-8,0.7531404376501701
2007-9,0.7528998071706363
2007-10,0.7526591766911025
2007-11,0.7524185462115687
2007-12,0.7521779157320349
2008-1,0.751937285252501
2008-2,0.7517049176137601
2008-3,0.7514725499750193
2008-4,0.7512401823362784
2008-5,0.7510078146975375
2008-6,0.7507754470587967
2008-7,0.7505430794200558
2008-8,0.7503107117813149
2008-9,0.7500783441425741
2008-10,0.7498459765038332
2008-11,0.7496136088650923
2008-12,0.7493812412263515
2009-1,0.7491488735876106
2009-2,0.7489234140266862
2009-3,0.7486979544657616
2009-4,0.7484724949048371
2009-5,0.7482470353439127
2009-6,0.7480215757829881
2009-7,0.7477961162220637
2009-8,0.7475706566611392
2009-9,0.7473451971002146
2009-10,0.7471197375392902
2009-11,0.7468942779783657
2009-12,0.7466688184174411
2010-1,0.7464433588565167
2010-2,0.746223452610432
2010-3,0.7460035463643473
2010-4,0.7457836401182625
2010-5,0.7455637338721778
2010-6,0.7453438276260931
2010-7,0.7451239213800084
2010-8,0.7449040151339237
2010-9,0.744684108887839
2010-10,0.7444642026417543
2010-11,0.7442442963956695
2010-12,0.7440243901495848
2011-1,0.7438044839035001
2011-2,0.7435887762092785
2011-3,0.743373068515057
2011-4,0.7431573608208355
2011-5,0.742941653126614
2011-6,0.7427259454323925
2011-7,0.7425102377381709
2011-8,0.7422945300439494
2011-9,0.7420788223497279
2011-10,0.7418631146555064
2011-11,0.7416474069612848
2011-12,0.7414316992670633
2012-1,0.7412159915728418
2012-2,0.7408342821740949
2012-3,0.7404525727753479
2012-4,0.7400708633766011
2012-5,0.7396891539778542
2012-6,0.7393074445791072
2012-7,0.7389257351803603
2012-8,0.7385440257816134
2012-9,0.7381623163828664
2012-10,0.7377806069841195
2012-11,0.7373988975853727
2012-12,0.7370171881866258
2013-1,0.7366354787878788
2013-2,0.7366815585016836
2013-3,0.7367276382154883
2013-4,0.736773717929293
2013-5,0.7368197976430977
2013-6,0.7368658773569025
2013-7,0.7369119570707072
2013-8,0.7369580367845119
2013-9,0.7370041164983167
2013-10,0.7370501962121213
2013-11,0.7370962759259261
2013-12,0.7371423556397307
2014-1,0.7371884353535355
2014-2,0.7371689105990462
2014-3,0.7371493858445568
2014-4,0.7371298610900675
2014-5,0.7371103363355782
2014-6,0.7370908115810888
2014-7,0.7370712868265995
2014-8,0.7370517620721102
2014-9,0.7370322373176208
2014-10,0.7370127125631315
2014-11,0.7369931878086422
2014-12,0.7369736630541528
2015-1,0.7369541382996635
2015-2,0.7362593089901542
2015-3,0.735564479680645
2015-4,0.7348696503711358
2015-5,0.7341748210616266
2015-6,0.7334799917521173
2015-7,0.732785162442608
2015-8,0.7320903331330988
2015-9,0.7313955038235895
2015-10,0.7307006745140803
2015-11,0.7300058452045711
2015-12,0.7293110158950619
2016-1,0.7286161865855526
2016-2,0.7285981273930189
2016-3,0.7285800682004853
2016-4,0.7285620090079515
2016-5,0.7285439498154178
2016-6,0.7285258906228842
2016-7,0.7285078314303505
2016-8,0.7284897722378167
2016-9,0.7284717130452831
2016-10,0.7284536538527494
2016-11,0.7284355946602157
2016-12,0.7284175354676821
2017-1,0.7283994762751483
2017-2,0.7284328056408692
2017-3,0.72846613500659
2017-4,0.7284994643723108
2017-5,0.7285327937380316
2017-6,0.7285661231037525
2017-7,0.7285994524694732
2017-8,0.7286327818351941
2017-9,0.728666111200915
2017-10,0.7286994405666357
2017-11,0.7287327699323566
2017-12,0.7287660992980773
2018-1,0.7287994286637982
2018-2,0.7287524546385239
2018-3,0.7287054806132497
2018-4,0.7286585065879754
2018-5,0.7286115325627012
2018-6,0.7285645585374269
2018-7,0.7285175845121525
2018-8,0.7284706104868783
2018-9,0.728423636461604
2018-10,0.7283766624363298
2018-11,0.7283296884110555
2018-12,0.7282827143857813
2019-1,0.728235740360507
2019-2,0.7281844959692987
2019-3,0.7281332515780904
2019-4,0.7280820071868821
2019-5,0.7280307627956739
2019-6,0.7279795184044656
2019-7,0.7279282740132573
2019-8,0.727877029622049
2019-9,0.7278257852308407
2019-10,0.7277745408396326
2019-11,0.7277232964484243
2019-12,0.727672052057216
2020-1,0.7276208076660077
2020-2,0.727610359239235
2020-3,0.7275999108124623
2020-4,0.7275894623856897
2020-5,0.727579013958917
2020-6,0.7275685655321443
2020-7,0.7275581171053717
2020-8,0.727547668678599
2020-9,0.7275372202518263
2020-10,0.7275267718250537
2020-11,0.727516323398281
2020-12,0.7275058749715083
2021-1,0.7274954265447356
2021-2,0.727537058564014
2021-3,0.7275786905832923
2021-4,0.7276203226025706
2021-5,0.7276619546218488
2021-6,0.7277035866411271
2021-7,0.7277452186604054
2021-8,0.7277868506796837
2021-9,0.727828482698962
2021-10,0.7278701147182403
2021-11,0.7279117467375186
2021-12,0.7279533787567969
2022-1,0.7279950107760752
2022-2,0.7281010335849849
2022-3,0.7282070563938945
2022-4,0.7283130792028042
2022-5,0.7284191020117139
2022-6,0.7285251248206235
2022-7,0.7286311476295332
2022-8,0.7287371704384429
2022-9,0.7288431932473525
2022-10,0.7289492160562622
2022-11,0.7290552388651719
2022-12,0.7291612616740815
2023-1,0.7292672844829912
