Ano,Mato Grosso - IDH Renda
2014,0.7368660598017209
2015,0.7366882314518644
2016,0.73291634919977
2017,0.7336360173088399
2018,0.7336938370641889
2019,0.7327569131609334
2020,0.7322802689028365
2021,0.7320330206212762
2022,0.7331269315868467
