,Piauí - IDH Renda
2003-1,0.5783349437609759
2003-2,0.5789589610530277
2003-3,0.5795829783450794
2003-4,0.5802069956371312
2003-5,0.5808310129291829
2003-6,0.5814550302212347
2003-7,0.5820790475132864
2003-8,0.5827030648053383
2003-9,0.58332708209739
2003-10,0.5839510993894418
2003-11,0.5845751166814935
2003-12,0.5851991339735453
2004-1,0.585823151265597
2004-2,0.5864070303029774
2004-3,0.5869909093403578
2004-4,0.5875747883777381
2004-5,0.5881586674151185
2004-6,0.5887425464524988
2004-7,0.5893264254898791
2004-8,0.5899103045272596
2004-9,0.5904941835646399
2004-10,0.5910780626020202
2004-11,0.5916619416394007
2004-12,0.592245820676781
2005-1,0.5928296997141613
2005-2,0.5933758711969404
2005-3,0.5939220426797194
2005-4,0.5944682141624984
2005-5,0.5950143856452774
2005-6,0.5955605571280564
2005-7,0.5961067286108355
2005-8,0.5966529000936145
2005-9,0.5971990715763935
2005-10,0.5977452430591725
2005-11,0.5982914145419516
2005-12,0.5988375860247306
2006-1,0.5993837575075096
2006-2,0.5998946521357573
2006-3,0.6004055467640051
2006-4,0.6009164413922529
2006-5,0.6014273360205007
2006-6,0.6019382306487484
2006-7,0.6024491252769961
2006-8,0.602960019905244
2006-9,0.6034709145334917
2006-10,0.6039818091617395
2006-11,0.6044927037899872
2006-12,0.605003598418235
2007-1,0.6055144930464827
2007-2,0.6059925415202693
2007-3,0.6064705899940559
2007-4,0.6069486384678424
2007-5,0.6074266869416289
2007-6,0.6079047354154156
2007-7,0.6083827838892021
2007-8,0.6088608323629886
2007-9,0.6093388808367752
2007-10,0.6098169293105618
2007-11,0.6102949777843483
2007-12,0.6107730262581349
2008-1,0.6112510747319214
2008-2,0.6116987077513169
2008-3,0.6121463407707122
2008-4,0.6125939737901076
2008-5,0.613041606809503
2008-6,0.6134892398288985
2008-7,0.6139368728482939
2008-8,0.6143845058676892
2008-9,0.6148321388870847
2008-10,0.6152797719064801
2008-11,0.6157274049258754
2008-12,0.6161750379452708
2009-1,0.6166226709646663
2009-2,0.6170423192297406
2009-3,0.617461967494815
2009-4,0.6178816157598893
2009-5,0.6183012640249637
2009-6,0.618720912290038
2009-7,0.6191405605551124
2009-8,0.6195602088201866
2009-9,0.6199798570852609
2009-10,0.6203995053503353
2009-11,0.6208191536154096
2009-12,0.621238801880484
2010-1,0.6216584501455583
2010-2,0.6220525443563817
2010-3,0.622446638567205
2010-4,0.6228407327780283
2010-5,0.6232348269888516
2010-6,0.623628921199675
2010-7,0.6240230154104982
2010-8,0.6244171096213216
2010-9,0.624811203832145
2010-10,0.6252052980429682
2010-11,0.6255993922537916
2010-12,0.6259934864646148
2011-1,0.6263875806754382
2011-2,0.6267585515320806
2011-3,0.627129522388723
2011-4,0.6275004932453653
2011-5,0.6278714641020077
2011-6,0.6282424349586501
2011-7,0.6286134058152923
2011-8,0.6289843766719347
2011-9,0.6293553475285771
2011-10,0.6297263183852195
2011-11,0.6300972892418619
2011-12,0.6304682600985042
2012-1,0.6308392309551466
2012-2,0.6314420867088844
2012-3,0.6320449424626222
2012-4,0.63264779821636
2012-5,0.6332506539700977
2012-6,0.6338535097238356
2012-7,0.6344563654775733
2012-8,0.6350592212313111
2012-9,0.635662076985049
2012-10,0.6362649327387867
2012-11,0.6368677884925245
2012-12,0.6374706442462623
2013-1,0.6380735000000001
2013-2,0.63809484375
2013-3,0.6381161875000001
2013-4,0.6381375312500001
2013-5,0.638158875
2013-6,0.6381802187500001
2013-7,0.6382015625
2013-8,0.63822290625
2013-9,0.6382442500000001
2013-10,0.63826559375
2013-11,0.6382869375
2013-12,0.63830828125
2014-1,0.638329625
2014-2,0.6381374696180555
2014-3,0.6379453142361111
2014-4,0.6377531588541667
2014-5,0.6375610034722222
2014-6,0.6373688480902777
2014-7,0.6371766927083333
2014-8,0.6369845373263889
2014-9,0.6367923819444444
2014-10,0.6366002265624999
2014-11,0.6364080711805555
2014-12,0.6362159157986111
2015-1,0.6360237604166666
2015-2,0.637267438604798
2015-3,0.6385111167929293
2015-4,0.6397547949810606
2015-5,0.6409984731691919
2015-6,0.6422421513573232
2015-7,0.6434858295454545
2015-8,0.6447295077335858
2015-9,0.6459731859217172
2015-10,0.6472168641098485
2015-11,0.6484605422979798
2015-12,0.6497042204861111
2016-1,0.6509478986742424
2016-2,0.6508187160884412
2016-3,0.65068953350264
2016-4,0.6505603509168388
2016-5,0.6504311683310376
2016-6,0.6503019857452365
2016-7,0.6501728031594353
2016-8,0.6500436205736341
2016-9,0.6499144379878329
2016-10,0.6497852554020317
2016-11,0.6496560728162305
2016-12,0.6495268902304293
2017-1,0.6493977076446281
2017-2,0.6493552660358753
2017-3,0.6493128244271225
2017-4,0.6492703828183697
2017-5,0.6492279412096168
2017-6,0.649185499600864
2017-7,0.6491430579921111
2017-8,0.6491006163833584
2017-9,0.6490581747746056
2017-10,0.6490157331658527
2017-11,0.6489732915570999
2017-12,0.648930849948347
2018-1,0.6488884083395943
2018-2,0.6488572599179245
2018-3,0.6488261114962548
2018-4,0.6487949630745851
2018-5,0.6487638146529153
2018-6,0.6487326662312456
2018-7,0.6487015178095759
2018-8,0.648670369387906
2018-9,0.6486392209662363
2018-10,0.6486080725445665
2018-11,0.6485769241228968
2018-12,0.6485457757012271
2019-1,0.6485146272795573
2019-2,0.6484427683953116
2019-3,0.6483709095110658
2019-4,0.64829905062682
2019-5,0.6482271917425743
2019-6,0.6481553328583285
2019-7,0.6480834739740826
2019-8,0.6480116150898368
2019-9,0.6479397562055911
