,Paraná - IDH Renda
2003-1,0.8001299560190078
2003-2,0.7997959303797709
2003-3,0.7994619047405341
2003-4,0.7991278791012972
2003-5,0.7987938534620603
2003-6,0.7984598278228235
2003-7,0.7981258021835866
2003-8,0.7977917765443497
2003-9,0.797457750905113
2003-10,0.797123725265876
2003-11,0.7967896996266391
2003-12,0.7964556739874024
2004-1,0.7961216483481655
2004-2,0.7958067612834216
2004-3,0.7954918742186778
2004-4,0.795176987153934
2004-5,0.7948621000891901
2004-6,0.7945472130244463
2004-7,0.7942323259597025
2004-8,0.7939174388949587
2004-9,0.7936025518302149
2004-10,0.793287664765471
2004-11,0.7929727777007272
2004-12,0.7926578906359834
2005-1,0.7923430035712395
2005-2,0.7920457635571241
2005-3,0.7917485235430086
2005-4,0.7914512835288932
2005-5,0.7911540435147776
2005-6,0.7908568035006621
2005-7,0.7905595634865467
2005-8,0.7902623234724312
2005-9,0.7899650834583157
2005-10,0.7896678434442002
2005-11,0.7893706034300847
2005-12,0.7890733634159692
2006-1,0.7887761234018538
2006-2,0.7884950389145019
2006-3,0.78821395442715
2006-4,0.7879328699397983
2006-5,0.7876517854524464
2006-6,0.7873707009650945
2006-7,0.7870896164777428
2006-8,0.7868085319903909
2006-9,0.786527447503039
2006-10,0.7862463630156872
2006-11,0.7859652785283353
2006-12,0.7856841940409836
2007-1,0.7854031095536317
2007-2,0.7851366890691788
2007-3,0.784870268584726
2007-4,0.7846038481002731
2007-5,0.7843374276158201
2007-6,0.7840710071313672
2007-7,0.7838045866469143
2007-8,0.7835381661624615
2007-9,0.7832717456780086
2007-10,0.7830053251935557
2007-11,0.7827389047091029
2007-12,0.78247248422465
2008-1,0.7822060637401971
2008-2,0.7819528157347785
2008-3,0.7816995677293598
2008-4,0.7814463197239412
2008-5,0.7811930717185225
2008-6,0.7809398237131039
2008-7,0.7806865757076853
2008-8,0.7804333277022666
2008-9,0.780180079696848
2008-10,0.7799268316914293
2008-11,0.7796735836860107
2008-12,0.779420335680592
2009-1,0.7791670876751734
2009-2,0.7789255206249244
2009-3,0.7786839535746752
2009-4,0.7784423865244262
2009-5,0.7782008194741771
2009-6,0.777959252423928
2009-7,0.7777176853736789
2009-8,0.7774761183234299
2009-9,0.7772345512731809
2009-10,0.7769929842229317
2009-11,0.7767514171726827
2009-12,0.7765098501224336
2010-1,0.7762682830721845
2010-2,0.7760369054532403
2010-3,0.7758055278342961
2010-4,0.7755741502153519
2010-5,0.7753427725964077
2010-6,0.7751113949774635
2010-7,0.7748800173585193
2010-8,0.7746486397395752
2010-9,0.774417262120631
2010-10,0.7741858845016868
2010-11,0.7739545068827426
