,São Paulo - IDH Renda
2003-1,0.8254439302528838
2003-2,0.8251171018537229
2003-3,0.824790273454562
2003-4,0.8244634450554011
2003-5,0.8241366166562402
2003-6,0.8238097882570793
2003-7,0.8234829598579184
2003-8,0.8231561314587575
2003-9,0.8228293030595967
2003-10,0.8225024746604357
2003-11,0.8221756462612748
2003-12,0.821848817862114
2004-1,0.8215219894629531
2004-2,0.8212146047089866
2004-3,0.82090721995502
2004-4,0.8205998352010534
2004-5,0.8202924504470869
2004-6,0.8199850656931204
2004-7,0.8196776809391537
2004-8,0.8193702961851872
2004-9,0.8190629114312207
2004-10,0.8187555266772542
2004-11,0.8184481419232876
2004-12,0.818140757169321
2005-1,0.8178333724153545
2005-2,0.8175439913791237
2005-3,0.8172546103428928
2005-4,0.816965229306662
2005-5,0.8166758482704313
2005-6,0.8163864672342004
2005-7,0.8160970861979696
2005-8,0.8158077051617388
2005-9,0.815518324125508
2005-10,0.8152289430892772
2005-11,0.8149395620530464
2005-12,0.8146501810168155
2006-1,0.8143607999805847
2006-2,0.8140879827346311
2006-3,0.8138151654886774
2006-4,0.8135423482427238
2006-5,0.8132695309967701
2006-6,0.8129967137508165
2006-7,0.8127238965048629
2006-8,0.8124510792589091
2006-9,0.8121782620129555
2006-10,0.8119054447670019
2006-11,0.8116326275210481
2006-12,0.8113598102750945
2007-1,0.8110869930291409
2007-2,0.8108292996460058
2007-3,0.8105716062628707
2007-4,0.8103139128797356
2007-5,0.8100562194966006
2007-6,0.8097985261134655
2007-7,0.8095408327303304
2007-8,0.8092831393471954
2007-9,0.8090254459640603
2007-10,0.8087677525809253
2007-11,0.8085100591977902
2007-12,0.8082523658146551
2008-1,0.80799467243152
2008-2,0.807750662983745
2008-3,0.8075066535359698
2008-4,0.8072626440881948
2008-5,0.8070186346404197
2008-6,0.8067746251926446
2008-7,0.8065306157448695
2008-8,0.8062866062970945
2008-9,0.8060425968493194
2008-10,0.8057985874015443
2008-11,0.8055545779537693
2008-12,0.8053105685059941
2009-1,0.8050665590582191
2009-2,0.8048347936183454
2009-3,0.8046030281784717
2009-4,0.8043712627385982
2009-5,0.8041394972987245
2009-6,0.8039077318588508
2009-7,0.8036759664189771
2009-8,0.8034442009791034
2009-9,0.8032124355392297
2009-10,0.802980670099356
2009-11,0.8027489046594825
2009-12,0.8025171392196088
2010-1,0.8022853737797351
2010-2,0.8020644124203042
2010-3,0.8018434510608734
2010-4,0.8016224897014426
2010-5,0.8014015283420117
2010-6,0.8011805669825809
2010-7,0.80095960562315
2010-8,0.8007386442637192
2010-9,0.8005176829042884
2010-10,0.8002967215448575
2010-11,0.8000757601854267
2010-12,0.7998547988259959
2011-1,0.799633837466565
2011-2,0.7994222402601184
2011-3,0.7992106430536718
2011-4,0.7989990458472253
2011-5,0.7987874486407787
2011-6,0.7985758514343321
2011-7,0.7983642542278855
2011-8,0.7981526570214388
2011-9,0.7979410598149922
2011-10,0.7977294626085456
2011-11,0.797517865402099
2011-12,0.7973062681956524
2012-1,0.7970946709892058
2012-2,0.7967081657047518
2012-3,0.7963216604202978
2012-4,0.7959351551358438
2012-5,0.7955486498513897
2012-6,0.7951621445669358
2012-7,0.7947756392824817
2012-8,0.7943891339980277
2012-9,0.7940026287135737
2012-10,0.7936161234291197
2012-11,0.7932296181446656
2012-12,0.7928431128602117
2013-1,0.7924566075757576
2013-2,0.7925292229061448
2013-3,0.7926018382365321
2013-4,0.7926744535669192
2013-5,0.7927470688973065
2013-6,0.7928196842276937
2013-7,0.7928922995580809
2013-8,0.7929649148884681
2013-9,0.7930375302188553
2013-10,0.7931101455492425
2013-11,0.7931827608796297
2013-12,0.793255376210017
2014-1,0.7933279915404041
2014-2,0.7933719359261013
2014-3,0.7934158803117987
2014-4,0.7934598246974959
2014-5,0.7935037690831931
2014-6,0.7935477134688904
2014-7,0.7935916578545876
2014-8,0.7936356022402848
2014-9,0.7936795466259822
2014-10,0.7937234910116794
2014-11,0.7937674353973766
2014-12,0.7938113797830739
2015-1,0.7938553241687711
2015-2,0.7931146526341382
2015-3,0.7923739810995052
2015-4,0.7916333095648723
2015-5,0.7908926380302393
2015-6,0.7901519664956064
2015-7,0.7894112949609735
2015-8,0.7886706234263405
2015-9,0.7879299518917076
2015-10,0.7871892803570746
2015-11,0.7864486088224416
2015-12,0.7857079372878087
2016-1,0.7849672657531758
2016-2,0.7849897450391847
2016-3,0.7850122243251936
2016-4,0.7850347036112024
2016-5,0.7850571828972114
2016-6,0.7850796621832203
2016-7,0.7851021414692292
2016-8,0.785124620755238
2016-9,0.785147100041247
2016-10,0.785169579327256
2016-11,0.7851920586132648
2016-12,0.7852145378992736
2017-1,0.7852370171852826
2017-2,0.7852236612548681
2017-3,0.7852103053244536
2017-4,0.7851969493940391
2017-5,0.7851835934636245
2017-6,0.78517023753321
2017-7,0.7851568816027954
2017-8,0.7851435256723809
2017-9,0.7851301697419664
2017-10,0.7851168138115519
2017-11,0.7851034578811373
2017-12,0.7850901019507228
2018-1,0.7850767460203083
2018-2,0.7851076304598561
2018-3,0.7851385148994039
2018-4,0.7851693993389517
2018-5,0.7852002837784995
2018-6,0.7852311682180473
2018-7,0.7852620526575951
2018-8,0.7852929370971428
2018-9,0.7853238215366906
2018-10,0.7853547059762384
2018-11,0.7853855904157862
2018-12,0.785416474855334
2019-1,0.7854473592948817
2019-2,0.7854052938349945
2019-3,0.7853632283751072
2019-4,0.7853211629152199
2019-5,0.7852790974553328
2019-6,0.7852370319954455
2019-7,0.7851949665355582
2019-8,0.7851529010756709
