,Rio de Janeiro - IDH Renda
2003-1,0.805095339599267
2003-2,0.8047512414703862
2003-3,0.8044071433415053
2003-4,0.8040630452126245
2003-5,0.8037189470837436
2003-6,0.8033748489548628
2003-7,0.803030750825982
2003-8,0.802686652697101
2003-9,0.8023425545682202
2003-10,0.8019984564393393
2003-11,0.8016543583104585
2003-12,0.8013102601815776
2004-1,0.8009661620526968
2004-2,0.8006477177038778
2004-3,0.8003292733550588
2004-4,0.8000108290062398
2004-5,0.7996923846574209
2004-6,0.7993739403086019
2004-7,0.7990554959597829
2004-8,0.7987370516109639
2004-9,0.7984186072621449
2004-10,0.798100162913326
2004-11,0.797781718564507
2004-12,0.797463274215688
2005-1,0.797144829866869
2005-2,0.796850658414453
2005-3,0.7965564869620372
2005-4,0.7962623155096212
2005-5,0.7959681440572053
2005-6,0.7956739726047894
2005-7,0.7953798011523735
2005-8,0.7950856296999576
2005-9,0.7947914582475417
2005-10,0.7944972867951258
2005-11,0.7942031153427098
2005-12,0.793908943890294
2006-1,0.793614772437878
2006-2,0.7933434929982064
2006-3,0.7930722135585347
2006-4,0.7928009341188631
2006-5,0.7925296546791913
2006-6,0.7922583752395197
2006-7,0.791987095799848
2006-8,0.7917158163601764
2006-9,0.7914445369205048
2006-10,0.791173257480833
2006-11,0.7909019780411614
2006-12,0.7906306986014897
2007-1,0.7903594191618181
2007-2,0.7901096508512319
2007-3,0.7898598825406457
2007-4,0.7896101142300594
2007-5,0.7893603459194732
2007-6,0.789110577608887
2007-7,0.7888608092983008
2007-8,0.7886110409877146
2007-9,0.7883612726771284
2007-10,0.7881115043665422
2007-11,0.787861736055956
2007-12,0.7876119677453698
2008-1,0.7873621994347836
2008-2,0.7871325613696241
2008-3,0.7869029233044644
2008-4,0.7866732852393049
2008-5,0.7864436471741453
2008-6,0.7862140091089858
2008-7,0.7859843710438261
2008-8,0.7857547329786666
2008-9,0.7855250949135071
2008-10,0.7852954568483475
2008-11,0.7850658187831879
2008-12,0.7848361807180283
2009-1,0.7846065426528688
2009-2,0.7843956539494771
2009-3,0.7841847652460853
2009-4,0.7839738765426936
2009-5,0.7837629878393018
2009-6,0.7835520991359101
2009-7,0.7833412104325184
2009-8,0.7831303217291266
2009-9,0.7829194330257349
2009-10,0.782708544322343
2009-11,0.7824976556189513
2009-12,0.7822867669155595
2010-1,0.7820758782121678
2010-2,0.7818823579868851
2010-3,0.7816888377616024
2010-4,0.7814953175363197
2010-5,0.781301797311037
2010-6,0.7811082770857543
2010-7,0.7809147568604715
2010-8,0.7807212366351888
2010-9,0.780527716409906
2010-10,0.7803341961846233
2010-11,0.7801406759593407
2010-12,0.7799471557340579
2011-1,0.7797536355087752
2011-2,0.7795761028779427
2011-3,0.7793985702471101
2011-4,0.7792210376162776
2011-5,0.7790435049854452
2011-6,0.7788659723546126
2011-7,0.7786884397237801
2011-8,0.7785109070929476
2011-9,0.778333374462115
2011-10,0.7781558418312826
2011-11,0.7779783092004501
2011-12,0.7778007765696175
2012-1,0.777623243938785
2012-2,0.7772726265145934
2012-3,0.7769220090904017
2012-4,0.77657139166621
2012-5,0.7762207742420183
2012-6,0.7758701568178267
2012-7,0.7755195393936349
2012-8,0.7751689219694433
2012-9,0.7748183045452517
2012-10,0.77446768712106
2012-11,0.7741170696968683
2012-12,0.7737664522726766
2013-1,0.773415834848485
2013-2,0.7735367781460439
2013-3,0.7736577214436028
2013-4,0.7737786647411617
2013-5,0.7738996080387207
2013-6,0.7740205513362796
2013-7,0.7741414946338385
2013-8,0.7742624379313975
2013-9,0.7743833812289563
2013-10,0.7745043245265153
2013-11,0.7746252678240743
2013-12,0.7747462111216331
2014-1,0.7748671544191921
2014-2,0.7749912318804365
2014-3,0.7751153093416808
2014-4,0.7752393868029253
2014-5,0.7753634642641697
2014-6,0.775487541725414
2014-7,0.7756116191866584
2014-8,0.7757356966479029
2014-9,0.7758597741091472
2014-10,0.7759838515703916
2014-11,0.7761079290316361
2014-12,0.7762320064928804
2015-1,0.7763560839541248
2015-2,0.7756418578156886
2015-3,0.7749276316772525
2015-4,0.7742134055388163
2015-5,0.7734991794003803
2015-6,0.7727849532619441
2015-7,0.7720707271235079
2015-8,0.7713565009850718
2015-9,0.7706422748466356
2015-10,0.7699280487081995
2015-11,0.7692138225697633
2015-12,0.7684995964313273
2016-1,0.7677853702928911
2016-2,0.767859501886019
2016-3,0.767933633479147
2016-4,0.768007765072275
2016-5,0.7680818966654029
2016-6,0.7681560282585309
2016-7,0.7682301598516589
2016-8,0.7683042914447868
2016-9,0.7683784230379148
2016-10,0.7684525546310428
2016-11,0.7685266862241708
2016-12,0.7686008178172987
2017-1,0.7686749494104267
2017-2,0.7687330929665663
2017-3,0.7687912365227059
2017-4,0.7688493800788454
