Ano,Amapá - IDH Renda
2008,0.6791377224320928
2009,0.6781497223683636
2010,0.6772125514410959
2011,0.6763227073869842
2012,0.6751049414141415
2013,0.6752803531986532
2014,0.6739703826318744
2015,0.6728845811845305
2016,0.6683854780390182
2017,0.6671477942243834
2018,0.6657066846084182
2019,0.6656800195728199
2020,0.6657418395339854
2021,0.6659910976734386
2022,0.6676266520073875
