,Rio Grande do Norte - IDH Renda
2003-1,0.6312069026137959
2003-2,0.6315775255435367
2003-3,0.6319481484732776
2003-4,0.6323187714030185
2003-5,0.6326893943327595
2003-6,0.6330600172625004
2003-7,0.6334306401922413
2003-8,0.6338012631219822
2003-9,0.634171886051723
2003-10,0.634542508981464
2003-11,0.6349131319112049
2003-12,0.6352837548409458
2004-1,0.6356543777706867
2004-2,0.6360105835118818
2004-3,0.6363667892530769
2004-4,0.636722994994272
2004-5,0.6370792007354671
2004-6,0.6374354064766622
2004-7,0.6377916122178573
2004-8,0.6381478179590524
2004-9,0.6385040237002475
2004-10,0.6388602294414426
2004-11,0.6392164351826377
2004-12,0.6395726409238328
2005-1,0.6399288466650279
2005-2,0.6402723138940557
2005-3,0.6406157811230835
2005-4,0.6409592483521114
2005-5,0.6413027155811392
2005-6,0.6416461828101669
2005-7,0.6419896500391947
2005-8,0.6423331172682225
2005-9,0.6426765844972503
2005-10,0.6430200517262781
2005-11,0.643363518955306
2005-12,0.6437069861843338
2006-1,0.6440504534133615
2006-2,0.6443828608066006
2006-3,0.6447152681998396
2006-4,0.6450476755930785
2006-5,0.6453800829863175
2006-6,0.6457124903795566
2006-7,0.6460448977727955
2006-8,0.6463773051660345
2006-9,0.6467097125592736
2006-10,0.6470421199525126
2006-11,0.6473745273457516
2006-12,0.6477069347389905
2007-1,0.6480393421322296
2007-2,0.6483623683660583
2007-3,0.6486853945998869
2007-4,0.6490084208337157
2007-5,0.6493314470675444
2007-6,0.6496544733013732
2007-7,0.6499774995352019
2007-8,0.6503005257690305
2007-9,0.6506235520028593
2007-10,0.650946578236688
2007-11,0.6512696044705166
2007-12,0.6515926307043454
2008-1,0.6519156569381741
2008-2,0.652230980688971
2008-3,0.652546304439768
2008-4,0.6528616281905649
2008-5,0.6531769519413619
2008-6,0.6534922756921588
2008-7,0.6538075994429557
2008-8,0.6541229231937528
2008-9,0.6544382469445497
2008-10,0.6547535706953467
2008-11,0.6550688944461436
2008-12,0.6553842181969406
2009-1,0.6556995419477375
2009-2,0.6560088418918811
2009-3,0.6563181418360249
2009-4,0.6566274417801685
2009-5,0.6569367417243123
2009-6,0.6572460416684559
2009-7,0.6575553416125997
2009-8,0.6578646415567433
2009-9,0.6581739415008869
2009-10,0.6584832414450307
2009-11,0.6587925413891743
2009-12,0.6591018413333181
2010-1,0.6594111412774617
2010-2,0.6597160960913306
2010-3,0.6600210509051996
2010-4,0.6603260057190684
