,Pará - IDH Renda
2003-1,0.6489773520196852
2003-2,0.6490370364962375
2003-3,0.6490967209727896
2003-4,0.6491564054493417
2003-5,0.649216089925894
2003-6,0.6492757744024462
2003-7,0.6493354588789984
2003-8,0.6493951433555505
2003-9,0.6494548278321027
2003-10,0.649514512308655
2003-11,0.6495741967852071
2003-12,0.6496338812617592
2004-1,0.6496935657383115
2004-2,0.6497458240561007
2004-3,0.6497980823738899
2004-4,0.6498503406916791
2004-5,0.6499025990094683
2004-6,0.6499548573272576
2004-7,0.6500071156450469
2004-8,0.6500593739628361
2004-9,0.6501116322806253
2004-10,0.6501638905984145
2004-11,0.6502161489162037
2004-12,0.6502684072339929
2005-1,0.6503206655517821
2005-2,0.6503657076499663
2005-3,0.6504107497481503
2005-4,0.6504557918463344
2005-5,0.6505008339445185
2005-6,0.6505458760427025
2005-7,0.6505909181408867
2005-8,0.6506359602390708
2005-9,0.6506810023372548
2005-10,0.6507260444354389
2005-11,0.650771086533623
2005-12,0.650816128631807
2006-1,0.6508611707299912
2006-2,0.6508992065477279
2006-3,0.6509372423654648
2006-4,0.6509752781832017
2006-5,0.6510133140009384
2006-6,0.6510513498186752
2006-7,0.651089385636412
2006-8,0.6511274214541489
2006-9,0.6511654572718857
2006-10,0.6512034930896224
2006-11,0.6512415289073593
2006-12,0.6512795647250962
2007-1,0.6513176005428329
2007-2,0.6513488400192803
2007-3,0.6513800794957277
2007-4,0.6514113189721751
2007-5,0.6514425584486224
2007-6,0.6514737979250699
2007-7,0.6515050374015172
2007-8,0.6515362768779646
2007-9,0.651567516354412
2007-10,0.6515987558308594
2007-11,0.6516299953073067
2007-12,0.6516612347837542
2008-1,0.6516924742602015
2008-2,0.6517171273345173
2008-3,0.6517417804088331
2008-4,0.6517664334831489
2008-5,0.6517910865574646
2008-6,0.6518157396317805
2008-7,0.6518403927060963
2008-8,0.651865045780412
2008-9,0.6518896988547279
2008-10,0.6519143519290437
2008-11,0.6519390050033594
2008-12,0.6519636580776753
2009-1,0.6519883111519911
2009-2,0.6520065877633331
2009-3,0.6520248643746752
2009-4,0.6520431409860172
2009-5,0.6520614175973592
2009-6,0.6520796942087014
2009-7,0.6520979708200434
2009-8,0.6521162474313854
2009-9,0.6521345240427275
2009-10,0.6521528006540696
2009-11,0.6521710772654116
2009-12,0.6521893538767537
2010-1,0.6522076304880957
2010-2,0.6522197405756218
2010-3,0.652231850663148
2010-4,0.6522439607506743
2010-5,0.6522560708382004
2010-6,0.6522681809257265
2010-7,0.6522802910132527
2010-8,0.6522924011007789
2010-9,0.652304511188305
2010-10,0.6523166212758311
2010-11,0.6523287313633573
2010-12,0.6523408414508836
2011-1,0.6523529515384097
2011-2,0.6523591050412778
2011-3,0.652365258544146
2011-4,0.6523714120470141
2011-5,0.6523775655498821
2011-6,0.6523837190527503
2011-7,0.6523898725556184
2011-8,0.6523960260584866
2011-9,0.6524021795613547
2011-10,0.6524083330642227
2011-11,0.6524144865670909
2011-12,0.652420640069959
2012-1,0.6524267935728272
2012-2,0.6524499934771117
2012-3,0.6524731933813964
2012-4,0.652496393285681
2012-5,0.6525195931899656
2012-6,0.6525427930942502
2012-7,0.6525659929985348
2012-8,0.6525891929028194
2012-9,0.652612392807104
2012-10,0.6526355927113886
2012-11,0.6526587926156732
2012-12,0.6526819925199578
2013-1,0.6527051924242424
2013-2,0.6526684229271885
2013-3,0.6526316534301346
2013-4,0.6525948839330807
2013-5,0.6525581144360268
2013-6,0.652521344938973
2013-7,0.6524845754419191
2013-8,0.6524478059448653
2013-9,0.6524110364478114
2013-10,0.6523742669507575
2013-11,0.6523374974537036
2013-12,0.6523007279566497
2014-1,0.6522639584595958
2014-2,0.6522102359488986
2014-3,0.6521565134382014
2014-4,0.6521027909275041
2014-5,0.6520490684168069
2014-6,0.6519953459061096
2014-7,0.6519416233954123
2014-8,0.651887900884715
2014-9,0.6518341783740178
2014-10,0.6517804558633206
2014-11,0.6517267333526233
2014-12,0.6516730108419261
2015-1,0.6516192883312288
2015-2,0.6516933509643467
2015-3,0.6517674135974645
2015-4,0.6518414762305822
2015-5,0.6519155388637
2015-6,0.6519896014968178
2015-7,0.6520636641299355
2015-8,0.6521377267630534
2015-9,0.6522117893961712
2015-10,0.652285852029289
2015-11,0.6523599146624068
2015-12,0.6524339772955245
2016-1,0.6525080399286424
2016-2,0.6524815856856775
2016-3,0.6524551314427127
2016-4,0.6524286771997478
2016-5,0.6524022229567831
2016-6,0.6523757687138182
2016-7,0.6523493144708534
2016-8,0.6523228602278885
2016-9,0.6522964059849237
2016-10,0.6522699517419589
2016-11,0.652243497498994
2016-12,0.6522170432560292
2017-1,0.6521905890130644
2017-2,0.6522374874146785
2017-3,0.6522843858162926
2017-4,0.6523312842179068
2017-5,0.6523781826195209
2017-6,0.652425081021135
2017-7,0.6524719794227491
2017-8,0.6525188778243632
2017-9,0.6525657762259773
2017-10,0.6526126746275914
2017-11,0.6526595730292055
2017-12,0.6527064714308197
2018-1,0.6527533698324338
2018-2,0.652796955967528
2018-3,0.6528405421026222
2018-4,0.6528841282377165
2018-5,0.6529277143728106
2018-6,0.6529713005079048
2018-7,0.653014886642999
2018-8,0.6530584727780933
2018-9,0.6531020589131874
2018-10,0.6531456450482815
2018-11,0.6531892311833758
2018-12,0.65323281731847
2019-1,0.6532764034535642
2019-2,0.6531724368130609
2019-3,0.6530684701725575
2019-4,0.6529645035320543
2019-5,0.652860536891551
2019-6,0.6527565702510477
2019-7,0.6526526036105444
2019-8,0.6525486369700411
2019-9,0.6524446703295378
