,Amazonas - IDH Renda
2003-1,0.6946181453308197
2003-2,0.6944272050197695
2003-3,0.6942362647087192
2003-4,0.6940453243976691
2003-5,0.6938543840866189
2003-6,0.6936634437755688
2003-7,0.6934725034645186
2003-8,0.6932815631534683
2003-9,0.6930906228424182
2003-10,0.692899682531368
2003-11,0.6927087422203178
2003-12,0.6925178019092676
2004-1,0.6923268615982174
2004-2,0.6921357528926632
2004-3,0.6919446441871088
2004-4,0.6917535354815545
2004-5,0.6915624267760002
2004-6,0.6913713180704458
2004-7,0.6911802093648916
2004-8,0.6909891006593373
2004-9,0.6907979919537829
2004-10,0.6906068832482286
2004-11,0.6904157745426743
2004-12,0.6902246658371199
2005-1,0.6900335571315657
2005-2,0.6898412066907283
2005-3,0.6896488562498909
2005-4,0.6894565058090536
2005-5,0.6892641553682162
2005-6,0.6890718049273789
2005-7,0.6888794544865415
2005-8,0.6886871040457041
2005-9,0.6884947536048668
2005-10,0.6883024031640294
2005-11,0.688110052723192
2005-12,0.6879177022823546
2006-1,0.6877253518415173
2006-2,0.687530686324618
2006-3,0.6873360208077187
2006-4,0.6871413552908194
2006-5,0.6869466897739201
2006-6,0.6867520242570209
2006-7,0.6865573587401215
2006-8,0.6863626932232222
2006-9,0.6861680277063229
2006-10,0.6859733621894236
2006-11,0.6857786966725243
2006-12,0.685584031155625
2007-1,0.6853893656387258
2007-2,0.6851913117049856
2007-3,0.6849932577712455
2007-4,0.6847952038375054
2007-5,0.6845971499037652
2007-6,0.6843990959700251
2007-7,0.684201042036285
2007-8,0.6840029881025448
2007-9,0.6838049341688047
2007-10,0.6836068802350646
2007-11,0.6834088263013244
2007-12,0.6832107723675843
2008-1,0.6830127184338441
2008-2,0.6828102027424843
2008-3,0.6826076870511244
2008-4,0.6824051713597645
2008-5,0.6822026556684047
2008-6,0.6820001399770448
2008-7,0.6817976242856849
2008-8,0.6815951085943251
2008-9,0.6813925929029653
2008-10,0.6811900772116054
2008-11,0.6809875615202455
2008-12,0.6807850458288857
2009-1,0.6805825301375258
2009-2,0.6803744793477673
2009-3,0.6801664285580088
2009-4,0.6799583777682503
2009-5,0.6797503269784918
2009-6,0.6795422761887333
2009-7,0.6793342253989747
2009-8,0.6791261746092162
2009-9,0.6789181238194577
2009-10,0.6787100730296992
2009-11,0.6785020222399407
2009-12,0.6782939714501822
2010-1,0.6780859206604237
2010-2,0.6778712614314877
2010-3,0.6776566022025516
2010-4,0.6774419429736156
2010-5,0.6772272837446796
2010-6,0.6770126245157435
2010-7,0.6767979652868075
2010-8,0.6765833060578715
2010-9,0.6763686468289355
2010-10,0.6761539875999995
2010-11,0.6759393283710634
2010-12,0.6757246691421274
2011-1,0.6755100099131913
2011-2,0.6752876689042988
2011-3,0.6750653278954064
2011-4,0.6748429868865139
2011-5,0.6746206458776214
2011-6,0.674398304868729
2011-7,0.6741759638598365
2011-8,0.673953622850944
2011-9,0.6737312818420516
2011-10,0.673508940833159
2011-11,0.6732865998242665
2011-12,0.6730642588153741
2012-1,0.6728419178064816
2012-2,0.6725095410700829
2012-3,0.6721771643336842
2012-4,0.6718447875972855
2012-5,0.6715124108608868
2012-6,0.671180034124488
2012-7,0.6708476573880893
2012-8,0.6705152806516906
2012-9,0.6701829039152919
2012-10,0.6698505271788932
2012-11,0.6695181504424945
2012-12,0.6691857737060958
2013-1,0.668853396969697
2013-2,0.6687551566708755
2013-3,0.6686569163720539
2013-4,0.6685586760732324
2013-5,0.6684604357744108
2013-6,0.6683621954755893
2013-7,0.6682639551767677
2013-8,0.6681657148779462
2013-9,0.6680674745791246
2013-10,0.6679692342803031
2013-11,0.6678709939814815
2013-12,0.66777275368266
2014-1,0.6676745133838384
2014-2,0.6675680863934484
2014-3,0.6674616594030585
2014-4,0.6673552324126684
2014-5,0.6672488054222784
2014-6,0.6671423784318884
2014-7,0.6670359514414983
2014-8,0.6669295244511083
2014-9,0.6668230974607183
2014-10,0.6667166704703283
2014-11,0.6666102434799384
2014-12,0.6665038164895483
2015-1,0.6663973894991583
2015-2,0.6658182532519004
2015-3,0.6652391170046424
2015-4,0.6646599807573845
2015-5,0.6640808445101266
2015-6,0.6635017082628687
2015-7,0.6629225720156107
2015-8,0.6623434357683528
2015-9,0.6617642995210948
2015-10,0.6611851632738369
2015-11,0.660606027026579
2015-12,0.6600268907793211
2016-1,0.6594477545320632
2016-2,0.6593450860057909
2016-3,0.6592424174795186
2016-4,0.6591397489532465
2016-5,0.6590370804269742
2016-6,0.6589344119007019
2016-7,0.6588317433744296
2016-8,0.6587290748481573
2016-9,0.6586264063218851
2016-10,0.6585237377956128
2016-11,0.6584210692693406
2016-12,0.6583184007430684
2017-1,0.6582157322167961
2017-2,0.6582476695820748
2017-3,0.6582796069473535
2017-4,0.6583115443126324
2017-5,0.6583434816779111
2017-6,0.6583754190431899
2017-7,0.6584073564084687
2017-8,0.6584392937737474
2017-9,0.6584712311390262
2017-10,0.6585031685043049
2017-11,0.6585351058695836
2017-12,0.6585670432348625
2018-1,0.6585989806001412
2018-2,0.6584974577258998
2018-3,0.6583959348516585
2018-4,0.6582944119774171
2018-5,0.6581928891031757
2018-6,0.6580913662289344
2018-7,0.6579898433546931
2018-8,0.6578883204804518
2018-9,0.6577867976062104
2018-10,0.657685274731969
2018-11,0.6575837518577277
2018-12,0.6574822289834863
2019-1,0.6573807061092449
2019-2,0.6573987417615876
2019-3,0.6574167774139305
2019-4,0.6574348130662733
2019-5,0.657452848718616
2019-6,0.6574708843709587
2019-7,0.6574889200233015
2019-8,0.6575069556756443
