Ano,Goiás - IDH Renda
2008,0.7400907109439028
2009,0.7386463315931661
2010,0.7374995873656377
2011,0.7366427605359332
2012,0.7357500552188553
2013,0.7362292264870932
2014,0.7359149953610177
2015,0.7356579116411024
2016,0.7287774717007335
2017,0.7292117873098912
2018,0.7286855861562448
2019,0.7281115485340854
2020,0.7280307802190022
2021,0.7285790329661843
2022,0.7299043995994737
