,Amapá - IDH Renda
2003-1,0.6898089271682842
2003-2,0.689703525857125
2003-3,0.6895981245459659
2003-4,0.6894927232348067
2003-5,0.6893873219236475
2003-6,0.6892819206124883
2003-7,0.6891765193013291
2003-8,0.68907111799017
2003-9,0.6889657166790107
2003-10,0.6888603153678515
2003-11,0.6887549140566924
2003-12,0.6886495127455332
2004-1,0.688544111434374
2004-2,0.6884391864047625
2004-3,0.6883342613751512
2004-4,0.6882293363455398
2004-5,0.6881244113159284
2004-6,0.6880194862863169
2004-7,0.6879145612567056
2004-8,0.6878096362270942
2004-9,0.6877047111974828
2004-10,0.6875997861678713
2004-11,0.68749486113826
2004-12,0.6873899361086486
2005-1,0.6872850110790372
2005-2,0.6871797622316531
2005-3,0.6870745133842692
2005-4,0.6869692645368851
2005-5,0.6868640156895011
2005-6,0.6867587668421171
2005-7,0.6866535179947331
2005-8,0.686548269147349
2005-9,0.6864430202999651
2005-10,0.686337771452581
2005-11,0.686232522605197
2005-12,0.686127273757813
2006-1,0.686022024910429
2006-2,0.685915652145952
2006-3,0.6858092793814748
2006-4,0.6857029066169977
2006-5,0.6855965338525207
2006-6,0.6854901610880437
2006-7,0.6853837883235666
2006-8,0.6852774155590895
2006-9,0.6851710427946125
2006-10,0.6850646700301355
2006-11,0.6849582972656584
2006-12,0.6848519245011813
2007-1,0.6847455517367043
2007-2,0.6846372549558137
2007-3,0.6845289581749233
2007-4,0.6844206613940328
2007-5,0.6843123646131423
2007-6,0.6842040678322518
2007-7,0.6840957710513613
2007-8,0.6839874742704708
2007-9,0.6838791774895804
2007-10,0.6837708807086899
2007-11,0.6836625839277993
2007-12,0.6835542871469089
2008-1,0.6834459903660184
2008-2,0.6833349694693941
2008-3,0.6832239485727697
2008-4,0.6831129276761454
2008-5,0.6830019067795211
2008-6,0.6828908858828967
2008-7,0.6827798649862724
2008-8,0.6826688440896481
2008-9,0.6825578231930237
2008-10,0.6824468022963994
2008-11,0.6823357813997751
2008-12,0.6822247605031507
2009-1,0.6821137396065264
2009-2,0.6819991944948478
2009-3,0.6818846493831693
2009-4,0.6817701042714907
2009-5,0.6816555591598121
2009-6,0.6815410140481335
2009-7,0.6814264689364549
2009-8,0.6813119238247763
2009-9,0.6811973787130977
2009-10,0.6810828336014192
2009-11,0.6809682884897406
2009-12,0.680853743378062
2010-1,0.6807391982663834
2010-2,0.6806203288403302
2010-3,0.6805014594142769
2010-4,0.6803825899882237
2010-5,0.6802637205621703
2010-6,0.6801448511361171
2010-7,0.6800259817100638
2010-8,0.6799071122840106
2010-9,0.6797882428579574
2010-10,0.679669373431904
2010-11,0.6795505040058508
2010-12,0.6794316345797975
2011-1,0.6793127651537443
2011-2,0.6791887713139959
2011-3,0.6790647774742476
2011-4,0.6789407836344994
2011-5,0.678816789794751
2011-6,0.6786927959550026
2011-7,0.6785688021152544
2011-8,0.6784448082755061
2011-9,0.6783208144357578
2011-10,0.6781968205960094
2011-11,0.6780728267562611
2011-12,0.6779488329165129
2012-1,0.6778248390767645
2012-2,0.677611426855721
2012-3,0.6773980146346775
2012-4,0.677184602413634
2012-5,0.6769711901925906
2012-6,0.676757777971547
2012-7,0.6765443657505035
2012-8,0.67633095352946
2012-9,0.6761175413084165
2012-10,0.6759041290873731
2012-11,0.6756907168663295
2012-12,0.6754773046452861
2013-1,0.6752638924242426
2013-2,0.6752796138994109
2013-3,0.6752953353745792
2013-4,0.6753110568497476
2013-5,0.6753267783249159
2013-6,0.6753424998000843
2013-7,0.6753582212752527
2013-8,0.675373942750421
2013-9,0.6753896642255893
2013-10,0.6754053857007577
2013-11,0.675421107175926
2013-12,0.6754368286510943
2014-1,0.6754525501262627
2014-2,0.6753445817243617
2014-3,0.6752366133224608
2014-4,0.6751286449205598
2014-5,0.6750206765186588
2014-6,0.6749127081167579
2014-7,0.6748047397148569
2014-8,0.674696771312956
2014-9,0.674588802911055
2014-10,0.6744808345091541
2014-11,0.6743728661072531
2014-12,0.6742648977053521
2015-1,0.6741569293034512
2015-2,0.6738095592240269
2015-3,0.6734621891446025
2015-4,0.6731148190651783
2015-5,0.672767448985754
2015-6,0.6724200789063297
2015-7,0.6720727088269054
2015-8,0.6717253387474811
2015-9,0.6713779686680568
2015-10,0.6710305985886325
2015-11,0.6706832285092083
2015-12,0.6703358584297839
2016-1,0.6699884883503596
2016-2,0.6698368859893775
2016-3,0.6696852836283954
2016-4,0.6695336812674133
2016-5,0.6693820789064311
2016-6,0.669230476545449
2016-7,0.6690788741844669
2016-8,0.6689272718234848
2016-9,0.6687756694625027
2016-10,0.6686240671015204
2016-11,0.6684724647405383
2016-12,0.6683208623795562
2017-1,0.6681692600185741
2017-2,0.6680644816853815
2017-3,0.6679597033521889
