,Mato Grosso - Produção de Cimento (t),Mato Grosso- custo m2 (R$),Mato Grosso - IDH Longevidade,Mato Grosso - Depósito Poupança (R$),Mato Grosso - Consumo de Cimento (t),Mato Grosso - IDH Educacao,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Mato Grosso - Desemprego,Mato Grosso - IDH Renda,Mato Grosso - IDH,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado,Mato Grosso - value,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,50.91723999999999,10522.56,0.7741666247445078,1402869.96310549,47.47,0.7133648120308123,1.9370984605899284,994.6419292834742,1307.6930167529588,26.49775929659498,22.112508640553,78.54805587557604,2.0382601286482336,8.29717805688061,0.7560382436995498,0.7451471682661532,60845643.7658844,2670587.842185964,16.83133214002083,51189455.45652205,0.3318000568433363,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,50.85158615384615,10614.964999999998,0.7744872459726776,1418219.1200554855,45.387,0.7137211184628963,2.057965333654944,994.3094696060548,1283.219898473389,26.168995855734767,21.33168874807988,76.9016849078341,1.8622789458525344,8.291317308367613,0.755859944390558,0.7453080647004359,60927684.677836455,2672687.8562078546,16.83596698577614,51216138.6244529,0.333614947802772,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,50.97054911680911,10702.843148148146,0.7748078672008475,1433568.2770054815,44.907,0.7140774248949805,1.7154922153753744,994.6606542952082,1261.0620103640167,25.84485233721625,20.55768246501109,75.40709165386585,1.8020309299795187,8.285456559854616,0.7556816450815662,0.7454689611347185,61009725.58978851,2674787.8702297453,16.840601831531448,51242821.79238376,0.3348635568549185,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,51.04997768823768,10785.405648148148,0.7751284884290173,1448917.4339554776,45.467,0.7144337313270646,1.5258014937258897,995.244083634686,1235.9956838334044,25.43573175349889,19.3990419120157,72.89461085509473,1.794849670378904,8.279595811341618,0.7555033457725745,0.7456298575690011,61091766.501740575,2676887.8842516365,16.845236677286756,51269504.96031462,0.3360477113933359,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,51.567529412375606,10863.369096424009,0.775449109657187,1464266.590905473,56.246,0.7147900377591486,1.166059562499007,995.6974667959704,1233.7905720177544,25.082754572483115,17.83038614280838,68.635209339112,1.820612462054714,8.273735062828623,0.7553250464635828,0.7457907540032838,61173807.41369263,2678987.898273527,16.849871523042065,51296188.128245465,0.3364466497473352,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,51.91232941237561,10938.122429757344,0.775769730885357,1479615.7478554691,56.126,0.7151463441912328,0.7153361816571817,995.7650096612988,1214.3111993739092,25.225547676411832,17.045252539699955,65.50195450876203,1.8653263898685437,8.267874314315627,0.755146747154591,0.7459516504375664,61255848.32564469,2681087.912295418,16.854506368797374,51322871.29617632,0.3367533763856311,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,52.26245844463368,11017.88468782186,0.7760903521135267,1494964.9048054651,66.358,0.7155026506233169,1.4867424625545829,995.49146006946,1217.8226087734429,25.54748296808391,16.99792736091767,64.01409505485319,1.9448399885930887,8.26201356580263,0.7549684478455992,0.746112546871849,61337889.23759674,2683187.926317309,16.859141214552686,51349554.46410718,0.3369648202829216,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,52.37273969463368,11094.93781282186,0.7764109733416965,1510314.061755461,63.712,0.7158589570554009,2.143067362863444,994.740755653332,1293.9683769621556,26.033020519988277,17.5969879293988,64.17587108748639,2.012576700718925,8.256152817289632,0.7547901485366075,0.7462734433061318,61419930.1495488,2685287.9403391997,16.863776060307995,51376237.632038034,0.3375028261124576,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,52.476254846148834,11168.603267367314,0.7767315945698664,1525663.2187054567,66.987,0.7162152634874851,2.834476640466527,993.5099774102208,1382.5797565044777,26.554045455653377,18.9583841907704,66.9618258380222,1.954689103477407,8.250292068776636,0.7546118492276157,0.7464343397404144,61501971.061500855,2687387.95436109,16.868410906063303,51402920.79996889,0.3373446187220328,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,52.24949014026648,11236.072090896723,0.7770522157980362,1541012.3756554525,67.214,0.7165715699195692,3.403323948535636,992.528278614496,1437.2730958997945,26.68035543026085,20.07843538413888,70.28284688301123,1.946675635529057,8.24443132026364,0.754433549918624,0.746595236174697,61584011.97345291,2689487.9683829807,16.873045751818612,51429603.96789974,0.3370916986510117,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
