,Rio de-01eiro - value,Rio de Janeiro- custo m2 (R$),Rio de Janeiro - Depósito Poupança (R$),Rio De Janeiro - Consumo de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Rio De Janeiro - Produção de Cimento (t),Rio de Janeiro - IDH,Rio de Janeiro - IDH Renda,Rio de Janeiro - IDH Educacao,Rio de Janeiro - IDH Longevidade,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Rio de Janeiro - Desemprego
2003-1,0.291136725087858,12454.8648,36752875.7782028,254.362,2.8291589506172827,1010.529617935548,1375.7587856998407,25.74836221518177,21.00436999967998,77.77870583717359,0.2809238991295443,199.08128,0.7734886331867591,0.805095339599267,0.7311102293011001,0.8041596785478503,358342991.36765146,18135342.363087524,22.143720290058155,347284638.94006354,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968,8.356511888457344
2003-2,0.293537640644443,12574.990184615384,36746754.462883726,252.842,2.2436885976351912,1011.8195507312467,1351.3955328525276,24.726628344214028,19.94459849430364,77.55935099846391,0.4370126088069638,198.56178,0.7735473718421904,0.8047512414703862,0.7312482452069742,0.804512616820868,358744115.32596684,18141076.667382248,22.14922772432561,347405632.09867275,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918,8.350331738774567
2003-3,0.2959139116009395,12687.42611054131,36740633.14756465,229.385,1.817902434113179,1012.6950608172256,1239.403439017519,23.660449442097622,19.286758712557607,78.92502560163851,0.5523532172725724,198.77333555555555,0.7736061104976215,0.8044071433415053,0.7313862611128481,0.8048655550938857,359145239.28428227,18146810.97167697,22.15473515859306,347526625.2572819,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264,8.34415158909179
2003-4,0.2982643476564575,12814.53003911274,36734511.83224557,243.407,1.6417604588045374,1013.7288741812812,1209.3626949255454,22.867265878349546,18.421109711021504,78.67732974910395,0.6406308670421577,198.75379984126985,0.7736648491530527,0.8040630452126245,0.7315242770187221,0.8052184933669034,359546363.2425977,18152545.275971696,22.160242592860516,347647618.4158911,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468,8.337971439409014
2003-5,0.3005877301868387,12915.463832216186,36728390.516926505,256.535,1.281770067606239,1014.8347686347166,1137.879018520874,21.790667886554257,17.31391424479738,78.55685666739815,0.7125318496574261,198.72145501368365,0.7737235878084839,0.8037189470837436,0.7316622929245962,0.8055714316399211,359947487.2009131,18158279.580266416,22.165750027127963,347768611.5745003,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032,8.331791289726239
2003-6,0.3028870303585866,13011.255498882854,36722269.20160743,243.236,1.1068340867334638,1015.3677132131452,1103.5978206923787,21.388772862000117,16.900461273110825,78.52387429517721,0.7840590469379592,197.4416216803503,0.7737823264639152,0.8033748489548628,0.7318003088304701,0.8059243699129388,360348611.1592285,18164013.88456114,22.171257461395417,347889604.73310953,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904,8.325611140043462
2003-7,0.3051611976025158,13102.741950495756,36716147.88628835,269.774,0.9581908813888383,1014.9757547241244,1086.578768490129,21.03872285154064,16.900098467154276,80.08686075914201,0.7830020197511308,197.4670087771245,0.7738410651193464,0.803030750825982,0.7319383247363441,0.8062773081859564,360749735.1175439,18169748.188855864,22.17676489566287,348010597.89171875,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383,8.319430990360685
2003-8,0.3071600963910781,13191.451012995758,36710026.57096928,243.189,0.7882276789714281,1014.2298501780176,1077.460687720744,20.9178442010134,17.332542329397516,82.48273078054528,0.7577954409522591,197.9658212771245,0.7738998037747775,0.802686652697101,0.7320763406422182,0.8066302464589742,361150859.0758593,18175482.493150588,22.18227232993032,348131591.0503279,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182,8.313250840677908
2003-9,0.3090407290725479,13270.282528147274,36703905.2556502,264.695,0.5402265158200757,1013.3052996150788,1090.5876681354705,20.980866316596664,18.01753835377204,85.1971797705955,0.698142236636467,197.29954854985175,0.7739585424302088,0.8023425545682202,0.7322143565480921,0.8069831847319919,361551983.0341747,18181216.797445312,22.18777976419777,348252584.2089371,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797,8.30707069099513
2003-10,0.3108858323237937,13343.892528147271,36697783.94033113,268.955,0.4670823341692675,1011.6987541156096,1082.756951783933,22.65343395054424,18.45135060245691,81.38042779016632,0.7115736047031751,197.73593090279292,0.77401728108564,0.8019984564393393,0.7323523724539661,0.8073361230050096,361953106.99249005,18186951.101740032,22.193287198465224,348373577.3675463,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887,8.300890541312356
2003-11,0.3126941167426013,13414.43281386156,36691662.625012055,247.368,0.4391073057921544,1010.7477005583868,1085.0249822242668,24.621734924022046,18.56028625712529,75.00861976304387,0.7953587546131288,197.93261661707868,0.7740760197410712,0.8016543583104585,0.7324903883598401,0.8076890612780273,362354230.9508055,18192685.40603476,22.19879463273268,348494570.5261555,410971.7288202781,7386318.988199934,623.3781786324848,2314384.902305873,0.8382390949358776,3.61797721928848,0.8327971802717965,0.6315074373857803,-6097.745583517717,7.313008932848318,129.56686929035564,179021798.7595036,179.4957290410064,1.6375042967189617,8.294710391629579
2003-12,0.3144642664327712,13482.858369417116,36685541.30969298,247.521,0.4116040389453744,1009.4788220412966,1089.1797249528554,26.93657645588042,18.63229380333856,67.08374676054368,0.9007249422789672,197.8155332837453,0.7741347583965024,0.8013102601815776,0.7326284042657141,0.8080419995510449,362755354.9091209,18198419.71032948,22.20430206700013,348615563.6847647,414731.1569842756,7391919.967637314,635.2966266455436,2399709.7029366046,0.8211746264022252,3.6101044651759793,0.8169855326871092,0.6292469617617195,-6082.10009002275,7.034262103245153,130.33031378250743,179203287.3317393,180.5826505067935,1.7623760541706297,8.288530241946802
2004-1,0.3160766632068779,13548.831342390087,36679419.9943739,256.494,0.5151646028222974,1008.1607538164706,1094.8846838349698,29.573106475778104,18.61735410410525,57.63897061625055,1.0296653287993245,197.53064139185344,0.7741934970519336,0.8009661620526968,0.7327664201715881,0.8083949378240627,363156478.8674363,18204154.014624204,22.209809501267586,348736556.8433739,417533.7771609108,7397520.947074695,608.3645349020483,2379575.1981304954,0.8146624868021721,3.6015879781415734,0.8183674345886709,0.6279521987366027,-6360.043009879893,6.775421109777445,131.09375827465925,179384775.903975,181.71762234118845,1.3607725559131063,8.282350092264025
2004-2,0.3176500645712137,13611.519500284823,36575832.8909089,214.974,0.6348767368121271,1007.6553252023076,1101.803362735881,30.56163112224008,18.489728952089564,54.24733387711973,1.075107003670203,197.05785191816923,0.7742535449921647,0.8006477177038778,0.732916090876049,0.8086955334960879,363514658.37355393,18206904.47934482,22.21397460719339,348824145.59373134,422402.9868290372,7402970.507331404,587.1238050372627,2286865.77068742,0.7877508194696684,3.592453286930746,0.813175865272952,0.6179234500456987,-6312.09879505444,6.535527586437412,131.98976210790366,179558325.62127495,182.87265024146924,1.2915557727587674,8.280467837896708
2004-3,0.3191831061593667,13671.673346438669,36472245.78744391,273.646,0.7896748528058124,1007.2135572942964,1109.59926552086,31.410187721985512,18.27479568218866,51.28143589341629,1.1150710392497851,198.5961083284256,0.7743135929323957,0.8003292733550588,0.73306576158051,0.8089961291681133,363872837.8796716,18209654.94406543,22.218139713119196,348911734.34408885,428940.3527979896,7408420.067588114,570.3798396602158,2267168.0966155827,0.7462153668542578,3.5827259202889805,0.7940584078254243,0.6110282002564377,-6382.974247910342,6.304693993612522,132.88576594114804,179731875.3385749,184.0434969224516,1.3153702879685611,8.278585583529393
2004-4,0.3206335741814543,13727.85284643867,36368658.6839789,238.045,0.9711407663541718,1006.8899480447252,1117.9358960551776,32.04927504571481,17.98222667732221,49.02396291239808,1.1456919102456162,198.86998332842563,0.7743736408726267,0.8000108290062398,0.7332154322849709,0.8092967248401385,364231017.3857892,18212405.408786044,22.222304819045,348999323.0944463,437138.8679254053,7413869.627844823,552.5537154986056,2235945.485366601,0.7161196882161044,3.57243140696176,0.7742123337341686,0.602215193421453,-6659.524121320398,6.092845857236326,133.78176977439244,179905425.05587482,185.9739836449516,1.2716511611761512,8.276703329162077
