Ano,ta C-01atarina - Consumo de Cimento (t)
2014,3110.0715527707116
2015,2976.9940278020167
2016,2926.272612635943
2017,2987.7079601399328
2018,3116.979073206952
2019,3368.4342675798835
2020,3694.4567039244466
2021,3912.594046437685
2022,3975.872356224485
