Ano,ta C-01atarina - Consumo de Cimento (t)
2008,2653.587
2009,2669.4
2010,2852.759
2011,3087.81
2012,3268.31
2013,3466.227
2014,3246.749285714286
2015,3017.084228571429
2016,2776.217485714286
2017,2891.489
2018,2976.485
2019,3258.027
2020,3537.032
2021,4089.333
2022,4255.808
