Ano,Alagoas
2014,14.169212678034246
2015,14.659463841447764
2016,14.776623181072734
2017,14.347557296450454
2018,14.104975334874132
2019,13.904156488716136
2020,13.726047131624773
2021,13.45056127706579
2022,13.470373256132259
