Ano,Alas --08 Consumo de Cimento (t)
2014,716.5656396074594
2015,617.7935621882866
2016,505.5684018165119
2017,432.2767805258178
2018,433.7402180380149
2019,489.78686165036873
2020,532.4423617138642
2021,539.4304954205743
2022,542.2690227964345
