Ano,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
1985,0.000322511,121639.466852395,12.0752084795,1715029.78513326
1986,0.001053997,137949.941875524,12.0767329237,1870806.69721469
1987,0.003424649,127476.357733478,12.5274969312,2099708.70565122
1988,0.025948098,145593.17440447,12.8710717649,2317346.37376521
1989,0.447835142,147413.758794794,11.4361397902,2396214.37024145
1990,12.95052766,106775.525689889,11.2896169247,2499588.924839
1991,56.54765116,136014.567055847,11.4515703254,2668318.94996108
1992,545.7809317,149828.324579032,11.3659642378,2760440.36847527
1993,9591.466569,162407.00697201,11.3198459586,2870362.01988682
1994,238458.854,192144.171749677,11.250586255,2971954.86513155
1995,1004243.607,167957.064797003,11.3332155912,3112678.99533407
1996,1187585.231,160555.833185771,11.3067939213,3223499.10621019
1997,1284108.22,171092.842669515,11.181721364,3304221.02650966
1998,1347030.097,146259.623919612,10.6567696876,3253298.6502346
1999,1569596.587,128877.675960105,10.7350733761,3430478.57790763
2000,1776655.569,131100.193149539,10.7648239374,3566450.7594177
2001,2033141.428,140612.870791317,11.1525809108,3826762.78275309
2002,2217673.21113071,411797.185612158,12.1457698676,4213015.33972972
2003,2406499.5756399,180024.161525789,11.2148730973,4007096.58742338
2004,2617309.57163765,208022.656947671,10.5907915545,4044580.93150862
2005,2949075.47697938,221349.49040279,10.8403943737,4242030.60513359
2006,3511125.37201588,458313.914943847,11.7271375276,4730070.55894923
2007,3848631.65683207,234392.87236475,11.3437476719,4871096.0003064
2008,4434515.27401066,248366.942838379,12.499752581,5159685.36963467
2009,5203693.18155754,364455.188278809,13.3856020162,5642017.86420654
2010,6067327.16761489,537835.04221723,13.1704010116,6067327.16761489
2011,6722044.71243414,482179.246753831,13.4860512766,6205808.7856742
2012,7065827.10233616,390768.075796162,12.870849382,6043172.68521985
2013,8339327.91126934,627101.611176818,13.5932170486,6634468.63133642
2014,8993027.30912148,549713.058000987,13.3497657878,6633979.21150175
2015,9441338.59137065,410581.78292443,12.804515394,6474795.27671021
2016,10177503.6041123,417439.199652363,12.5555861942,6456446.53305811
2017,11182830.9069313,383158.361908544,13.0974968248,6842978.1558361
2018,12267089.2085581,393974.701483073,12.6092062932,7183655.5539493
2019,12996568.708831,366454.943958099,12.2080714401,7302370.57376464
2020,14524239.1603771,381489.71268576,11.7462857808,7664628.37849479
