State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Paraná,2004-01,,,,,,,,2004
Paraná,2004-02,,,,,,,,2004
Paraná,2004-03,,,,,,,,2004
Paraná,2004-04,,,,,,,,2004
Paraná,2004-05,,,,,,,,2004
Paraná,2004-06,,,,,,,,2004
Paraná,2004-07,,,,,,,,2004
Paraná,2004-08,,,,,,,,2004
Paraná,2004-09,,,,,,,,2004
Paraná,2004-10,,,,,,,,2004
Paraná,2004-11,,,,,,,,2004
Paraná,2004-12,,,,,,,,2004
Paraná,2005-01,,914.0,,25.1,14.1,50.0,3.2,2005
Paraná,2005-02,,914.0,,25.1,14.099999999999998,50.0,3.2,2005
Paraná,2005-03,,914.0,,25.1,14.1,50.0,3.2,2005
Paraná,2005-04,,914.0,,25.1,14.1,50.0,3.2,2005
Paraná,2005-05,3.0222222222222226,913.0269489247313,886.744827586207,20.87157258064516,13.791532258064516,66.3366935483871,1.9566818039461322,2005
Paraná,2005-06,1.3118644067796619,915.5443055555556,909.8181818181819,16.3,12.581875,80.33333333333333,1.7106469844071788,2005
Paraná,2005-07,1.545945945945946,917.0362903225806,1047.94578313253,13.842137096774193,9.325201612903225,76.59677419354838,1.827757575757576,2005
Paraná,2005-08,2.715625000000001,914.5867607526882,1214.5797101449275,16.363373655913986,10.070094086021507,70.16801075268818,2.008121212121212,2005
Paraná,2005-09,1.5101910828025502,914.6579166666666,846.6479289940828,14.06013888888889,10.71694444444444,81.99027777777779,2.13106431402634,2005
Paraná,2005-10,1.9999999999999538,912.0067126892981,864.7611548556431,17.777468262680856,14.536430009007487,82.57101840905254,3.2775949367088613,2005
Paraná,2005-11,1.7280000000000013,911.0059802210587,1510.7852112676057,17.324602239674228,12.490897324025598,76.11411431064573,3.273294655414909,2005
Paraná,2005-12,,909.9,,13.4,8.5,72.0,1.5,2005
Paraná,2006-01,,911.6,,21.4,16.2,72.0,3.2,2006
Paraná,2006-02,,911.6000000000001,,21.4,16.2,72.0,3.2,2006
Paraná,2006-03,1.4109589041095882,911.7778190435766,1068.5066079295154,20.877769524617996,16.525834748160726,76.93092105263158,2.5911184210526317,2006
Paraná,2006-04,0.4276923076923068,912.3712536549708,1268.371335504886,17.684152046783627,12.935040204678362,76.17346491228069,2.013552631578947,2006
Paraná,2006-05,0.21818181818181817,914.9217069892474,1056.4243697478992,13.819018817204302,9.28252688172043,76.62029569892474,1.8387096774193556,2006
Paraná,2006-06,1.1058823529411772,916.2923611111111,879.8932926829268,14.886805555555556,10.522777777777778,77.43888888888888,2.2240277777777773,2006
Paraná,2006-07,1.3210526315789477,915.5422043010753,1072.9358600583091,15.673387096774194,9.5002688172043,71.01478494623656,1.9098118279569893,2006
Paraná,2006-08,1.0350000000000017,914.1765456989247,1154.5475504322767,15.892943548387095,8.72741935483871,67.44220430107526,2.3155241935483875,2006
Paraná,2006-09,2.4857142857142853,913.7759722222222,1146.72311827957,15.121805555555554,9.464027777777778,73.05972222222222,2.7734722222222223,2006
Paraná,2006-10,1.4881355932203555,911.8978494623656,1140.5287081339713,17.681922043010754,13.527956989247313,78.57190860215054,2.493010752688173,2006
Paraná,2006-11,0.974226804123707,910.9542361111112,1151.4346793349168,18.695208333333333,14.623472222222222,79.07916666666667,2.4895138888888892,2006
Paraná,2006-12,0.4201923076923082,910.8741935483871,1260.0588235294117,21.005241935483863,16.747244623655913,78.15725806451613,2.699059139784946,2006
Paraná,2007-01,0.9072463768115945,909.44375,1189.3470319634703,21.195833333333333,17.19872311827957,79.59879032258064,2.4163306451612905,2007
Paraná,2007-02,1.4791666666666623,911.3025297619048,1357.1625344352617,21.447916666666668,16.792708333333334,76.84970238095238,2.4646577380952377,2007
Paraná,2007-03,3.3952380952380956,912.1762096774194,1452.228855721393,22.427956989247313,16.57204301075269,72.74596774193549,1.8987903225806453,2007
Paraná,2007-04,2.208000000000001,913.8425694444445,1050.6592797783933,19.363333333333333,15.457013888888888,79.5625,2.0315972222222225,2007
Paraná,2007-05,2.0977777777777784,914.8689038318105,869.3957219251337,16.0642881005656,11.896908990614698,78.11737833302259,2.426266004723724,2007
Paraná,2007-06,0.2,915.2851188182401,1028.4794520547946,18.531207851637763,11.870971820809247,67.31968127809893,3.1365390173410423,2007
Paraná,2007-07,1.688235294117648,914.1084005376345,983.3284023668639,13.264650537634408,7.71619623655914,72.46639784946238,2.3466397849462366,2007
Paraná,2007-08,0.4749999999999998,915.7536962365591,1108.0304709141274,15.314247311827955,9.612298387096775,72.38172043010752,2.4703629032258063,2007
Paraná,2007-09,2.8242424242424247,915.7510416666667,1312.0628415300546,17.861666666666665,12.017777777777777,72.54097222222222,2.4023611111111114,2007
Paraná,2007-10,2.5090909090909097,912.4666666666666,1154.0119047619048,18.388776881720432,13.933400537634409,77.68817204301075,2.5714381720430106,2007
Paraná,2007-11,2.554166666666667,910.5915972222222,1473.3474801061009,18.357916666666664,13.279374999999996,74.37847222222223,2.971041666666667,2007
Paraná,2007-12,2.49887640449438,909.9876344086022,1388.0942528735632,20.585887096774194,15.52513440860215,75.13575268817205,2.168951612903226,2007
Paraná,2008-01,1.5583333333333302,910.5695564516129,1054.4766146993318,19.626814516129034,16.005712365591396,80.7600806451613,2.6536962365591394,2008
Paraná,2008-02,2.311475409836063,910.5746408045976,1356.8394736842106,20.769827586206894,16.33390804597701,77.34841954022988,2.3577586206896552,2008
Paraná,2008-03,2.7295774647887296,911.8340460913586,1248.5288461538462,19.975429715093007,15.794263107291421,78.55955674593831,2.327446825209952,2008
Paraná,2008-04,3.5939393939393947,912.8958607055962,1045.843195266273,18.161917072181673,14.72141423357664,81.5919302514193,1.9117077250608272,2008
