Ano,Inadimplência da carteira de crédito  - total - (%)
2003-1,3.656420434634564
2003-2,3.654696592424286
2003-3,3.6542656318717164
2003-4,3.6535952487899412
2003-5,3.6502657428564227
2003-6,3.6467914899304983
2003-7,3.64252033160977
2003-8,3.637477796639721
2003-9,3.631689413765834
2003-10,3.625180711733593
2003-11,3.61797721928848
2003-12,3.6101044651759793
2004-1,3.6015879781415734
2004-2,3.592453286930746
2004-3,3.5827259202889805
2004-4,3.5724314069617598
2004-5,3.5615952756945672
2004-6,3.550243055232886
2004-7,3.538400274322199
2004-8,3.52609246170799
2004-9,3.513345146135742
2004-10,3.500183856350938
2004-11,3.486634121099062
2004-12,3.472721469125596
2005-1,3.4584714291760243
2005-2,3.4439095299958296
2005-3,3.4290613003304955
2005-4,3.413952268925505
2005-5,3.398607964526341
2005-6,3.3830539158784876
2005-7,3.367315651727427
2005-8,3.3514187008186433
2005-9,3.3353885918976194
2005-10,3.319250853709838
2005-11,3.303031015000783
2005-12,3.286754604515938
2006-1,3.270447151000785
2006-2,3.2541341832008084
2006-3,3.2378412298614907
2006-4,3.2215938197283154
2006-5,3.2054174815467653
2006-6,3.1893377440623247
2006-7,3.1733801360204756
2006-8,3.1575701861667023
2006-9,3.141933423246487
2006-10,3.126495376005314
2006-11,3.1112815731886654
2006-12,3.0963175435420256
2007-1,3.081628815810877
2007-2,3.0672409187407026
2007-3,3.0531793810769865
2007-4,3.0394697315652115
2007-5,3.026137498950861
2007-6,3.0132082119794177
2007-7,3.0007073993963655
2007-8,2.9886605899471874
2007-9,2.977093312377366
2007-10,2.9660310954323856
2007-11,2.955499467857729
2007-12,2.945523958398879
2008-1,2.9361300958013197
2008-2,2.9273434088105335
2008-3,2.9191894261720037
2008-4,2.9116936766312143
2008-5,2.9048816889336475
2008-6,2.8987789918247877
2008-7,2.893411114050117
2008-8,2.888803584355119
2008-9,2.884981931485277
2008-10,2.881971684186075
2008-11,2.8797983712029946
2008-12,2.87848752128152
2009-1,2.8780646631671347
2009-2,2.8785553256053213
2009-3,2.8799850373415636
2009-4,2.8823793271213445
2009-5,2.885763723690147
2009-6,2.8901637557934547
2009-7,2.895604952176751
2009-8,2.9021128415855184
2009-9,2.909712952765241
2009-10,2.9184308144614013
2009-11,2.928291955419483
2009-12,2.939321904384969
2010-1,2.951546190103343
2010-2,2.9649903413200875
2010-3,2.979679886780686
2010-4,2.9956403552306226
2010-5,3.0128972754153795
2010-6,3.0314761760804405
2010-7,3.0514025859712883
2010-8,3.0727020338334063
2010-9,3.095400048412278
2010-10,3.1195221584533863
2010-11,3.1450938927022145
2010-12,3.1721407799042463
2011-1,3.200688348804965
2011-2,3.2307621281498524
2011-3,3.2600000000000002
2011-4,3.2975000000000003
2011-5,3.333500000000001
2011-6,3.3642000000000003
2011-7,3.4055400000000007
2011-8,3.4519480000000002
2011-9,3.4954976
2011-10,3.52948912
2011-11,3.5609973439999996
2011-12,3.6000972928
2012-1,3.6402189273600003
2012-2,3.676063244032
2012-3,3.7012564342784002
2012-4,3.7214639356620802
2012-5,3.7225440739880957
2012-6,3.724801601930035
2012-7,3.727469135183626
2012-8,3.7364541474227324
2012-9,3.7227846565212714
2012-10,3.687847760788801
2012-11,3.634126483462014
2012-12,3.5843948488501622
2013-1,3.5437042664624356
2013-2,3.5116198230625195
2013-3,3.4890648179049912
2013-4,3.438136928193502
2013-5,3.3714403492196987
2013-6,3.27991545548264
2013-7,3.2262711609404677
2013-8,3.1672373232846214
2013-9,3.112701696845018
2013-10,3.033987804025928
2013-11,2.963337900174189
2013-12,2.911465140840023
2014-1,2.8909606082028425
2014-2,2.8924851498085733
2014-3,2.9166891516022835
2014-4,2.9258348602821718
2014-5,2.9405048023768914
2014-6,2.941267932531813
2014-7,2.946354546981741
2014-8,2.947524495902711
2014-9,2.92277580857689
2014-10,2.88206006089592
2014-11,2.8409671738945623
2014-12,2.8246054469580963
2015-1,2.8311145241705318
2015-2,2.8571439942257255
2015-3,2.8976517036792515
2015-4,2.9309591395809953
2015-5,2.959722168652049
2015-6,2.9921362616466083
2015-7,3.044371686059731
2015-8,3.103301589541268
2015-9,3.1775346551202
2015-10,3.2541672489322933
2015-11,3.3303403808104988
2015-12,3.384901525948558
2016-1,3.4430483813518116
2016-2,3.5015899814600737
2016-3,3.5709276725623766
2016-4,3.59250353080449
2016-5,3.5926862406733733
2016-6,3.579037954295573
2016-7,3.6103448389937896
2016-8,3.6698765586578723
2016-9,3.7200442795303323
2016-10,3.7459841676376406
2016-11,3.7392056894335943
2016-12,3.733037971414247
2017-1,3.7604487321695688
2017-2,3.8046973407167632
2017-3,3.8770292145772665
2017-4,3.876345311058806
2017-5,3.8426749051272147
2017-6,3.7678040432372044
2017-7,3.7200957896728837
2017-8,3.6835799665820175
2017-9,3.6347351512509802
2017-10,3.5456630235665996
2017-11,3.476079634963516
2017-12,3.422348531706023
2018-1,3.407685633333908
2018-2,3.3740068330079866
2018-3,3.338338493268379
2018-4,3.2744690652552726
2018-5,3.1945615117047303
2018-6,3.1138061153920007
2018-7,3.081673525419346
2018-8,3.0650959281622696
2018-9,3.039353890716323
2018-10,2.996889963775719
2018-11,2.9632487708984088
2018-12,2.938027746934826
2019-1,2.950255303566647
2019-2,2.9616566101002944
2019-3,2.994382382733388
2019-4,2.9952077985667365
2019-5,3.0099180362600246
2019-6,3.0110251669653523
2019-7,3.0361886406450753
2019-8,3.0354427615220856
2019-9,3.032326280433432
2019-10,3.0075538083911035
2019-11,2.995976017764907
2019-12,2.9967059652312025
