data,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado,Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - População,Pernambuco - INCC (%),Pernambuco - IPCA - Variação mensal durante o Plano Real (%),Pernambuco - IGP-DI,Pernambuco - Taxa Selic (%),Pernambuco - IDH - Longevidade,Pernambuco - IDH - Renda,Pernambuco - IDH - Educação,Pernambuco - NFSP - Fluxo Mensal (Milhões de reais),Pernambuco - Estoque liquido de capital fixo - (R$),Pernambuco - Desemprego,Pernambuco - Produção de Cimento (t),Pernambuco - Valor,Pernambuco - Consumo de Cimento (t)
2003-01-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,1.7,12.53,2.7,0.08229309524,0.705,0.615,0.372,3.46,6098524.41582601,11.005399803,-1.0,0.31,99743.0
2003-02-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,1.51,2.25,2.17,0.08877068182,0.705,0.615,0.372,3.59,6172460.00795063,11.005399803,29823.0,0.34,86997.0
2003-03-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,1.39,3.86,1.59,0.09073265,0.705,0.615,0.372,3.84,6172460.00795063,11.005399803,53944.0,0.34,83033.0
2003-04-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,1.38,5.13,1.66,0.092749,0.705,0.615,0.372,3.95,6172460.00795063,11.005399803,112577.0,0.34,82302.0
2003-05-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,0.9,6.15,0.41,0.0927578,0.705,0.615,0.372,4.06,6172460.00795063,11.005399803,42953.0,0.34,80217.0
2003-06-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,2.84,6.8,-0.67,0.09272338095,0.705,0.615,0.372,3.94,6172460.00795063,11.005399803,39776.0,0.34,67240.0
2003-07-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,1.05,6.64,-0.7,0.092025,0.705,0.615,0.372,3.6,6172460.00795063,11.005399803,772468.0,0.35,83181.0
2003-08-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,0.99,6.85,-0.2,0.08972826087,0.705,0.615,0.372,3.23,6172460.00795063,11.005399803,143535.0,0.34,82075.0
2003-09-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,1.44,7.22,0.62,0.083783,0.705,0.615,0.372,3.17,6172460.00795063,11.005399803,24654.0,0.34,85846.0
2003-10-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,0.22,8.05,1.05,0.07573604545,0.705,0.615,0.372,2.7,6172460.00795063,11.005399803,17967.0,0.34,90177.0
2003-11-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,0.65,8.37,0.44,0.07083917391,0.705,0.615,0.372,2.65,6172460.00795063,11.005399803,-1.0,0.34,86905.0
2003-12-01,4932679.442477125,2596494.476418983,0.61012771985,6375647.15097919,8084667.0,1.04,8.74,0.48,0.0667516,0.705,0.615,0.372,2.36,6172460.00795063,11.005399803,22337.0,0.34,86156.0
2004-01-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,0.16,9.3,0.6,0.062015,0.705,0.615,0.372,1.57,6172460.00795063,11.9265419984,-1.0,0.34,76341.0
2004-02-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,0.33,0.76,0.8,0.0599982381,0.705,0.615,0.372,1.43,6261937.06181048,11.9265419984,28216.0,0.34,65040.0
2004-03-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,1.0,1.37,1.08,0.05993777778,0.705,0.615,0.372,1.27,6261937.06181048,11.9265419984,49694.0,0.34,88306.0
2004-04-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,1.16,1.85,0.93,0.05956991304,0.705,0.615,0.372,1.24,6261937.06181048,11.9265419984,133458.0,0.34,74323.0
2004-05-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,0.59,2.23,1.15,0.0587633,0.705,0.615,0.372,1.21,6261937.06181048,11.9265419984,47017.0,0.34,78114.0
2004-06-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,1.83,2.75,1.46,0.0581277619,0.705,0.615,0.372,1.35,6261937.06181048,11.9265419984,41870.0,0.34,69976.0
2004-07-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,0.7,3.48,1.29,0.05822585714,0.705,0.615,0.372,1.59,6261937.06181048,11.9265419984,732030.0,0.337,84203.0
2004-08-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,1.12,4.42,1.14,0.05813868182,0.705,0.615,0.372,1.72,6261937.06181048,11.9265419984,131194.0,0.337,80313.0
2004-09-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,0.81,5.14,1.31,0.05843936364,0.705,0.615,0.372,1.83,6261937.06181048,11.9265419984,17909.0,0.332,87563.0
2004-10-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,0.58,5.49,0.48,0.05923480952,0.705,0.615,0.372,1.87,6261937.06181048,11.9265419984,26508.0,0.332,80640.0
2004-11-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,1.19,5.95,0.53,0.06031435,0.705,0.615,0.372,1.76,6261937.06181048,11.9265419984,-1.0,0.323,78585.0
2004-12-01,4646546.881537192,2790527.46911705,0.5692998584833333,3080284.81624268,8161862.0,0.71,6.68,0.82,0.0621806,0.705,0.615,0.372,1.71,6261937.06181048,11.9265419984,20370.0,0.325,87633.0
2005-01-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.51,7.6,0.52,0.06401773913,0.705,0.615,0.372,1.74,6261937.06181048,12.4756508899,-1.0,0.32,84896.0
2005-02-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.75,0.58,0.33,0.0654687619,0.705,0.615,0.372,1.57,6344077.42160595,12.4756508899,33834.0,0.32,81240.0
2005-03-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.44,1.17,0.4,0.06729072222,0.705,0.615,0.372,1.49,6344077.42160595,12.4756508899,58458.0,0.316,100925.0
