data,Minas_Gerais - PIB - Per Capita,Minas_Gerais - PIB - Preços de Mercado,Minas_Gerais - PIB - Estadual,Minas_Gerais - PIB - Construção Civil,Minas_Gerais - População,Minas_Gerais - INCC (%),Minas_Gerais - IPCA - Variação mensal durante o Plano Real (%),Minas_Gerais - IGP-DI,Minas_Gerais - Taxa Selic (%),Minas_Gerais - IDH - Longevidade,Minas_Gerais - IDH - Renda,Minas_Gerais - IDH - Educação,Minas_Gerais - NFSP - Fluxo Mensal (Milhões de reais),Minas_Gerais - Estoque liquido de capital fixo - (R$),Minas_Gerais - Desemprego,Minas_Gerais - Produção de Cimento (t),Minas_Gerais - Valor,Minas_Gerais - Consumo de Cimento (t)
2003-01-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,1.7,12.53,2.7,0.08229309524,0.759,0.68,0.47,3.46,6098524.41582601,10.1074491293,-1.0,0.3,247134.0
2003-02-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,1.51,2.25,2.17,0.08877068182,0.759,0.68,0.47,3.59,6172460.00795063,10.1074491293,-1.0,0.32,305708.0
2003-03-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,1.39,3.86,1.59,0.09073265,0.759,0.68,0.47,3.84,6172460.00795063,10.1074491293,42997.0,0.32,284168.0
2003-04-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,1.38,5.13,1.66,0.092749,0.759,0.68,0.47,3.95,6172460.00795063,10.1074491293,101775.0,0.32,286594.0
2003-05-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,0.9,6.15,0.41,0.0927578,0.759,0.68,0.47,4.06,6172460.00795063,10.1074491293,104691.0,0.32,312455.0
2003-06-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,2.84,6.8,-0.67,0.09272338095,0.759,0.68,0.47,3.94,6172460.00795063,10.1074491293,23311.0,0.32,299651.0
2003-07-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,1.05,6.64,-0.7,0.092025,0.759,0.68,0.47,3.6,6172460.00795063,10.1074491293,588822.0,0.32,340885.0
2003-08-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,0.99,6.85,-0.2,0.08972826087,0.759,0.68,0.47,3.23,6172460.00795063,10.1074491293,104195.0,0.32,322275.0
2003-09-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,1.44,7.22,0.62,0.083783,0.759,0.68,0.47,3.17,6172460.00795063,10.1074491293,34628.0,0.32,345219.0
2003-10-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,0.22,8.05,1.05,0.07573604545,0.759,0.68,0.47,2.7,6172460.00795063,10.1074491293,212768.0,0.32,352678.0
2003-11-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,0.65,8.37,0.44,0.07083917391,0.759,0.68,0.47,2.65,6172460.00795063,10.1074491293,-1.0,0.32,295720.0
2003-12-01,16808978.319345333,8848014.526261,0.916344358575,11447277.9879623,18343517.0,1.04,8.74,0.48,0.0667516,0.759,0.68,0.47,2.36,6172460.00795063,10.1074491293,27046.0,0.32,270978.0
2004-01-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,0.16,9.3,0.6,0.062015,0.759,0.68,0.47,1.57,6172460.00795063,10.1698488235,483193.0,0.32,249680.0
2004-02-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,0.33,0.76,0.8,0.0599982381,0.759,0.68,0.47,1.43,6261937.06181048,10.1698488235,-1.0,0.32,219561.0
2004-03-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,1.0,1.37,1.08,0.05993777778,0.759,0.68,0.47,1.27,6261937.06181048,10.1698488235,44880.0,0.32,304641.0
2004-04-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,1.16,1.85,0.93,0.05956991304,0.759,0.68,0.47,1.24,6261937.06181048,10.1698488235,100690.0,0.32,262564.0
2004-05-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,0.59,2.23,1.15,0.0587633,0.759,0.68,0.47,1.21,6261937.06181048,10.1698488235,102119.0,0.32,299209.0
2004-06-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,1.83,2.75,1.46,0.0581277619,0.759,0.68,0.47,1.35,6261937.06181048,10.1698488235,31510.0,0.32,303866.0
2004-07-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,0.7,3.48,1.29,0.05822585714,0.759,0.68,0.47,1.59,6261937.06181048,10.1698488235,521098.0,0.32,320442.0
2004-08-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,1.12,4.42,1.14,0.05813868182,0.759,0.68,0.47,1.72,6261937.06181048,10.1698488235,115357.0,0.32,318685.0
2004-09-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,0.81,5.14,1.31,0.05843936364,0.759,0.68,0.47,1.83,6261937.06181048,10.1698488235,29325.0,0.32,315841.0
2004-10-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,0.58,5.49,0.48,0.05923480952,0.759,0.68,0.47,1.87,6261937.06181048,10.1698488235,191600.0,0.32,300355.0
2004-11-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,1.19,5.95,0.53,0.06031435,0.759,0.68,0.47,1.76,6261937.06181048,10.1698488235,-1.0,0.32,297717.0
