data,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - População,Paraíba - INCC (%),Paraíba - IPCA - Variação mensal durante o Plano Real (%),Paraíba - IGP-DI,Paraíba - Taxa Selic (%),Paraíba - IDH - Longevidade,Paraíba - IDH - Renda,Paraíba - IDH - Educação,Paraíba - NFSP - Fluxo Mensal (Milhões de reais),Paraíba - Estoque liquido de capital fixo - (R$),Paraíba - Desemprego,Paraíba - Produção de Cimento (t),Paraíba - Valor,Paraíba - Consumo de Cimento (t)
2003-01-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,1.7,12.53,2.7,0.08229309524,0.672,0.582,0.331,3.46,6098524.41582601,8.2913248577,-1.0,0.33,38426.0
2003-02-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,1.51,2.25,2.17,0.08877068182,0.672,0.582,0.331,3.59,6172460.00795063,8.2913248577,38546.0,0.33,31672.0
2003-03-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,1.39,3.86,1.59,0.09073265,0.672,0.582,0.331,3.84,6172460.00795063,8.2913248577,44218.0,0.33,28775.0
2003-04-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,1.38,5.13,1.66,0.092749,0.672,0.582,0.331,3.95,6172460.00795063,8.2913248577,108359.0,0.33,28571.0
2003-05-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,0.9,6.15,0.41,0.0927578,0.672,0.582,0.331,4.06,6172460.00795063,8.2913248577,91326.0,0.33,31613.0
2003-06-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,2.84,6.8,-0.67,0.09272338095,0.672,0.582,0.331,3.94,6172460.00795063,8.2913248577,41516.0,0.34,26158.0
2003-07-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,1.05,6.64,-0.7,0.092025,0.672,0.582,0.331,3.6,6172460.00795063,8.2913248577,684734.0,0.34,32996.0
2003-08-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,0.99,6.85,-0.2,0.08972826087,0.672,0.582,0.331,3.23,6172460.00795063,8.2913248577,115314.0,0.34,31318.0
2003-09-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,1.44,7.22,0.62,0.083783,0.672,0.582,0.331,3.17,6172460.00795063,8.2913248577,35905.0,0.34,34517.0
2003-10-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,0.22,8.05,1.05,0.07573604545,0.672,0.582,0.331,2.7,6172460.00795063,8.2913248577,23220.0,0.34,36194.0
2003-11-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,0.65,8.37,0.44,0.07083917391,0.672,0.582,0.331,2.65,6172460.00795063,8.2913248577,-1.0,0.34,33993.0
2003-12-01,1802893.5624141835,949018.3238075832,0.515865167375,1250915.57382342,3494893.0,1.04,8.74,0.48,0.0667516,0.672,0.582,0.331,2.36,6172460.00795063,8.2913248577,20773.0,0.34,38522.0
2004-01-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,0.16,9.3,0.6,0.062015,0.672,0.582,0.331,1.57,6172460.00795063,10.6253650095,398634.0,0.34,31891.0
2004-02-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,0.33,0.76,0.8,0.0599982381,0.672,0.582,0.331,1.43,6261937.06181048,10.6253650095,30086.0,0.34,26089.0
2004-03-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,1.0,1.37,1.08,0.05993777778,0.672,0.582,0.331,1.27,6261937.06181048,10.6253650095,54507.0,0.34,32066.0
