data,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - População,Piauí - INCC (%),Piauí - IPCA - Variação mensal durante o Plano Real (%),Piauí - IGP-DI,Piauí - Taxa Selic (%),Piauí - IDH - Longevidade,Piauí - IDH - Renda,Piauí - IDH - Educação,Piauí - NFSP - Fluxo Mensal (Milhões de reais),Piauí - Estoque liquido de capital fixo - (R$),Piauí - Desemprego,Piauí - Produção de Cimento (t),Piauí - Valor,Piauí - Consumo de Cimento (t)
2003-01-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,1.7,12.53,2.7,0.08229309524,0.676,0.556,0.301,3.46,6098524.41582601,5.9047906273,-1.0,-1.0,21844.0
2003-02-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,1.51,2.25,2.17,0.08877068182,0.676,0.556,0.301,3.59,6172460.00795063,5.9047906273,33959.0,-1.0,15814.0
2003-03-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,1.39,3.86,1.59,0.09073265,0.676,0.556,0.301,3.84,6172460.00795063,5.9047906273,55278.0,-1.0,16067.0
2003-04-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,1.38,5.13,1.66,0.092749,0.676,0.556,0.301,3.95,6172460.00795063,5.9047906273,120530.0,-1.0,14938.0
2003-05-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,0.9,6.15,0.41,0.0927578,0.676,0.556,0.301,4.06,6172460.00795063,5.9047906273,44601.0,-1.0,17765.0
2003-06-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,2.84,6.8,-0.67,0.09272338095,0.676,0.556,0.301,3.94,6172460.00795063,5.9047906273,48527.0,-1.0,17561.0
2003-07-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,1.05,6.64,-0.7,0.092025,0.676,0.556,0.301,3.6,6172460.00795063,5.9047906273,684811.0,-1.0,21260.0
2003-08-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,0.99,6.85,-0.2,0.08972826087,0.676,0.556,0.301,3.23,6172460.00795063,5.9047906273,148850.0,-1.0,20367.0
2003-09-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,1.44,7.22,0.62,0.083783,0.676,0.556,0.301,3.17,6172460.00795063,5.9047906273,18925.0,-1.0,21737.0
2003-10-01,998467.2847565416,525579.4178373591,0.3445101652833333,910368.429352882,2898223.0,0.22,8.05,1.05,0.07573604545,0.676,0.556,0.301,2.7,6172460.00795063,5.9047906273,28850.0,-1.0,23881.0
