data,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - População,Acre - INCC (%),Acre - IPCA - Variação mensal durante o Plano Real (%),Acre - IGP-DI,Acre - Taxa Selic (%),Acre - IDH - Longevidade,Acre - IDH - Renda,Acre - IDH - Educação,Acre - NFSP - Fluxo Mensal (Milhões de reais),Acre - Estoque liquido de capital fixo - (R$),Acre - Desemprego,Acre - Produção de Cimento (t),Acre - Valor,Acre - Consumo de Cimento (t)
2003-01-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.7,12.53,2.7,0.08229309524,0.694,0.612,0.325,3.46,6098524.41582601,6.5827877908,-1.0,-1.0,3260.0
2003-02-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.51,2.25,2.17,0.08877068182,0.694,0.612,0.325,3.59,6172460.00795063,6.5827877908,-1.0,-1.0,2191.0
2003-03-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.39,3.86,1.59,0.09073265,0.694,0.612,0.325,3.84,6172460.00795063,6.5827877908,-1.0,-1.0,2154.0
2003-04-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.38,5.13,1.66,0.092749,0.694,0.612,0.325,3.95,6172460.00795063,6.5827877908,34655.0,-1.0,2643.0
2003-05-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.9,6.15,0.41,0.0927578,0.694,0.612,0.325,4.06,6172460.00795063,6.5827877908,172597.0,-1.0,2546.0
2003-06-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,2.84,6.8,-0.67,0.09272338095,0.694,0.612,0.325,3.94,6172460.00795063,6.5827877908,28018.0,-1.0,3040.0
2003-07-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.05,6.64,-0.7,0.092025,0.694,0.612,0.325,3.6,6172460.00795063,6.5827877908,45130.0,-1.0,4963.0
2003-08-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.99,6.85,-0.2,0.08972826087,0.694,0.612,0.325,3.23,6172460.00795063,6.5827877908,345698.0,-1.0,2924.0
2003-09-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.44,7.22,0.62,0.083783,0.694,0.612,0.325,3.17,6172460.00795063,6.5827877908,44543.0,-1.0,5276.0
2003-10-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.22,8.05,1.05,0.07573604545,0.694,0.612,0.325,2.7,6172460.00795063,6.5827877908,187848.0,-1.0,5262.0
2003-11-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.65,8.37,0.44,0.07083917391,0.694,0.612,0.325,2.65,6172460.00795063,6.5827877908,148079.0,-1.0,5041.0
2003-12-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.04,8.74,0.48,0.0667516,0.694,0.612,0.325,2.36,6172460.00795063,6.5827877908,-1.0,-1.0,4303.0
2004-01-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.16,9.3,0.6,0.062015,0.694,0.612,0.325,1.57,6172460.00795063,7.4474670142,145807.0,-1.0,4105.0
2004-02-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.33,0.76,0.8,0.0599982381,0.694,0.612,0.325,1.43,6261937.06181048,7.4474670142,-1.0,-1.0,3898.0
2004-03-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.0,1.37,1.08,0.05993777778,0.694,0.612,0.325,1.27,6261937.06181048,7.4474670142,-1.0,-1.0,4209.0
2004-04-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.16,1.85,0.93,0.05956991304,0.694,0.612,0.325,1.24,6261937.06181048,7.4474670142,40016.0,-1.0,2994.0
2004-05-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.59,2.23,1.15,0.0587633,0.694,0.612,0.325,1.21,6261937.06181048,7.4474670142,198909.0,-1.0,3720.0
2004-06-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.83,2.75,1.46,0.0581277619,0.694,0.612,0.325,1.35,6261937.06181048,7.4474670142,23401.0,-1.0,4275.0
2004-07-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.7,3.48,1.29,0.05822585714,0.694,0.612,0.325,1.59,6261937.06181048,7.4474670142,38749.0,-1.0,4699.0
2004-08-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.12,4.42,1.14,0.05813868182,0.694,0.612,0.325,1.72,6261937.06181048,7.4474670142,365964.0,-1.0,6416.0
2004-09-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.81,5.14,1.31,0.05843936364,0.694,0.612,0.325,1.83,6261937.06181048,7.4474670142,51996.0,-1.0,6427.0
2004-10-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.58,5.49,0.48,0.05923480952,0.694,0.612,0.325,1.87,6261937.06181048,7.4474670142,203335.0,-1.0,6386.0
2004-11-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.19,5.95,0.53,0.06031435,0.694,0.612,0.325,1.76,6261937.06181048,7.4474670142,126636.0,-1.0,5591.0
2004-12-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.71,6.68,0.82,0.0621806,0.694,0.612,0.325,1.71,6261937.06181048,7.4474670142,-1.0,-1.0,5422.0
2005-01-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.51,7.6,0.52,0.06401773913,0.694,0.612,0.325,1.74,6261937.06181048,10.247831928,175367.0,-1.0,5807.0
2005-02-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.75,0.58,0.33,0.0654687619,0.694,0.612,0.325,1.57,6344077.42160595,10.247831928,-1.0,-1.0,5242.0
2005-03-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.44,1.17,0.4,0.06729072222,0.694,0.612,0.325,1.49,6344077.42160595,10.247831928,-1.0,-1.0,4965.0
2005-04-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.67,1.79,0.99,0.068961,0.694,0.612,0.325,1.37,6344077.42160595,10.247831928,49757.0,-1.0,5854.0
2005-05-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.72,2.68,0.51,0.07010755,0.694,0.612,0.325,1.37,6344077.42160595,10.247831928,207935.0,-1.0,5892.0
2005-06-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,2.09,3.18,-0.25,0.07106719048,0.694,0.612,0.325,1.18,6344077.42160595,10.247831928,27464.0,-1.0,7760.0
2005-07-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.76,3.16,-0.45,0.071533,0.694,0.612,0.325,0.95,6344077.42160595,10.247831928,53717.0,-1.0,7484.0
2005-08-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.11,3.42,-0.4,0.07145590476,0.694,0.612,0.325,0.76,6344077.42160595,10.247831928,357887.0,-1.0,8048.0
2005-09-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.02,3.59,-0.79,0.07154213043,0.694,0.612,0.325,0.55,6344077.42160595,10.247831928,65215.0,-1.0,7794.0
2005-10-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.24,3.95,-0.13,0.07107052381,0.694,0.612,0.325,0.29,6344077.42160595,10.247831928,193235.0,-1.0,8792.0
2005-11-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.19,4.73,0.63,0.0698922,0.694,0.612,0.325,0.25,6344077.42160595,10.247831928,115189.0,-1.0,6725.0
2005-12-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.28,5.31,0.33,0.0686031,0.694,0.612,0.325,0.24,6344077.42160595,10.247831928,-1.0,-1.0,6551.0
2006-01-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.37,5.69,0.07,0.06651395455,0.694,0.612,0.325,0.25,6344077.42160595,11.3270063664,164330.0,-1.0,7192.0
2006-02-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.34,0.59,0.72,0.06452986364,0.694,0.612,0.325,0.27,6428173.06422105,11.3270063664,-1.0,-1.0,6443.0
2006-03-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.19,1.0,-0.06,0.06327316667,0.694,0.612,0.325,0.37,6428173.06422105,11.3270063664,-1.0,-1.0,9429.0
2006-04-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.2,1.44,-0.45,0.06142243478,0.694,0.612,0.325,0.29,6428173.06422105,11.3270063664,44516.0,-1.0,7627.0
2006-05-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.36,1.65,0.02,0.05957944444,0.694,0.612,0.325,0.12,6428173.06422105,11.3270063664,254093.0,-1.0,9283.0
2006-06-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,1.32,1.75,0.38,0.05789063636,0.694,0.612,0.325,0.13,6428173.06422105,11.3270063664,31318.0,-1.0,7826.0
2006-07-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.9,1.54,0.67,0.05608404762,0.694,0.612,0.325,0.21,6428173.06422105,11.3270063664,43788.0,-1.0,7907.0
2006-08-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.47,1.73,0.17,0.05540461905,0.694,0.612,0.325,0.33,6428173.06422105,11.3270063664,335397.0,-1.0,15133.0
2006-09-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.24,1.78,0.41,0.05429469565,0.694,0.612,0.325,0.44,6428173.06422105,11.3270063664,80584.0,-1.0,12318.0
2006-10-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.11,2.0,0.24,0.0526018,0.694,0.612,0.325,0.6,6428173.06422105,11.3270063664,191757.0,-1.0,11558.0
2006-11-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.21,2.33,0.81,0.05183728571,0.694,0.612,0.325,0.57,6428173.06422105,11.3270063664,118505.0,-1.0,9965.0
2006-12-01,468809.2693445833,325917.95022214163,0.6999911447833332,307794.015789706,669736.0,0.23,2.65,0.57,0.0507845,0.694,0.612,0.325,0.59,6428173.06422105,11.3270063664,-1.0,-1.0,9734.0
