data,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - População,Paraná - INCC (%),Paraná - IPCA - Variação mensal durante o Plano Real (%),Paraná - IGP-DI,Paraná - Taxa Selic (%),Paraná - IDH - Longevidade,Paraná - IDH - Renda,Paraná - IDH - Educação,Paraná - NFSP - Fluxo Mensal (Milhões de reais),Paraná - Estoque liquido de capital fixo - (R$),Paraná - Desemprego,Paraná - Produção de Cimento (t),Paraná - Valor,Paraná - Consumo de Cimento (t)
2003-01-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,1.7,12.53,2.7,0.08229309524,0.77,0.66,0.67,3.46,6098524.41582601,-1.0,-1.0,0.29,189804.0
2003-02-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,1.51,2.25,2.17,0.08877068182,0.77,0.66,0.67,3.59,6172460.00795063,-1.0,20313.0,0.32,174713.0
2003-03-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,1.39,3.86,1.59,0.09073265,0.77,0.66,0.67,3.84,6172460.00795063,-1.0,55352.0,0.32,180801.0
2003-04-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,1.38,5.13,1.66,0.092749,0.77,0.66,0.67,3.95,6172460.00795063,-1.0,107469.0,0.32,180172.0
2003-05-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,0.9,6.15,0.41,0.0927578,0.77,0.66,0.67,4.06,6172460.00795063,-1.0,49219.0,0.32,185597.0
2003-06-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,2.84,6.8,-0.67,0.09272338095,0.77,0.66,0.67,3.94,6172460.00795063,-1.0,47020.0,0.32,169008.0
2003-07-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,1.05,6.64,-0.7,0.092025,0.77,0.66,0.67,3.6,6172460.00795063,-1.0,683486.0,0.32,191857.0
2003-08-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,0.99,6.85,-0.2,0.08972826087,0.77,0.66,0.67,3.23,6172460.00795063,-1.0,153158.0,0.33,180591.0
2003-09-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,1.44,7.22,0.62,0.083783,0.77,0.66,0.67,3.17,6172460.00795063,-1.0,20817.0,0.33,176074.0
2003-10-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,0.22,8.05,1.05,0.07573604545,0.77,0.66,0.67,2.7,6172460.00795063,-1.0,23158.0,0.33,191866.0
